date,countrycode,population,cases,deaths
2020-03-25,GW,1646077,0,0
2020-03-26,GW,1646077,0,0
2020-03-27,GW,1646077,0,0
2020-03-28,GW,1646077,0,0
2020-03-29,GW,1646077,0,0
2020-03-30,GW,1646077,6,0
2020-03-31,GW,1646077,0,0
2020-04-01,GW,1646077,1,0
2020-04-02,GW,1646077,0,0
2020-04-03,GW,1646077,6,0
2020-04-04,GW,1646077,3,0
2020-04-05,GW,1646077,0,0
2020-04-06,GW,1646077,0,0
2020-04-07,GW,1646077,15,0
2020-04-08,GW,1646077,0,0
2020-04-09,GW,1646077,3,0
2020-04-10,GW,1646077,0,0
2020-04-11,GW,1646077,2,0
2020-04-12,GW,1646077,0,0
2020-04-13,GW,1646077,0,0
2020-04-14,GW,1646077,0,0
2020-04-15,GW,1646077,5,0
2020-04-16,GW,1646077,0,0
2020-04-17,GW,1646077,0,0
2020-04-18,GW,1646077,3,0
2020-04-19,GW,1646077,4,0
2020-04-20,GW,1646077,0,0
2020-04-21,GW,1646077,0,0
2020-04-22,GW,1646077,0,0
2020-04-23,GW,1646077,0,0
2020-04-24,GW,1646077,2,0
2020-04-25,GW,1646077,0,0
2020-04-26,GW,1646077,1,1
2020-04-27,GW,1646077,20,0
2020-04-28,GW,1646077,0,0
2020-04-29,GW,1646077,132,0
2020-04-30,GW,1646077,0,0
2020-05-01,GW,1646077,52,0
2020-05-02,GW,1646077,0,0
2020-05-03,GW,1646077,0,0
2020-05-04,GW,1646077,156,0
2020-05-05,GW,1646077,0,0
2020-05-06,GW,1646077,62,1
2020-05-07,GW,1646077,89,0
2020-05-08,GW,1646077,30,0
2020-05-09,GW,1646077,47,1
2020-05-10,GW,1646077,85,0
2020-05-11,GW,1646077,35,0
2020-05-12,GW,1646077,59,0
2020-05-13,GW,1646077,16,0
2020-05-14,GW,1646077,77,0
2020-05-15,GW,1646077,0,0
2020-05-16,GW,1646077,56,1
2020-05-17,GW,1646077,21,0
2020-05-18,GW,1646077,42,0
2020-05-19,GW,1646077,6,2
2020-05-20,GW,1646077,51,0
2020-05-21,GW,1646077,20,0
2020-05-22,GW,1646077,5,0
2020-05-23,GW,1646077,0,0
2020-05-24,GW,1646077,0,0
2020-05-25,GW,1646077,64,1
2020-05-26,GW,1646077,0,0
2020-05-27,GW,1646077,17,0
2020-05-28,GW,1646077,0,1
2020-05-29,GW,1646077,61,0
2020-05-30,GW,1646077,0,0
2020-05-31,GW,1646077,0,0
2020-06-01,GW,1646077,83,0
2020-06-02,GW,1646077,0,0
2020-06-03,GW,1646077,0,0
2020-06-04,GW,1646077,0,0
2020-06-05,GW,1646077,29,4
2020-06-06,GW,1646077,0,0
2020-06-07,GW,1646077,0,0
2020-06-08,GW,1646077,21,0
2020-06-09,GW,1646077,0,0
2020-06-10,GW,1646077,0,0
2020-06-11,GW,1646077,0,0
2020-06-12,GW,1646077,71,3
2020-06-13,GW,1646077,0,0
2020-06-14,GW,1646077,0,0
2020-06-15,GW,1646077,32,0
2020-06-16,GW,1646077,0,0
2020-06-17,GW,1646077,0,0
2020-06-18,GW,1646077,0,0
2020-06-19,GW,1646077,49,2
2020-06-20,GW,1646077,0,0
2020-06-21,GW,1646077,0,0
2020-06-22,GW,1646077,15,2
2020-06-23,GW,1646077,0,0
2020-06-24,GW,1646077,0,0
2020-06-25,GW,1646077,0,0
2020-06-26,GW,1646077,58,3
2020-06-27,GW,1646077,0,0
2020-06-28,GW,1646077,0,0
2020-06-29,GW,1646077,40,2
2020-06-30,GW,1646077,0,0
2020-07-01,GW,1646077,0,0
2020-07-02,GW,1646077,0,0
2020-07-03,GW,1646077,111,1
2020-07-04,GW,1646077,0,0
2020-07-05,GW,1646077,0,0
2020-07-06,GW,1646077,25,0
2020-07-07,GW,1646077,0,0
2020-07-08,GW,1646077,0,0
2020-07-09,GW,1646077,0,0
2020-07-10,GW,1646077,52,1
2020-07-11,GW,1646077,0,0
2020-07-12,GW,1646077,0,0
2020-07-13,GW,1646077,0,0
2020-07-14,GW,1646077,0,0
2020-07-15,GW,1646077,0,0
2020-07-16,GW,1646077,60,0
2020-07-17,GW,1646077,25,0
2020-07-18,GW,1646077,22,0
2020-07-19,GW,1646077,0,0
2020-07-20,GW,1646077,0,0
2020-07-21,GW,1646077,5,0
2020-07-22,GW,1646077,0,0
