date,countrycode,population,cases,deaths
2020-03-12,GY,790000,0,0
2020-03-13,GY,790000,0,0
2020-03-14,GY,790000,0,0
2020-03-15,GY,790000,3,0
2020-03-16,GY,790000,0,0
2020-03-17,GY,790000,3,0
2020-03-18,GY,790000,0,0
2020-03-19,GY,790000,0,0
2020-03-20,GY,790000,0,0
2020-03-21,GY,790000,0,0
2020-03-22,GY,790000,11,0
2020-03-23,GY,790000,2,0
2020-03-24,GY,790000,-15,0
2020-03-25,GY,790000,0,0
2020-03-26,GY,790000,0,0
2020-03-27,GY,790000,0,0
2020-03-28,GY,790000,3,0
2020-03-29,GY,790000,0,0
2020-03-30,GY,790000,0,0
2020-03-31,GY,790000,4,1
2020-04-01,GY,790000,7,0
2020-04-02,GY,790000,0,2
2020-04-03,GY,790000,4,0
2020-04-04,GY,790000,0,0
2020-04-05,GY,790000,1,0
2020-04-06,GY,790000,7,0
2020-04-07,GY,790000,2,1
2020-04-08,GY,790000,4,1
2020-04-09,GY,790000,0,0
2020-04-10,GY,790000,0,0
2020-04-11,GY,790000,8,0
2020-04-12,GY,790000,0,0
2020-04-13,GY,790000,0,0
2020-04-14,GY,790000,2,0
2020-04-15,GY,790000,8,0
2020-04-16,GY,790000,0,0
2020-04-17,GY,790000,8,0
2020-04-18,GY,790000,0,0
2020-04-19,GY,790000,2,1
2020-04-20,GY,790000,0,0
2020-04-21,GY,790000,1,0
2020-04-22,GY,790000,1,0
2020-04-23,GY,790000,3,0
2020-04-24,GY,790000,3,0
2020-04-25,GY,790000,0,0
2020-04-26,GY,790000,1,1
2020-04-27,GY,790000,0,0
2020-04-28,GY,790000,0,0
2020-04-29,GY,790000,4,0
2020-04-30,GY,790000,4,1
2020-05-01,GY,790000,0,0
2020-05-02,GY,790000,0,0
2020-05-03,GY,790000,0,0
2020-05-04,GY,790000,10,0
2020-05-05,GY,790000,1,1
2020-05-06,GY,790000,0,0
2020-05-07,GY,790000,0,0
2020-05-08,GY,790000,1,0
2020-05-09,GY,790000,0,0
2020-05-10,GY,790000,10,0
2020-05-11,GY,790000,5,0
2020-05-12,GY,790000,4,0
2020-05-13,GY,790000,0,0
2020-05-14,GY,790000,0,0
2020-05-15,GY,790000,3,0
2020-05-16,GY,790000,1,0
2020-05-17,GY,790000,0,0
2020-05-18,GY,790000,7,0
2020-05-19,GY,790000,1,0
2020-05-20,GY,790000,0,0
2020-05-21,GY,790000,2,0
2020-05-22,GY,790000,0,0
2020-05-23,GY,790000,0,0
2020-05-24,GY,790000,8,0
2020-05-25,GY,790000,2,1
