date,countrycode,population,cases,deaths
2020-02-25,HR,4076246,0,0
2020-02-26,HR,4076246,2,0
2020-02-27,HR,4076246,0,0
2020-02-28,HR,4076246,2,0
2020-02-29,HR,4076246,1,0
2020-03-01,HR,4076246,1,0
2020-03-02,HR,4076246,0,0
2020-03-03,HR,4076246,2,0
2020-03-04,HR,4076246,1,0
2020-03-05,HR,4076246,0,0
2020-03-06,HR,4076246,1,0
2020-03-07,HR,4076246,1,0
2020-03-08,HR,4076246,0,0
2020-03-09,HR,4076246,0,0
2020-03-10,HR,4076246,2,0
2020-03-11,HR,4076246,5,0
2020-03-12,HR,4076246,0,0
2020-03-13,HR,4076246,13,0
2020-03-14,HR,4076246,6,0
2020-03-15,HR,4076246,11,0
2020-03-16,HR,4076246,8,0
2020-03-17,HR,4076246,8,0
2020-03-18,HR,4076246,16,0
2020-03-19,HR,4076246,24,1
2020-03-20,HR,4076246,23,0
2020-03-21,HR,4076246,78,0
2020-03-22,HR,4076246,48,0
2020-03-23,HR,4076246,61,0
2020-03-24,HR,4076246,67,0
2020-03-25,HR,4076246,60,0
2020-03-26,HR,4076246,53,2
2020-03-27,HR,4076246,91,0
2020-03-28,HR,4076246,71,2
2020-03-29,HR,4076246,56,1
2020-03-30,HR,4076246,77,0
2020-03-31,HR,4076246,77,0
2020-04-01,HR,4076246,96,0
2020-04-02,HR,4076246,48,1
2020-04-03,HR,4076246,68,1
2020-04-04,HR,4076246,47,4
2020-04-05,HR,4076246,56,3
2020-04-06,HR,4076246,40,1
2020-04-07,HR,4076246,60,2
2020-04-08,HR,4076246,61,1
2020-04-09,HR,4076246,64,1
2020-04-10,HR,4076246,88,1
2020-04-11,HR,4076246,39,0
2020-04-12,HR,4076246,66,2
2020-04-13,HR,4076246,50,2
2020-04-14,HR,4076246,54,6
2020-04-15,HR,4076246,37,2
2020-04-16,HR,4076246,50,2
2020-04-17,HR,4076246,23,1
2020-04-18,HR,4076246,18,3
2020-04-19,HR,4076246,39,8
2020-04-20,HR,4076246,10,0
2020-04-21,HR,4076246,27,1
2020-04-22,HR,4076246,42,0
2020-04-23,HR,4076246,31,2
2020-04-24,HR,4076246,28,1
2020-04-25,HR,4076246,7,3
2020-04-26,HR,4076246,14,1
2020-04-27,HR,4076246,9,4
2020-04-28,HR,4076246,8,4
2020-04-29,HR,4076246,15,4
2020-04-30,HR,4076246,14,2
2020-05-01,HR,4076246,9,6
2020-05-02,HR,4076246,3,2
2020-05-03,HR,4076246,8,2
2020-05-04,HR,4076246,5,1
2020-05-05,HR,4076246,11,3
2020-05-06,HR,4076246,7,2
2020-05-07,HR,4076246,6,1
2020-05-08,HR,4076246,36,0
2020-05-09,HR,4076246,15,1
2020-05-10,HR,4076246,11,3
2020-05-11,HR,4076246,9,1
2020-05-12,HR,4076246,11,0
2020-05-13,HR,4076246,6,3
2020-05-14,HR,4076246,8,0
2020-05-15,HR,4076246,1,1
2020-05-16,HR,4076246,2,0
2020-05-17,HR,4076246,2,0
2020-05-18,HR,4076246,2,0
2020-05-19,HR,4076246,4,1
2020-05-20,HR,4076246,2,0
2020-05-21,HR,4076246,3,1
2020-05-22,HR,4076246,6,2
2020-05-23,HR,4076246,0,0
2020-05-24,HR,4076246,1,0
2020-05-25,HR,4076246,0,1
2020-05-26,HR,4076246,0,1
2020-05-27,HR,4076246,0,0
2020-05-28,HR,4076246,1,1
2020-05-29,HR,4076246,0,1
2020-05-30,HR,4076246,1,0
2020-05-31,HR,4076246,0,0
2020-06-01,HR,4076246,0,0
2020-06-02,HR,4076246,0,0
2020-06-03,HR,4076246,0,0
2020-06-04,HR,4076246,1,0
2020-06-05,HR,4076246,0,0
2020-06-06,HR,4076246,0,1
2020-06-07,HR,4076246,0,0
2020-06-08,HR,4076246,0,0
2020-06-09,HR,4076246,0,2
2020-06-10,HR,4076246,2,0
2020-06-11,HR,4076246,0,0
2020-06-12,HR,4076246,0,1
2020-06-13,HR,4076246,2,0
2020-06-14,HR,4076246,1,0
2020-06-15,HR,4076246,2,0
2020-06-16,HR,4076246,1,0
2020-06-17,HR,4076246,3,0
2020-06-18,HR,4076246,11,0
2020-06-19,HR,4076246,11,0
2020-06-20,HR,4076246,19,0
2020-06-21,HR,4076246,18,0
2020-06-22,HR,4076246,19,0
2020-06-23,HR,4076246,30,0
2020-06-24,HR,4076246,22,0
2020-06-25,HR,4076246,95,0
2020-06-26,HR,4076246,56,0
2020-06-27,HR,4076246,85,0
2020-06-28,HR,4076246,67,0
2020-06-29,HR,4076246,34,0
2020-06-30,HR,4076246,52,0
2020-07-01,HR,4076246,54,1
2020-07-02,HR,4076246,81,2
2020-07-03,HR,4076246,96,2
2020-07-04,HR,4076246,86,1
2020-07-05,HR,4076246,57,0
2020-07-06,HR,4076246,69,0
2020-07-07,HR,4076246,52,0
2020-07-08,HR,4076246,53,1
2020-07-09,HR,4076246,91,1
2020-07-10,HR,4076246,116,2
2020-07-11,HR,4076246,140,1
2020-07-12,HR,4076246,50,1
2020-07-13,HR,4076246,53,0
2020-07-14,HR,4076246,52,1
2020-07-15,HR,4076246,126,0
2020-07-16,HR,4076246,86,0
2020-07-17,HR,4076246,98,0
2020-07-18,HR,4076246,116,0
2020-07-19,HR,4076246,92,0
2020-07-20,HR,4076246,25,2
2020-07-21,HR,4076246,52,1
2020-07-22,HR,4076246,108,2
2020-07-23,HR,4076246,104,3
2020-07-24,HR,4076246,81,0
2020-07-25,HR,4076246,77,5
2020-07-26,HR,4076246,65,3
2020-07-27,HR,4076246,24,3
2020-07-28,HR,4076246,42,1
2020-07-29,HR,4076246,70,1
2020-07-30,HR,4076246,78,3
2020-07-31,HR,4076246,68,1
2020-08-01,HR,4076246,85,0
2020-08-02,HR,4076246,36,4
2020-08-03,HR,4076246,34,4
2020-08-04,HR,4076246,24,1
2020-08-05,HR,4076246,58,0
2020-08-06,HR,4076246,28,1
2020-08-07,HR,4076246,62,0
2020-08-08,HR,4076246,77,2
2020-08-09,HR,4076246,61,0
2020-08-10,HR,4076246,45,1
2020-08-11,HR,4076246,91,2
2020-08-12,HR,4076246,130,0
2020-08-13,HR,4076246,180,1
2020-08-14,HR,4076246,208,2
2020-08-15,HR,4076246,162,2
2020-08-16,HR,4076246,151,1
2020-08-17,HR,4076246,85,0
2020-08-18,HR,4076246,199,0
2020-08-19,HR,4076246,219,2
2020-08-20,HR,4076246,255,0
2020-08-21,HR,4076246,265,1
2020-08-22,HR,4076246,306,1
2020-08-23,HR,4076246,275,1
2020-08-24,HR,4076246,136,2
2020-08-25,HR,4076246,219,2
2020-08-26,HR,4076246,358,0
2020-08-27,HR,4076246,304,2
2020-08-28,HR,4076246,357,3
2020-08-29,HR,4076246,312,3
2020-08-30,HR,4076246,262,1
2020-08-31,HR,4076246,146,2
2020-09-01,HR,4076246,145,1
2020-09-02,HR,4076246,311,4
2020-09-03,HR,4076246,369,3
2020-09-04,HR,4076246,334,1
2020-09-05,HR,4076246,311,2
2020-09-06,HR,4076246,225,1
2020-09-07,HR,4076246,117,3
2020-09-08,HR,4076246,204,2
2020-09-09,HR,4076246,341,3
2020-09-10,HR,4076246,291,2
2020-09-11,HR,4076246,190,3
2020-09-12,HR,4076246,261,7
2020-09-13,HR,4076246,165,6
2020-09-14,HR,4076246,65,3
2020-09-15,HR,4076246,151,3
2020-09-16,HR,4076246,280,6
2020-09-17,HR,4076246,250,2
2020-09-18,HR,4076246,234,6
2020-09-19,HR,4076246,212,0
2020-09-20,HR,4076246,197,4
2020-09-21,HR,4076246,70,5
2020-09-22,HR,4076246,144,2
2020-09-23,HR,4076246,204,2
2020-09-24,HR,4076246,232,4
2020-09-25,HR,4076246,223,5
2020-09-26,HR,4076246,212,3
2020-09-27,HR,4076246,190,3
2020-09-28,HR,4076246,48,0
2020-09-29,HR,4076246,135,3
2020-09-30,HR,4076246,213,5
2020-10-01,HR,4076246,234,4
2020-10-02,HR,4076246,333,7
2020-10-03,HR,4076246,241,2
2020-10-04,HR,4076246,258,5
2020-10-05,HR,4076246,138,2
2020-10-06,HR,4076246,287,4
2020-10-07,HR,4076246,363,5
2020-10-08,HR,4076246,542,1
2020-10-09,HR,4076246,457,3
2020-10-10,HR,4076246,486,4
2020-10-11,HR,4076246,508,7
2020-10-12,HR,4076246,181,3
2020-10-13,HR,4076246,372,3
2020-10-14,HR,4076246,748,4
2020-10-15,HR,4076246,793,10
2020-10-16,HR,4076246,1131,1
2020-10-17,HR,4076246,1096,10
2020-10-18,HR,4076246,819,8
