date,countrycode,population,cases,deaths
2020-03-02,ID,270625567,0,0
2020-03-03,ID,270625567,0,0
2020-03-04,ID,270625567,0,0
2020-03-05,ID,270625567,0,0
2020-03-06,ID,270625567,2,0
2020-03-07,ID,270625567,0,0
2020-03-08,ID,270625567,2,0
2020-03-09,ID,270625567,13,0
2020-03-10,ID,270625567,8,0
2020-03-11,ID,270625567,7,1
2020-03-12,ID,270625567,0,0
2020-03-13,ID,270625567,35,3
2020-03-14,ID,270625567,27,1
2020-03-15,ID,270625567,21,0
2020-03-16,ID,270625567,17,0
2020-03-17,ID,270625567,38,0
2020-03-18,ID,270625567,55,14
2020-03-19,ID,270625567,84,6
2020-03-20,ID,270625567,58,7
2020-03-21,ID,270625567,81,6
2020-03-22,ID,270625567,64,10
2020-03-23,ID,270625567,65,1
2020-03-24,ID,270625567,107,6
2020-03-25,ID,270625567,104,3
2020-03-26,ID,270625567,103,20
2020-03-27,ID,270625567,153,9
2020-03-28,ID,270625567,109,15
2020-03-29,ID,270625567,130,12
2020-03-30,ID,270625567,129,8
2020-03-31,ID,270625567,114,14
2020-04-01,ID,270625567,149,21
2020-04-02,ID,270625567,113,13
2020-04-03,ID,270625567,196,11
2020-04-04,ID,270625567,106,10
2020-04-05,ID,270625567,181,7
2020-04-06,ID,270625567,218,11
2020-04-07,ID,270625567,247,12
2020-04-08,ID,270625567,218,19
2020-04-09,ID,270625567,337,40
2020-04-10,ID,270625567,219,26
2020-04-11,ID,270625567,330,21
2020-04-12,ID,270625567,399,46
2020-04-13,ID,270625567,316,26
2020-04-14,ID,270625567,282,60
2020-04-15,ID,270625567,297,10
2020-04-16,ID,270625567,380,27
2020-04-17,ID,270625567,407,24
2020-04-18,ID,270625567,325,15
2020-04-19,ID,270625567,327,47
2020-04-20,ID,270625567,185,8
2020-04-21,ID,270625567,375,26
2020-04-22,ID,270625567,283,19
2020-04-23,ID,270625567,357,12
2020-04-24,ID,270625567,436,42
2020-04-25,ID,270625567,396,31
2020-04-26,ID,270625567,275,23
2020-04-27,ID,270625567,214,22
2020-04-28,ID,270625567,415,8
2020-04-29,ID,270625567,260,11
2020-04-30,ID,270625567,347,8
2020-05-01,ID,270625567,433,8
2020-05-02,ID,270625567,292,31
2020-05-03,ID,270625567,349,14
2020-05-04,ID,270625567,395,19
2020-05-05,ID,270625567,484,8
2020-05-06,ID,270625567,367,23
2020-05-07,ID,270625567,338,35
2020-05-08,ID,270625567,336,13
2020-05-09,ID,270625567,533,16
2020-05-10,ID,270625567,387,14
2020-05-11,ID,270625567,233,18
2020-05-12,ID,270625567,484,16
2020-05-13,ID,270625567,689,21
2020-05-14,ID,270625567,568,15
2020-05-15,ID,270625567,490,33
2020-05-16,ID,270625567,529,13
2020-05-17,ID,270625567,489,59
2020-05-18,ID,270625567,496,43
2020-05-19,ID,270625567,486,30
2020-05-20,ID,270625567,693,21
2020-05-21,ID,270625567,973,36
2020-05-22,ID,270625567,634,48
2020-05-23,ID,270625567,949,25
2020-05-24,ID,270625567,526,21
2020-05-25,ID,270625567,479,19
2020-05-26,ID,270625567,415,27
2020-05-27,ID,270625567,686,55
2020-05-28,ID,270625567,687,23
2020-05-29,ID,270625567,678,24
2020-05-30,ID,270625567,557,53
2020-05-31,ID,270625567,700,40
2020-06-01,ID,270625567,467,28
2020-06-02,ID,270625567,609,22
2020-06-03,ID,270625567,684,35
2020-06-04,ID,270625567,585,23
2020-06-05,ID,270625567,703,49
2020-06-06,ID,270625567,993,31
2020-06-07,ID,270625567,672,50
2020-06-08,ID,270625567,847,32
2020-06-09,ID,270625567,1043,40
2020-06-10,ID,270625567,1240,36
2020-06-11,ID,270625567,979,41
2020-06-12,ID,270625567,1111,48
2020-06-13,ID,270625567,1014,43
2020-06-14,ID,270625567,857,43
2020-06-15,ID,270625567,1017,64
2020-06-16,ID,270625567,1106,33
2020-06-17,ID,270625567,1031,45
2020-06-18,ID,270625567,1331,63
2020-06-19,ID,270625567,1041,34
2020-06-20,ID,270625567,1226,56
2020-06-21,ID,270625567,862,36
2020-06-22,ID,270625567,954,35
2020-06-23,ID,270625567,1051,35
2020-06-24,ID,270625567,1113,38
2020-06-25,ID,270625567,1178,47
2020-06-26,ID,270625567,1240,63
2020-06-27,ID,270625567,1385,37
2020-06-28,ID,270625567,1198,34
2020-06-29,ID,270625567,1082,51
2020-06-30,ID,270625567,1293,71
2020-07-01,ID,270625567,1385,58
2020-07-02,ID,270625567,1624,53
2020-07-03,ID,270625567,1301,49
2020-07-04,ID,270625567,1447,53
2020-07-05,ID,270625567,1607,82
2020-07-06,ID,270625567,1209,70
2020-07-07,ID,270625567,1268,68
2020-07-08,ID,270625567,1853,50
2020-07-09,ID,270625567,2657,58
2020-07-10,ID,270625567,1611,52
2020-07-11,ID,270625567,1671,66
2020-07-12,ID,270625567,1681,71
2020-07-13,ID,270625567,1282,50
2020-07-14,ID,270625567,1591,54
2020-07-15,ID,270625567,1522,87
2020-07-16,ID,270625567,1574,76
2020-07-17,ID,270625567,1462,84
2020-07-18,ID,270625567,1752,59
2020-07-19,ID,270625567,1639,127
2020-07-20,ID,270625567,1693,96
2020-07-21,ID,270625567,1655,81
2020-07-22,ID,270625567,1882,139
2020-07-23,ID,270625567,1906,117
2020-07-24,ID,270625567,1761,89
2020-07-25,ID,270625567,1868,49
2020-07-26,ID,270625567,1492,67
2020-07-27,ID,270625567,1525,57
2020-07-28,ID,270625567,1748,63
