date,countrycode,population,cases,deaths
2020-02-21,IL,8519373,0,0
2020-02-22,IL,8519373,0,0
2020-02-23,IL,8519373,0,0
2020-02-24,IL,8519373,0,0
2020-02-25,IL,8519373,0,0
2020-02-26,IL,8519373,1,0
2020-02-27,IL,8519373,1,0
2020-02-28,IL,8519373,3,0
2020-02-29,IL,8519373,0,0
2020-03-01,IL,8519373,1,0
2020-03-02,IL,8519373,5,0
2020-03-03,IL,8519373,3,0
2020-03-04,IL,8519373,0,0
2020-03-05,IL,8519373,2,0
2020-03-06,IL,8519373,4,0
2020-03-07,IL,8519373,4,0
2020-03-08,IL,8519373,9,0
2020-03-09,IL,8519373,4,0
2020-03-10,IL,8519373,33,0
2020-03-11,IL,8519373,19,0
2020-03-12,IL,8519373,22,0
2020-03-13,IL,8519373,35,0
2020-03-14,IL,8519373,29,0
2020-03-15,IL,8519373,39,0
2020-03-16,IL,8519373,73,0
2020-03-17,IL,8519373,94,0
2020-03-18,IL,8519373,118,0
2020-03-19,IL,8519373,136,0
2020-03-20,IL,8519373,168,1
2020-03-21,IL,8519373,210,0
2020-03-22,IL,8519373,254,0
2020-03-23,IL,8519373,352,0
2020-03-24,IL,8519373,423,3
2020-03-25,IL,8519373,425,1
2020-03-26,IL,8519373,520,5
2020-03-27,IL,8519373,433,2
2020-03-28,IL,8519373,480,1
2020-03-29,IL,8519373,532,3
2020-03-30,IL,8519373,546,1
2020-03-31,IL,8519373,738,4
2020-04-01,IL,8519373,696,8
2020-04-02,IL,8519373,719,9
2020-04-03,IL,8519373,597,5
2020-04-04,IL,8519373,428,6
2020-04-05,IL,8519373,583,7
2020-04-06,IL,8519373,451,8
2020-04-07,IL,8519373,377,8
2020-04-08,IL,8519373,338,8
2020-04-09,IL,8519373,343,9
2020-04-10,IL,8519373,358,8
2020-04-11,IL,8519373,345,6
2020-04-12,IL,8519373,552,6
2020-04-13,IL,8519373,438,9
2020-04-14,IL,8519373,399,8
2020-04-15,IL,8519373,311,13
2020-04-16,IL,8519373,296,7
2020-04-17,IL,8519373,298,9
2020-04-18,IL,8519373,291,11
2020-04-19,IL,8519373,276,8
2020-04-20,IL,8519373,299,6
2020-04-21,IL,8519373,282,9
2020-04-22,IL,8519373,225,3
2020-04-23,IL,8519373,276,4
2020-04-24,IL,8519373,248,3
2020-04-25,IL,8519373,159,3
2020-04-26,IL,8519373,83,2
2020-04-27,IL,8519373,128,4
2020-04-28,IL,8519373,159,5
2020-04-29,IL,8519373,82,6
2020-04-30,IL,8519373,142,6
2020-05-01,IL,8519373,116,4
2020-05-02,IL,8519373,57,3
2020-05-03,IL,8519373,27,3
2020-05-04,IL,8519373,53,3
2020-05-05,IL,8519373,32,2
2020-05-06,IL,8519373,65,1
2020-05-07,IL,8519373,61,1
2020-05-08,IL,8519373,33,6
