date,countrycode,population,cases,deaths
2020-01-30,IN,1366417756,0,0
2020-01-31,IN,1366417756,0,0
2020-02-01,IN,1366417756,0,0
2020-02-02,IN,1366417756,1,0
2020-02-03,IN,1366417756,1,0
2020-02-04,IN,1366417756,0,0
2020-02-05,IN,1366417756,0,0
2020-02-06,IN,1366417756,0,0
2020-02-07,IN,1366417756,0,0
2020-02-08,IN,1366417756,0,0
2020-02-09,IN,1366417756,0,0
2020-02-10,IN,1366417756,0,0
2020-02-11,IN,1366417756,0,0
2020-02-12,IN,1366417756,0,0
2020-02-13,IN,1366417756,0,0
2020-02-14,IN,1366417756,0,0
2020-02-15,IN,1366417756,0,0
2020-02-16,IN,1366417756,0,0
2020-02-17,IN,1366417756,0,0
2020-02-18,IN,1366417756,0,0
2020-02-19,IN,1366417756,0,0
2020-02-20,IN,1366417756,0,0
2020-02-21,IN,1366417756,0,0
2020-02-22,IN,1366417756,0,0
2020-02-23,IN,1366417756,0,0
2020-02-24,IN,1366417756,0,0
2020-02-25,IN,1366417756,0,0
2020-02-26,IN,1366417756,0,0
2020-02-27,IN,1366417756,0,0
2020-02-28,IN,1366417756,0,0
2020-02-29,IN,1366417756,0,0
2020-03-01,IN,1366417756,0,0
2020-03-02,IN,1366417756,2,0
2020-03-03,IN,1366417756,0,0
2020-03-04,IN,1366417756,23,0
2020-03-05,IN,1366417756,2,0
2020-03-06,IN,1366417756,1,0
2020-03-07,IN,1366417756,3,0
2020-03-08,IN,1366417756,5,0
2020-03-09,IN,1366417756,4,0
2020-03-10,IN,1366417756,13,0
2020-03-11,IN,1366417756,6,1
2020-03-12,IN,1366417756,11,0
2020-03-13,IN,1366417756,9,1
2020-03-14,IN,1366417756,20,0
2020-03-15,IN,1366417756,11,0
2020-03-16,IN,1366417756,6,0
2020-03-17,IN,1366417756,23,1
2020-03-18,IN,1366417756,14,0
2020-03-19,IN,1366417756,38,1
2020-03-20,IN,1366417756,50,1
2020-03-21,IN,1366417756,86,-1
2020-03-22,IN,1366417756,66,3
2020-03-23,IN,1366417756,103,3
2020-03-24,IN,1366417756,37,0
2020-03-25,IN,1366417756,121,2
2020-03-26,IN,1366417756,70,8
2020-03-27,IN,1366417756,160,0
2020-03-28,IN,1366417756,100,4
2020-03-29,IN,1366417756,37,3
2020-03-30,IN,1366417756,227,5
2020-03-31,IN,1366417756,146,3
2020-04-01,IN,1366417756,601,23
2020-04-02,IN,1366417756,545,14
2020-04-03,IN,1366417756,24,0
2020-04-04,IN,1366417756,515,14
2020-04-05,IN,1366417756,506,13
2020-04-06,IN,1366417756,1190,37
2020-04-07,IN,1366417756,533,14
2020-04-08,IN,1366417756,605,28
2020-04-09,IN,1366417756,809,48
2020-04-10,IN,1366417756,873,20
2020-04-11,IN,1366417756,848,42
2020-04-12,IN,1366417756,759,43
2020-04-13,IN,1366417756,1248,27
2020-04-14,IN,1366417756,1034,35
2020-04-15,IN,1366417756,835,12
2020-04-16,IN,1366417756,1108,43
2020-04-17,IN,1366417756,922,38
2020-04-18,IN,1366417756,1370,35
2020-04-19,IN,1366417756,1893,38
2020-04-20,IN,1366417756,924,33
2020-04-21,IN,1366417756,1541,53
2020-04-22,IN,1366417756,1290,36
2020-04-23,IN,1366417756,1707,40
2020-04-24,IN,1366417756,1453,59
2020-04-25,IN,1366417756,1753,45
2020-04-26,IN,1366417756,1607,56
2020-04-27,IN,1366417756,1561,58
2020-04-28,IN,1366417756,1873,69
2020-04-29,IN,1366417756,1738,71
2020-04-30,IN,1366417756,1801,75
2020-05-01,IN,1366417756,2394,69
2020-05-02,IN,1366417756,2442,100
2020-05-03,IN,1366417756,2806,68
2020-05-04,IN,1366417756,3932,175
2020-05-05,IN,1366417756,2963,127
2020-05-06,IN,1366417756,3587,92
2020-05-07,IN,1366417756,3364,104
2020-05-08,IN,1366417756,3344,96
2020-05-09,IN,1366417756,3113,116
2020-05-10,IN,1366417756,4353,111
2020-05-11,IN,1366417756,3607,82
2020-05-12,IN,1366417756,3524,121
2020-05-13,IN,1366417756,3763,136
2020-05-14,IN,1366417756,3942,98
2020-05-15,IN,1366417756,3787,104
2020-05-16,IN,1366417756,4864,118
2020-05-17,IN,1366417756,5050,154
2020-05-18,IN,1366417756,4630,131
2020-05-19,IN,1366417756,6147,146
2020-05-20,IN,1366417756,5553,132
2020-05-21,IN,1366417756,6198,150
2020-05-22,IN,1366417756,6568,142
2020-05-23,IN,1366417756,6629,142
2020-05-24,IN,1366417756,7113,156
2020-05-25,IN,1366417756,6414,148
2020-05-26,IN,1366417756,5843,172
2020-05-27,IN,1366417756,7293,190
2020-05-28,IN,1366417756,7300,177
2020-05-29,IN,1366417756,8105,269
2020-05-30,IN,1366417756,8336,205
2020-05-31,IN,1366417756,8782,223
2020-06-01,IN,1366417756,7761,200
2020-06-02,IN,1366417756,8821,221
2020-06-03,IN,1366417756,9633,259
2020-06-04,IN,1366417756,9889,275
2020-06-05,IN,1366417756,9471,286
2020-06-06,IN,1366417756,10438,297
2020-06-07,IN,1366417756,10864,261
2020-06-08,IN,1366417756,8442,266
2020-06-09,IN,1366417756,10218,277
2020-06-10,IN,1366417756,437,-5
2020-06-11,IN,1366417756,20952,753
2020-06-12,IN,1366417756,0,0
2020-06-13,IN,1366417756,11458,386
2020-06-14,IN,1366417756,11929,311
2020-06-15,IN,1366417756,22169,705
2020-06-16,IN,1366417756,10974,2003
2020-06-17,IN,1366417756,12881,334
2020-06-18,IN,1366417756,13586,336
2020-06-19,IN,1366417756,14516,375
2020-06-20,IN,1366417756,15413,306
2020-06-21,IN,1366417756,14821,445
2020-06-22,IN,1366417756,14933,312
2020-06-23,IN,1366417756,15968,465
2020-06-24,IN,1366417756,16922,418
2020-06-25,IN,1366417756,17296,407
2020-06-26,IN,1366417756,18552,384
2020-06-27,IN,1366417756,19906,410
2020-06-28,IN,1366417756,19459,380
2020-06-29,IN,1366417756,18522,418
2020-06-30,IN,1366417756,18653,507
2020-07-01,IN,1366417756,19148,434
2020-07-02,IN,1366417756,20903,379
2020-07-03,IN,1366417756,22771,442
2020-07-04,IN,1366417756,24850,613
2020-07-05,IN,1366417756,24248,425
2020-07-06,IN,1366417756,22251,466
2020-07-07,IN,1366417756,22753,483
2020-07-08,IN,1366417756,24879,487
2020-07-09,IN,1366417756,26506,475
2020-07-10,IN,1366417756,27114,519
2020-07-11,IN,1366417756,28606,550
2020-07-12,IN,1366417756,28732,501
2020-07-13,IN,1366417756,28498,553
2020-07-14,IN,1366417756,29429,582
2020-07-15,IN,1366417756,32676,605
2020-07-16,IN,1366417756,34975,688
2020-07-17,IN,1366417756,35252,671
2020-07-18,IN,1366417756,38697,543
2020-07-19,IN,1366417756,40425,681
2020-07-20,IN,1366417756,37132,585
2020-07-21,IN,1366417756,37740,650
2020-07-22,IN,1366417756,45720,1129
2020-07-23,IN,1366417756,49310,740
2020-07-24,IN,1366417756,48916,757
2020-07-25,IN,1366417756,48611,702
2020-07-26,IN,1366417756,49981,711
2020-07-27,IN,1366417756,44457,637
2020-07-28,IN,1366417756,3083,17
2020-07-29,IN,1366417756,98807,1530
2020-07-30,IN,1366417756,52783,763
2020-07-31,IN,1366417756,61242,793
2020-08-01,IN,1366417756,54735,853
2020-08-02,IN,1366417756,52972,771
2020-08-03,IN,1366417756,52050,803
2020-08-04,IN,1366417756,52509,857
2020-08-05,IN,1366417756,56282,904
2020-08-06,IN,1366417756,62538,886
2020-08-07,IN,1366417756,61537,933
2020-08-08,IN,1366417756,64399,861
2020-08-09,IN,1366417756,62064,1007
2020-08-10,IN,1366417756,53601,871
2020-08-11,IN,1366417756,60963,834
2020-08-12,IN,1366417756,66999,942
2020-08-13,IN,1366417756,64553,1007
2020-08-14,IN,1366417756,64732,996
2020-08-15,IN,1366417756,64030,944
2020-08-16,IN,1366417756,57711,941
2020-08-17,IN,1366417756,55018,876
2020-08-18,IN,1366417756,64572,1091
2020-08-19,IN,1366417756,69672,978
2020-08-20,IN,1366417756,68900,983
2020-08-21,IN,1366417756,69876,945
2020-08-22,IN,1366417756,69239,912
2020-08-23,IN,1366417756,61408,836
2020-08-24,IN,1366417756,60975,848
2020-08-25,IN,1366417756,57224,967
2020-08-26,IN,1366417756,85687,1115
2020-08-27,IN,1366417756,77266,1057
2020-08-28,IN,1366417756,76472,1021
2020-08-29,IN,1366417756,78761,948
2020-08-30,IN,1366417756,78512,971
2020-08-31,IN,1366417756,69921,819
2020-09-01,IN,1366417756,78357,1045
2020-09-02,IN,1366417756,83883,1043
2020-09-03,IN,1366417756,83341,1096
2020-09-04,IN,1366417756,86432,1089
2020-09-05,IN,1366417756,90632,1065
2020-09-06,IN,1366417756,90802,1016
2020-09-07,IN,1366417756,75809,1133
2020-09-08,IN,1366417756,89706,1115
2020-09-09,IN,1366417756,95735,1172
2020-09-10,IN,1366417756,96551,1209
2020-09-11,IN,1366417756,97570,1201
2020-09-12,IN,1366417756,94372,1114
2020-09-13,IN,1366417756,92071,1136
2020-09-14,IN,1366417756,0,0
2020-09-15,IN,1366417756,173932,2344
2020-09-16,IN,1366417756,97894,1132
2020-09-17,IN,1366417756,96424,1174
2020-09-18,IN,1366417756,93337,1247
2020-09-19,IN,1366417756,92605,1133
2020-09-20,IN,1366417756,86961,1130
2020-09-21,IN,1366417756,75083,1053
2020-09-22,IN,1366417756,83347,1085
2020-09-23,IN,1366417756,86508,1129
2020-09-24,IN,1366417756,86052,1141
2020-09-25,IN,1366417756,85362,1089
2020-09-26,IN,1366417756,88600,1124
2020-09-27,IN,1366417756,82170,1039
2020-09-28,IN,1366417756,70589,776
2020-09-29,IN,1366417756,80472,1179
2020-09-30,IN,1366417756,86821,1181
2020-10-01,IN,1366417756,73942,942
2020-10-02,IN,1366417756,87018,1222
2020-10-03,IN,1366417756,75829,940
2020-10-04,IN,1366417756,74442,903
2020-10-05,IN,1366417756,61267,884
2020-10-06,IN,1366417756,72049,986
2020-10-07,IN,1366417756,78524,971
2020-10-08,IN,1366417756,70496,964
2020-10-09,IN,1366417756,73272,926
2020-10-10,IN,1366417756,74383,918
2020-10-11,IN,1366417756,66732,816
2020-10-12,IN,1366417756,55342,706
2020-10-13,IN,1366417756,63509,730
2020-10-14,IN,1366417756,67708,680
2020-10-15,IN,1366417756,63371,895
2020-10-16,IN,1366417756,62212,837
2020-10-17,IN,1366417756,61871,1033
2020-10-18,IN,1366417756,55722,579
2020-10-19,IN,1366417756,46790,587
2020-10-20,IN,1366417756,54044,717
2020-10-21,IN,1366417756,55839,702
2020-10-22,IN,1366417756,54366,690
2020-10-23,IN,1366417756,53370,650
2020-10-24,IN,1366417756,50129,578
2020-10-25,IN,1366417756,45148,480
2020-10-26,IN,1366417756,36470,488
2020-10-27,IN,1366417756,43893,508
2020-10-28,IN,1366417756,49881,517
2020-10-29,IN,1366417756,48648,563
2020-10-30,IN,1366417756,48268,551
2020-10-31,IN,1366417756,46963,470
2020-11-01,IN,1366417756,45231,496
2020-11-02,IN,1366417756,38310,490
2020-11-03,IN,1366417756,46253,514
2020-11-04,IN,1366417756,50210,704
2020-11-05,IN,1366417756,47638,670
2020-11-06,IN,1366417756,50356,577
2020-11-07,IN,1366417756,45674,559
2020-11-08,IN,1366417756,45903,490
2020-11-09,IN,1366417756,38073,448
2020-11-10,IN,1366417756,44281,512
2020-11-11,IN,1366417756,47905,550
2020-11-12,IN,1366417756,44879,547
2020-11-13,IN,1366417756,44684,520
2020-11-14,IN,1366417756,41100,447
2020-11-15,IN,1366417756,30548,435
2020-11-16,IN,1366417756,28414,433
2020-11-17,IN,1366417756,39366,490
2020-11-18,IN,1366417756,45576,585
2020-11-19,IN,1366417756,45882,584
2020-11-20,IN,1366417756,46232,564
2020-11-21,IN,1366417756,45209,501
2020-11-22,IN,1366417756,44059,511
2020-11-23,IN,1366417756,37975,480
2020-11-24,IN,1366417756,44376,481
2020-11-25,IN,1366417756,44489,524
2020-11-26,IN,1366417756,43082,492
2020-11-27,IN,1366417756,41322,485
2020-11-28,IN,1366417756,41810,496
2020-11-29,IN,1366417756,38772,443
2020-11-30,IN,1366417756,31118,482
2020-12-01,IN,1366417756,36604,501
2020-12-02,IN,1366417756,35551,526
2020-12-03,IN,1366417756,36595,540
2020-12-04,IN,1366417756,36652,512
2020-12-05,IN,1366417756,36011,482
2020-12-06,IN,1366417756,32981,391
2020-12-07,IN,1366417756,26567,385
2020-12-08,IN,1366417756,32080,402
2020-12-09,IN,1366417756,31521,412
2020-12-10,IN,1366417756,29373,413
2020-12-11,IN,1366417756,30031,443
2020-12-12,IN,1366417756,30254,391
2020-12-13,IN,1366417756,27071,336
2020-12-14,IN,1366417756,22065,354
2020-12-15,IN,1366417756,26382,387
2020-12-16,IN,1366417756,24010,355
2020-12-17,IN,1366417756,22890,338
2020-12-18,IN,1366417756,25152,347
2020-12-19,IN,1366417756,26624,341
2020-12-20,IN,1366417756,24337,333
