date,countrycode,population,cases,deaths
2020-03-11,JM,2734093,0,0
2020-03-12,JM,2734093,1,0
2020-03-13,JM,2734093,6,0
2020-03-14,JM,2734093,0,0
2020-03-15,JM,2734093,2,0
2020-03-16,JM,2734093,0,0
2020-03-17,JM,2734093,2,0
2020-03-18,JM,2734093,1,0
2020-03-19,JM,2734093,2,1
2020-03-20,JM,2734093,1,0
2020-03-21,JM,2734093,0,0
2020-03-22,JM,2734093,3,0
2020-03-23,JM,2734093,0,0
2020-03-24,JM,2734093,2,0
2020-03-25,JM,2734093,5,0
2020-03-26,JM,2734093,0,0
2020-03-27,JM,2734093,0,0
2020-03-28,JM,2734093,4,0
2020-03-29,JM,2734093,2,0
2020-03-30,JM,2734093,4,0
2020-03-31,JM,2734093,0,0
2020-04-01,JM,2734093,8,2
2020-04-02,JM,2734093,3,0
2020-04-03,JM,2734093,0,0
2020-04-04,JM,2734093,6,0
2020-04-05,JM,2734093,5,0
2020-04-06,JM,2734093,0,0
2020-04-07,JM,2734093,5,0
2020-04-08,JM,2734093,0,1
2020-04-09,JM,2734093,0,0
2020-04-10,JM,2734093,0,0
2020-04-11,JM,2734093,2,0
2020-04-12,JM,2734093,4,0
2020-04-13,JM,2734093,4,0
2020-04-14,JM,2734093,0,0
2020-04-15,JM,2734093,52,1
2020-04-16,JM,2734093,18,0
2020-04-17,JM,2734093,0,0
2020-04-18,JM,2734093,20,0
2020-04-19,JM,2734093,10,0
2020-04-20,JM,2734093,50,0
2020-04-21,JM,2734093,0,1
2020-04-22,JM,2734093,10,0
2020-04-23,JM,2734093,24,0
2020-04-24,JM,2734093,31,1
2020-04-25,JM,2734093,17,0
2020-04-26,JM,2734093,45,0
2020-04-27,JM,2734093,14,0
2020-04-28,JM,2734093,0,0
2020-04-29,JM,2734093,32,0
2020-04-30,JM,2734093,26,1
2020-05-01,JM,2734093,10,0
2020-05-02,JM,2734093,31,0
2020-05-03,JM,2734093,6,1
2020-05-04,JM,2734093,2,0
2020-05-05,JM,2734093,2,0
2020-05-06,JM,2734093,5,0
2020-05-07,JM,2734093,10,0
2020-05-08,JM,2734093,2,0
2020-05-09,JM,2734093,0,0
2020-05-10,JM,2734093,12,0
2020-05-11,JM,2734093,3,0
2020-05-12,JM,2734093,2,0
2020-05-13,JM,2734093,2,0
2020-05-14,JM,2734093,0,0
2020-05-15,JM,2734093,2,0
2020-05-16,JM,2734093,6,0
2020-05-17,JM,2734093,3,0
2020-05-18,JM,2734093,0,0
2020-05-19,JM,2734093,0,0
2020-05-20,JM,2734093,9,0
2020-05-21,JM,2734093,5,0
2020-05-22,JM,2734093,10,0
2020-05-23,JM,2734093,6,0
2020-05-24,JM,2734093,2,0
2020-05-25,JM,2734093,4,0
2020-05-26,JM,2734093,8,0
2020-05-27,JM,2734093,5,0
2020-05-28,JM,2734093,0,0
2020-05-29,JM,2734093,6,0
2020-05-30,JM,2734093,6,0
2020-05-31,JM,2734093,5,0
2020-06-01,JM,2734093,2,0
2020-06-02,JM,2734093,2,0
2020-06-03,JM,2734093,1,1
2020-06-04,JM,2734093,0,0
2020-06-05,JM,2734093,4,0
2020-06-06,JM,2734093,1,0
2020-06-07,JM,2734093,2,0
2020-06-08,JM,2734093,1,0
2020-06-09,JM,2734093,6,0
2020-06-10,JM,2734093,0,0
2020-06-11,JM,2734093,6,0
2020-06-12,JM,2734093,3,0
2020-06-13,JM,2734093,1,0
2020-06-14,JM,2734093,2,0
2020-06-15,JM,2734093,4,0
2020-06-16,JM,2734093,0,0
2020-06-17,JM,2734093,5,0
2020-06-18,JM,2734093,12,0
2020-06-19,JM,2734093,14,0
2020-06-20,JM,2734093,5,0
2020-06-21,JM,2734093,2,0
2020-06-22,JM,2734093,6,0
2020-06-23,JM,2734093,5,0
2020-06-24,JM,2734093,8,0
2020-06-25,JM,2734093,6,0
2020-06-26,JM,2734093,2,0
