date,countrycode,population,cases,deaths
2020-01-22,JP,126860299,0,0
2020-01-23,JP,126860299,-1,0
2020-01-24,JP,126860299,1,0
2020-01-25,JP,126860299,0,0
2020-01-26,JP,126860299,2,0
2020-01-27,JP,126860299,0,0
2020-01-28,JP,126860299,3,0
2020-01-29,JP,126860299,0,0
2020-01-30,JP,126860299,4,0
2020-01-31,JP,126860299,4,0
2020-02-01,JP,126860299,5,0
2020-02-02,JP,126860299,0,0
2020-02-03,JP,126860299,0,0
2020-02-04,JP,126860299,2,0
2020-02-05,JP,126860299,0,0
2020-02-06,JP,126860299,23,0
2020-02-07,JP,126860299,-20,0
2020-02-08,JP,126860299,0,0
2020-02-09,JP,126860299,1,0
2020-02-10,JP,126860299,0,0
2020-02-11,JP,126860299,0,0
2020-02-12,JP,126860299,2,0
2020-02-13,JP,126860299,0,1
2020-02-14,JP,126860299,1,0
2020-02-15,JP,126860299,14,0
2020-02-16,JP,126860299,16,0
2020-02-17,JP,126860299,7,0
2020-02-18,JP,126860299,8,0
2020-02-19,JP,126860299,10,0
2020-02-20,JP,126860299,10,0
2020-02-21,JP,126860299,11,0
2020-02-22,JP,126860299,17,0
2020-02-23,JP,126860299,25,0
2020-02-24,JP,126860299,12,0
2020-02-25,JP,126860299,11,0
2020-02-26,JP,126860299,19,1
2020-02-27,JP,126860299,25,2
2020-02-28,JP,126860299,14,0
2020-02-29,JP,126860299,13,1
2020-03-01,JP,126860299,15,1
2020-03-02,JP,126860299,18,0
2020-03-03,JP,126860299,19,0
2020-03-04,JP,126860299,38,0
2020-03-05,JP,126860299,29,0
2020-03-06,JP,126860299,60,0
2020-03-07,JP,126860299,41,0
2020-03-08,JP,126860299,41,0
2020-03-09,JP,126860299,9,11
2020-03-10,JP,126860299,70,-7
2020-03-11,JP,126860299,58,5
2020-03-12,JP,126860299,0,1
2020-03-13,JP,126860299,62,3
2020-03-14,JP,126860299,72,3
2020-03-15,JP,126860299,66,0
2020-03-16,JP,126860299,-14,5
2020-03-17,JP,126860299,53,2
2020-03-18,JP,126860299,11,0
2020-03-19,JP,126860299,35,0
2020-03-20,JP,126860299,39,4
2020-03-21,JP,126860299,44,2
2020-03-22,JP,126860299,79,1
2020-03-23,JP,126860299,42,6
2020-03-24,JP,126860299,65,1
2020-03-25,JP,126860299,114,2
2020-03-26,JP,126860299,80,2
2020-03-27,JP,126860299,81,2
2020-03-28,JP,126860299,225,3
2020-03-29,JP,126860299,173,2
2020-03-30,JP,126860299,0,0
2020-03-31,JP,126860299,87,2
2020-04-01,JP,126860299,225,1
2020-04-02,JP,126860299,317,5
2020-04-03,JP,126860299,122,1
2020-04-04,JP,126860299,522,14
2020-04-05,JP,126860299,0,0
2020-04-06,JP,126860299,515,8
2020-04-07,JP,126860299,252,7
2020-04-08,JP,126860299,351,1
2020-04-09,JP,126860299,410,1
2020-04-10,JP,126860299,863,5
2020-04-11,JP,126860299,475,0
2020-04-12,JP,126860299,743,9
2020-04-13,JP,126860299,622,15
2020-04-14,JP,126860299,275,20
2020-04-15,JP,126860299,455,3
2020-04-16,JP,126860299,526,32
2020-04-17,JP,126860299,1161,12
2020-04-18,JP,126860299,509,32
2020-04-19,JP,126860299,501,14
2020-04-20,JP,126860299,0,0
2020-04-21,JP,126860299,338,27
2020-04-22,JP,126860299,377,18
2020-04-23,JP,126860299,856,47
2020-04-24,JP,126860299,461,17
