date,countrycode,population,cases,deaths
2020-03-13,KE,52573967,0,0
2020-03-14,KE,52573967,0,0
2020-03-15,KE,52573967,2,0
2020-03-16,KE,52573967,0,0
2020-03-17,KE,52573967,0,0
2020-03-18,KE,52573967,0,0
2020-03-19,KE,52573967,4,0
2020-03-20,KE,52573967,0,0
2020-03-21,KE,52573967,0,0
2020-03-22,KE,52573967,8,0
2020-03-23,KE,52573967,1,0
2020-03-24,KE,52573967,9,0
2020-03-25,KE,52573967,3,0
2020-03-26,KE,52573967,3,1
2020-03-27,KE,52573967,0,0
2020-03-28,KE,52573967,7,0
2020-03-29,KE,52573967,4,0
2020-03-30,KE,52573967,8,0
2020-03-31,KE,52573967,9,0
2020-04-01,KE,52573967,22,0
2020-04-02,KE,52573967,29,2
2020-04-03,KE,52573967,12,1
2020-04-04,KE,52573967,4,0
2020-04-05,KE,52573967,16,0
2020-04-06,KE,52573967,16,2
2020-04-07,KE,52573967,14,0
2020-04-08,KE,52573967,7,0
2020-04-09,KE,52573967,5,1
2020-04-10,KE,52573967,5,0
2020-04-11,KE,52573967,2,0
2020-04-12,KE,52573967,6,1
2020-04-13,KE,52573967,11,1
2020-04-14,KE,52573967,8,0
2020-04-15,KE,52573967,9,1
2020-04-16,KE,52573967,9,1
2020-04-17,KE,52573967,12,0
2020-04-18,KE,52573967,16,1
2020-04-19,KE,52573967,8,2
2020-04-20,KE,52573967,11,0
2020-04-21,KE,52573967,15,0
2020-04-22,KE,52573967,7,0
2020-04-23,KE,52573967,17,0
2020-04-24,KE,52573967,16,0
2020-04-25,KE,52573967,7,0
2020-04-26,KE,52573967,12,0
2020-04-27,KE,52573967,8,0
2020-04-28,KE,52573967,11,0
2020-04-29,KE,52573967,10,1
2020-04-30,KE,52573967,12,2
2020-05-01,KE,52573967,15,4
2020-05-02,KE,52573967,24,1
2020-05-03,KE,52573967,30,2
2020-05-04,KE,52573967,25,0
2020-05-05,KE,52573967,45,0
2020-05-06,KE,52573967,47,2
2020-05-07,KE,52573967,25,3
2020-05-08,KE,52573967,14,0
2020-05-09,KE,52573967,28,1
2020-05-10,KE,52573967,23,2
2020-05-11,KE,52573967,28,1
2020-05-12,KE,52573967,15,3
2020-05-13,KE,52573967,22,4
2020-05-14,KE,52573967,21,2
2020-05-15,KE,52573967,23,3
2020-05-16,KE,52573967,49,5
2020-05-17,KE,52573967,57,0
2020-05-18,KE,52573967,25,0
2020-05-19,KE,52573967,51,0
2020-05-20,KE,52573967,66,0
2020-05-21,KE,52573967,80,0
2020-05-22,KE,52573967,52,0
2020-05-23,KE,52573967,31,0
2020-05-24,KE,52573967,22,1
2020-05-25,KE,52573967,72,1
2020-05-26,KE,52573967,62,0
2020-05-27,KE,52573967,123,3
2020-05-28,KE,52573967,147,3
2020-05-29,KE,52573967,127,4
2020-05-30,KE,52573967,143,1
2020-05-31,KE,52573967,74,1
2020-06-01,KE,52573967,59,5
2020-06-02,KE,52573967,72,2
2020-06-03,KE,52573967,123,3
2020-06-04,KE,52573967,124,4
2020-06-05,KE,52573967,134,1
2020-06-06,KE,52573967,126,4
2020-06-07,KE,52573967,167,1
2020-06-08,KE,52573967,105,1
2020-06-09,KE,52573967,117,3
2020-06-10,KE,52573967,105,1
2020-06-11,KE,52573967,121,3
2020-06-12,KE,52573967,90,4
2020-06-13,KE,52573967,152,4
2020-06-14,KE,52573967,137,3
2020-06-15,KE,52573967,133,1
2020-06-16,KE,52573967,133,1
2020-06-17,KE,52573967,184,2
2020-06-18,KE,52573967,213,10
2020-06-19,KE,52573967,117,2
2020-06-20,KE,52573967,104,2
2020-06-21,KE,52573967,260,2
2020-06-22,KE,52573967,59,2
2020-06-23,KE,52573967,155,3
2020-06-24,KE,52573967,254,2
2020-06-25,KE,52573967,178,2
2020-06-26,KE,52573967,149,5
2020-06-27,KE,52573967,278,4
2020-06-28,KE,52573967,259,2
2020-06-29,KE,52573967,120,1
2020-06-30,KE,52573967,176,4
2020-07-01,KE,52573967,307,1
2020-07-02,KE,52573967,268,3
2020-07-03,KE,52573967,247,2
2020-07-04,KE,52573967,389,5
2020-07-05,KE,52573967,309,1
2020-07-06,KE,52573967,181,4
2020-07-07,KE,52573967,183,3
2020-07-08,KE,52573967,278,2
2020-07-09,KE,52573967,447,4
2020-07-10,KE,52573967,473,8
2020-07-11,KE,52573967,278,3
2020-07-12,KE,52573967,379,1
2020-07-13,KE,52573967,189,12
2020-07-14,KE,52573967,497,5
2020-07-15,KE,52573967,461,7
2020-07-16,KE,52573967,421,8
2020-07-17,KE,52573967,389,5
2020-07-18,KE,52573967,688,3
2020-07-19,KE,52573967,603,9
2020-07-20,KE,52573967,418,4
2020-07-21,KE,52573967,397,12
2020-07-22,KE,52573967,637,10
2020-07-23,KE,52573967,796,3
2020-07-24,KE,52573967,667,11
2020-07-25,KE,52573967,375,4
2020-07-26,KE,52573967,960,2
2020-07-27,KE,52573967,372,5
2020-07-28,KE,52573967,606,14
2020-07-29,KE,52573967,544,12
2020-07-30,KE,52573967,788,14
2020-07-31,KE,52573967,723,16
2020-08-01,KE,52573967,727,23
2020-08-02,KE,52573967,690,5
2020-08-03,KE,52573967,544,13
2020-08-04,KE,52573967,605,6
2020-08-05,KE,52573967,671,3
2020-08-06,KE,52573967,538,8
2020-08-07,KE,52573967,727,14
2020-08-08,KE,52573967,699,5
2020-08-09,KE,52573967,599,2
2020-08-10,KE,52573967,492,3
2020-08-11,KE,52573967,497,15
2020-08-12,KE,52573967,679,18
2020-08-13,KE,52573967,650,4
2020-08-14,KE,52573967,580,5
2020-08-15,KE,52573967,515,7
2020-08-16,KE,52573967,271,2
2020-08-17,KE,52573967,245,8
2020-08-18,KE,52573967,271,5
2020-08-19,KE,52573967,379,19
2020-08-20,KE,52573967,426,10
2020-08-21,KE,52573967,322,16
2020-08-22,KE,52573967,355,10
2020-08-23,KE,52573967,246,6
2020-08-24,KE,52573967,193,6
2020-08-25,KE,52573967,246,5
2020-08-26,KE,52573967,213,5
2020-08-27,KE,52573967,373,3
2020-08-28,KE,52573967,241,0
2020-08-29,KE,52573967,164,5
2020-08-30,KE,52573967,263,2
2020-08-31,KE,52573967,144,3
2020-09-01,KE,52573967,114,0
2020-09-02,KE,52573967,178,4
2020-09-03,KE,52573967,212,4
2020-09-04,KE,52573967,179,4
2020-09-05,KE,52573967,136,5
2020-09-06,KE,52573967,83,3
2020-09-07,KE,52573967,102,2
2020-09-08,KE,52573967,151,0
2020-09-09,KE,52573967,104,8
2020-09-10,KE,52573967,143,5
2020-09-11,KE,52573967,190,4
2020-09-12,KE,52573967,176,3
2020-09-13,KE,52573967,188,3
2020-09-14,KE,52573967,48,2
2020-09-15,KE,52573967,96,10
2020-09-16,KE,52573967,0,0
2020-09-17,KE,52573967,275,8
2020-09-18,KE,52573967,148,4
2020-09-19,KE,52573967,105,0
2020-09-20,KE,52573967,152,2
2020-09-21,KE,52573967,98,2
2020-09-22,KE,52573967,139,9
2020-09-23,KE,52573967,130,5
2020-09-24,KE,52573967,141,5
2020-09-25,KE,52573967,218,13
2020-09-26,KE,52573967,164,7
2020-09-27,KE,52573967,244,2
2020-09-28,KE,52573967,53,9
2020-09-29,KE,52573967,210,7
2020-09-30,KE,52573967,151,4
2020-10-01,KE,52573967,184,0
2020-10-02,KE,52573967,210,14
2020-10-03,KE,52573967,261,3
2020-10-04,KE,52573967,243,3
2020-10-05,KE,52573967,22,4
2020-10-06,KE,52573967,137,8
2020-10-07,KE,52573967,321,5
