date,countrycode,population,cases,deaths
2020-01-27,KH,16486542,0,0
2020-01-28,KH,16486542,0,0
2020-01-29,KH,16486542,0,0
2020-01-30,KH,16486542,0,0
2020-01-31,KH,16486542,0,0
2020-02-01,KH,16486542,0,0
2020-02-02,KH,16486542,0,0
2020-02-03,KH,16486542,0,0
2020-02-04,KH,16486542,0,0
2020-02-05,KH,16486542,0,0
2020-02-06,KH,16486542,0,0
2020-02-07,KH,16486542,0,0
2020-02-08,KH,16486542,0,0
2020-02-09,KH,16486542,0,0
2020-02-10,KH,16486542,0,0
2020-02-11,KH,16486542,0,0
2020-02-12,KH,16486542,0,0
2020-02-13,KH,16486542,0,0
2020-02-14,KH,16486542,0,0
2020-02-15,KH,16486542,0,0
2020-02-16,KH,16486542,0,0
2020-02-17,KH,16486542,0,0
2020-02-18,KH,16486542,0,0
2020-02-19,KH,16486542,0,0
2020-02-20,KH,16486542,0,0
2020-02-21,KH,16486542,0,0
2020-02-22,KH,16486542,0,0
2020-02-23,KH,16486542,0,0
2020-02-24,KH,16486542,0,0
2020-02-25,KH,16486542,0,0
2020-02-26,KH,16486542,0,0
2020-02-27,KH,16486542,0,0
2020-02-28,KH,16486542,0,0
2020-02-29,KH,16486542,0,0
2020-03-01,KH,16486542,0,0
2020-03-02,KH,16486542,0,0
2020-03-03,KH,16486542,0,0
2020-03-04,KH,16486542,0,0
2020-03-05,KH,16486542,0,0
2020-03-06,KH,16486542,0,0
2020-03-07,KH,16486542,0,0
2020-03-08,KH,16486542,1,0
2020-03-09,KH,16486542,0,0
2020-03-10,KH,16486542,0,0
2020-03-11,KH,16486542,1,0
2020-03-12,KH,16486542,0,0
2020-03-13,KH,16486542,2,0
2020-03-14,KH,16486542,2,0
2020-03-15,KH,16486542,0,0
2020-03-16,KH,16486542,0,0
2020-03-17,KH,16486542,26,0
2020-03-18,KH,16486542,2,0
2020-03-19,KH,16486542,2,0
2020-03-20,KH,16486542,14,0
2020-03-21,KH,16486542,2,0
2020-03-22,KH,16486542,31,0
2020-03-23,KH,16486542,3,0
2020-03-24,KH,16486542,4,0
2020-03-25,KH,16486542,5,0
2020-03-26,KH,16486542,0,0
2020-03-27,KH,16486542,3,0
2020-03-28,KH,16486542,0,0
2020-03-29,KH,16486542,4,0
2020-03-30,KH,16486542,4,0
2020-03-31,KH,16486542,2,0
2020-04-01,KH,16486542,0,0
2020-04-02,KH,16486542,1,0
2020-04-03,KH,16486542,4,0
2020-04-04,KH,16486542,0,0
2020-04-05,KH,16486542,0,0
2020-04-06,KH,16486542,0,0
2020-04-07,KH,16486542,1,0
2020-04-08,KH,16486542,2,0
2020-04-09,KH,16486542,2,0
2020-04-10,KH,16486542,0,0
2020-04-11,KH,16486542,1,0
2020-04-12,KH,16486542,2,0
2020-04-13,KH,16486542,0,0
2020-04-14,KH,16486542,0,0
2020-04-15,KH,16486542,0,0
2020-04-16,KH,16486542,0,0
2020-04-17,KH,16486542,0,0
2020-04-18,KH,16486542,0,0
2020-04-19,KH,16486542,0,0
2020-04-20,KH,16486542,0,0
2020-04-21,KH,16486542,0,0
2020-04-22,KH,16486542,0,0
2020-04-23,KH,16486542,0,0
2020-04-24,KH,16486542,0,0
2020-04-25,KH,16486542,0,0
2020-04-26,KH,16486542,0,0
2020-04-27,KH,16486542,0,0
2020-04-28,KH,16486542,0,0
2020-04-29,KH,16486542,0,0
2020-04-30,KH,16486542,0,0
2020-05-01,KH,16486542,0,0
2020-05-02,KH,16486542,0,0
2020-05-03,KH,16486542,0,0
2020-05-04,KH,16486542,0,0
2020-05-05,KH,16486542,0,0
2020-05-06,KH,16486542,0,0
2020-05-07,KH,16486542,0,0
2020-05-08,KH,16486542,0,0
2020-05-09,KH,16486542,0,0
2020-05-10,KH,16486542,0,0
2020-05-11,KH,16486542,0,0
2020-05-12,KH,16486542,0,0
2020-05-13,KH,16486542,0,0
2020-05-14,KH,16486542,0,0
2020-05-15,KH,16486542,0,0
2020-05-16,KH,16486542,0,0
2020-05-17,KH,16486542,0,0
2020-05-18,KH,16486542,0,0
2020-05-19,KH,16486542,0,0
2020-05-20,KH,16486542,0,0
2020-05-21,KH,16486542,1,0
2020-05-22,KH,16486542,0,0
2020-05-23,KH,16486542,1,0
2020-05-24,KH,16486542,0,0
2020-05-25,KH,16486542,0,0
2020-05-26,KH,16486542,0,0
2020-05-27,KH,16486542,0,0
2020-05-28,KH,16486542,0,0
2020-05-29,KH,16486542,0,0
2020-05-30,KH,16486542,1,0
2020-05-31,KH,16486542,0,0
2020-06-01,KH,16486542,0,0
2020-06-02,KH,16486542,0,0
2020-06-03,KH,16486542,0,0
2020-06-04,KH,16486542,0,0
2020-06-05,KH,16486542,0,0
2020-06-06,KH,16486542,0,0
2020-06-07,KH,16486542,1,0
2020-06-08,KH,16486542,0,0
2020-06-09,KH,16486542,0,0
2020-06-10,KH,16486542,0,0
2020-06-11,KH,16486542,0,0
2020-06-12,KH,16486542,0,0
2020-06-13,KH,16486542,2,0
2020-06-14,KH,16486542,0,0
2020-06-15,KH,16486542,0,0
2020-06-16,KH,16486542,0,0
2020-06-17,KH,16486542,0,0
2020-06-18,KH,16486542,1,0
2020-06-19,KH,16486542,0,0
2020-06-20,KH,16486542,0,0
2020-06-21,KH,16486542,0,0
2020-06-22,KH,16486542,1,0
2020-06-23,KH,16486542,0,0
2020-06-24,KH,16486542,0,0
2020-06-25,KH,16486542,0,0
2020-06-26,KH,16486542,9,0
2020-06-27,KH,16486542,2,0
2020-06-28,KH,16486542,0,0
2020-06-29,KH,16486542,0,0
2020-06-30,KH,16486542,0,0
2020-07-01,KH,16486542,0,0
2020-07-02,KH,16486542,0,0
2020-07-03,KH,16486542,0,0
2020-07-04,KH,16486542,0,0
2020-07-05,KH,16486542,0,0
2020-07-06,KH,16486542,0,0
