date,countrycode,population,cases,deaths
2020-04-30,KM,758316,0,0
2020-05-01,KM,758316,0,0
2020-05-02,KM,758316,2,0
2020-05-03,KM,758316,0,0
2020-05-04,KM,758316,0,0
2020-05-05,KM,758316,0,0
2020-05-06,KM,758316,5,1
2020-05-07,KM,758316,0,0
2020-05-08,KM,758316,0,0
2020-05-09,KM,758316,3,0
2020-05-10,KM,758316,0,0
2020-05-11,KM,758316,0,0
2020-05-12,KM,758316,0,0
2020-05-13,KM,758316,0,0
2020-05-14,KM,758316,0,0
2020-05-15,KM,758316,0,0
2020-05-16,KM,758316,0,0
2020-05-17,KM,758316,0,0
2020-05-18,KM,758316,0,0
2020-05-19,KM,758316,0,0
2020-05-20,KM,758316,23,0
2020-05-21,KM,758316,0,0
2020-05-22,KM,758316,44,0
2020-05-23,KM,758316,0,0
2020-05-24,KM,758316,9,0
2020-05-25,KM,758316,0,0
2020-05-26,KM,758316,0,0
2020-05-27,KM,758316,0,1
2020-05-28,KM,758316,0,0
2020-05-29,KM,758316,0,0
2020-05-30,KM,758316,19,0
2020-05-31,KM,758316,0,0
2020-06-01,KM,758316,0,0
2020-06-02,KM,758316,26,0
2020-06-03,KM,758316,0,0
2020-06-04,KM,758316,0,0
2020-06-05,KM,758316,0,0
2020-06-06,KM,758316,9,0
2020-06-07,KM,758316,0,0
2020-06-08,KM,758316,0,0
2020-06-09,KM,758316,0,0
2020-06-10,KM,758316,21,0
2020-06-11,KM,758316,0,0
2020-06-12,KM,758316,1,0
2020-06-13,KM,758316,13,0
2020-06-14,KM,758316,0,0
2020-06-15,KM,758316,0,0
2020-06-16,KM,758316,21,1
2020-06-17,KM,758316,0,0
2020-06-18,KM,758316,13,2
2020-06-19,KM,758316,0,0
2020-06-20,KM,758316,37,0
2020-06-21,KM,758316,0,0
2020-06-22,KM,758316,0,0
2020-06-23,KM,758316,18,2
2020-06-24,KM,758316,0,0
2020-06-25,KM,758316,7,0
2020-06-26,KM,758316,0,0
2020-06-27,KM,758316,0,0
2020-06-28,KM,758316,0,0
2020-06-29,KM,758316,0,0
2020-06-30,KM,758316,31,0
2020-07-01,KM,758316,0,0
2020-07-02,KM,758316,0,0
