date,countrycode,population,cases,deaths
2020-01-22,LA,7337783,0,0
2020-01-23,LA,7337783,0,0
2020-01-24,LA,7337783,0,0
2020-01-25,LA,7337783,0,0
2020-01-26,LA,7337783,0,0
2020-01-27,LA,7337783,0,0
2020-01-28,LA,7337783,0,0
2020-01-29,LA,7337783,0,0
2020-01-30,LA,7337783,0,0
2020-01-31,LA,7337783,0,0
2020-02-01,LA,7337783,0,0
2020-02-02,LA,7337783,0,0
2020-02-03,LA,7337783,0,0
2020-02-04,LA,7337783,0,0
2020-02-05,LA,7337783,0,0
2020-02-06,LA,7337783,0,0
2020-02-07,LA,7337783,0,0
2020-02-08,LA,7337783,0,0
2020-02-09,LA,7337783,0,0
2020-02-10,LA,7337783,0,0
2020-02-11,LA,7337783,0,0
2020-02-12,LA,7337783,0,0
2020-02-13,LA,7337783,0,0
2020-02-14,LA,7337783,0,0
2020-02-15,LA,7337783,0,0
2020-02-16,LA,7337783,0,0
2020-02-17,LA,7337783,0,0
2020-02-18,LA,7337783,0,0
2020-02-19,LA,7337783,0,0
2020-02-20,LA,7337783,0,0
2020-02-21,LA,7337783,0,0
2020-02-22,LA,7337783,0,0
2020-02-23,LA,7337783,0,0
2020-02-24,LA,7337783,0,0
2020-02-25,LA,7337783,0,0
2020-02-26,LA,7337783,0,0
2020-02-27,LA,7337783,0,0
2020-02-28,LA,7337783,0,0
2020-02-29,LA,7337783,0,0
2020-03-01,LA,7337783,0,0
2020-03-02,LA,7337783,0,0
2020-03-03,LA,7337783,0,0
2020-03-04,LA,7337783,0,0
2020-03-05,LA,7337783,0,0
2020-03-06,LA,7337783,0,0
2020-03-07,LA,7337783,0,0
2020-03-08,LA,7337783,0,0
2020-03-09,LA,7337783,0,0
2020-03-10,LA,7337783,0,0
2020-03-11,LA,7337783,0,0
2020-03-12,LA,7337783,0,0
2020-03-13,LA,7337783,0,0
2020-03-14,LA,7337783,0,0
2020-03-15,LA,7337783,0,0
2020-03-16,LA,7337783,0,0
2020-03-17,LA,7337783,0,0
2020-03-18,LA,7337783,0,0
2020-03-19,LA,7337783,0,0
2020-03-20,LA,7337783,0,0
2020-03-21,LA,7337783,0,0
2020-03-22,LA,7337783,0,0
2020-03-23,LA,7337783,0,0
2020-03-24,LA,7337783,2,0
2020-03-25,LA,7337783,1,0
2020-03-26,LA,7337783,3,0
2020-03-27,LA,7337783,0,0
2020-03-28,LA,7337783,2,0
2020-03-29,LA,7337783,0,0
2020-03-30,LA,7337783,0,0
2020-03-31,LA,7337783,1,0
2020-04-01,LA,7337783,1,0
2020-04-02,LA,7337783,0,0
2020-04-03,LA,7337783,0,0
2020-04-04,LA,7337783,0,0
2020-04-05,LA,7337783,1,0
2020-04-06,LA,7337783,1,0
2020-04-07,LA,7337783,2,0
2020-04-08,LA,7337783,1,0
2020-04-09,LA,7337783,1,0
2020-04-10,LA,7337783,0,0
2020-04-11,LA,7337783,2,0
2020-04-12,LA,7337783,1,0
2020-04-13,LA,7337783,0,0
2020-04-14,LA,7337783,0,0
2020-04-15,LA,7337783,0,0
2020-04-16,LA,7337783,0,0
2020-04-17,LA,7337783,0,0
2020-04-18,LA,7337783,0,0
2020-04-19,LA,7337783,0,0
2020-04-20,LA,7337783,0,0
2020-04-21,LA,7337783,0,0
2020-04-22,LA,7337783,0,0
2020-04-23,LA,7337783,0,0
2020-04-24,LA,7337783,0,0
2020-04-25,LA,7337783,0,0
2020-04-26,LA,7337783,0,0
2020-04-27,LA,7337783,0,0
2020-04-28,LA,7337783,0,0
2020-04-29,LA,7337783,0,0
2020-04-30,LA,7337783,0,0
2020-05-01,LA,7337783,0,0
2020-05-02,LA,7337783,0,0
2020-05-03,LA,7337783,0,0
2020-05-04,LA,7337783,0,0
2020-05-05,LA,7337783,0,0
2020-05-06,LA,7337783,0,0
2020-05-07,LA,7337783,0,0
2020-05-08,LA,7337783,0,0
2020-05-09,LA,7337783,0,0
2020-05-10,LA,7337783,0,0
2020-05-11,LA,7337783,0,0
2020-05-12,LA,7337783,0,0
2020-05-13,LA,7337783,0,0
2020-05-14,LA,7337783,0,0
2020-05-15,LA,7337783,0,0
2020-05-16,LA,7337783,0,0
2020-05-17,LA,7337783,0,0
2020-05-18,LA,7337783,0,0
2020-05-19,LA,7337783,0,0
2020-05-20,LA,7337783,0,0
2020-05-21,LA,7337783,0,0
2020-05-22,LA,7337783,0,0
2020-05-23,LA,7337783,0,0
2020-05-24,LA,7337783,0,0
2020-05-25,LA,7337783,0,0
2020-05-26,LA,7337783,0,0
2020-05-27,LA,7337783,0,0
2020-05-28,LA,7337783,0,0
