date,countrycode,population,cases,deaths
2020-02-29,LU,626108,0,0
2020-03-01,LU,626108,0,0
2020-03-02,LU,626108,0,0
2020-03-03,LU,626108,0,0
2020-03-04,LU,626108,0,0
2020-03-05,LU,626108,0,0
2020-03-06,LU,626108,1,0
2020-03-07,LU,626108,0,0
2020-03-08,LU,626108,1,0
2020-03-09,LU,626108,0,0
2020-03-10,LU,626108,2,0
2020-03-11,LU,626108,2,0
2020-03-12,LU,626108,12,0
2020-03-13,LU,626108,15,0
2020-03-14,LU,626108,17,1
2020-03-15,LU,626108,8,0
2020-03-16,LU,626108,18,0
2020-03-17,LU,626108,63,0
2020-03-18,LU,626108,63,1
2020-03-19,LU,626108,132,2
2020-03-20,LU,626108,149,0
2020-03-21,LU,626108,186,4
2020-03-22,LU,626108,128,0
2020-03-23,LU,626108,77,0
2020-03-24,LU,626108,224,0
2020-03-25,LU,626108,234,0
2020-03-26,LU,626108,120,1
2020-03-27,LU,626108,152,6
2020-03-28,LU,626108,226,3
2020-03-29,LU,626108,119,3
2020-03-30,LU,626108,38,1
2020-03-31,LU,626108,190,1
2020-04-01,LU,626108,141,6
2020-04-02,LU,626108,168,1
2020-04-03,LU,626108,125,1
2020-04-04,LU,626108,117,0
2020-04-05,LU,626108,75,5
2020-04-06,LU,626108,39,5
2020-04-07,LU,626108,127,3
2020-04-08,LU,626108,64,2
2020-04-09,LU,626108,81,6
2020-04-10,LU,626108,108,2
2020-04-11,LU,626108,47,8
2020-04-12,LU,626108,11,4
2020-04-13,LU,626108,11,3
2020-04-14,LU,626108,15,-2
2020-04-15,LU,626108,66,2
2020-04-16,LU,626108,71,0
2020-04-17,LU,626108,36,3
2020-04-18,LU,626108,57,0
2020-04-19,LU,626108,13,1
2020-04-20,LU,626108,8,2
2020-04-21,LU,626108,60,3
2020-04-22,LU,626108,36,2
2020-04-23,LU,626108,11,3
2020-04-24,LU,626108,30,2
2020-04-25,LU,626108,16,0
2020-04-26,LU,626108,12,3
2020-04-27,LU,626108,6,0
2020-04-28,LU,626108,12,1
2020-04-29,LU,626108,28,0
2020-04-30,LU,626108,15,1
2020-05-01,LU,626108,18,2
2020-05-02,LU,626108,10,0
2020-05-03,LU,626108,12,4
2020-05-04,LU,626108,4,0
2020-05-05,LU,626108,12,0
2020-05-06,LU,626108,11,2
2020-05-07,LU,626108,8,2
2020-05-08,LU,626108,12,0
2020-05-09,LU,626108,6,1
2020-05-10,LU,626108,9,0
2020-05-11,LU,626108,2,0
2020-05-12,LU,626108,6,1
2020-05-13,LU,626108,10,1
2020-05-14,LU,626108,11,0
2020-05-15,LU,626108,8,1
2020-05-16,LU,626108,7,0
2020-05-17,LU,626108,15,3
2020-05-18,LU,626108,2,0
2020-05-19,LU,626108,11,2
2020-05-20,LU,626108,13,0
2020-05-21,LU,626108,9,0
2020-05-22,LU,626108,1,0
2020-05-23,LU,626108,9,0
2020-05-24,LU,626108,2,1
2020-05-25,LU,626108,1,0
2020-05-26,LU,626108,2,0
2020-05-27,LU,626108,6,0
2020-05-28,LU,626108,7,0
2020-05-29,LU,626108,4,0
2020-05-30,LU,626108,4,0
2020-05-31,LU,626108,2,0
2020-06-01,LU,626108,1,0
2020-06-02,LU,626108,1,0
2020-06-03,LU,626108,4,0
2020-06-04,LU,626108,3,0
2020-06-05,LU,626108,5,0
2020-06-06,LU,626108,3,0
2020-06-07,LU,626108,4,0
2020-06-08,LU,626108,1,0
2020-06-09,LU,626108,6,0
2020-06-10,LU,626108,3,0
2020-06-11,LU,626108,3,0
2020-06-12,LU,626108,3,0
2020-06-13,LU,626108,8,0
2020-06-14,LU,626108,7,0
2020-06-15,LU,626108,2,0
2020-06-16,LU,626108,3,0
2020-06-17,LU,626108,10,0
2020-06-18,LU,626108,6,0
2020-06-19,LU,626108,8,0
2020-06-20,LU,626108,6,0
2020-06-21,LU,626108,15,0
2020-06-22,LU,626108,1,0
2020-06-23,LU,626108,12,0
2020-06-24,LU,626108,7,0
2020-06-25,LU,626108,11,0
2020-06-26,LU,626108,22,0
2020-06-27,LU,626108,44,0
2020-06-28,LU,626108,25,0
2020-06-29,LU,626108,14,0
2020-06-30,LU,626108,43,0
2020-07-01,LU,626108,46,0
2020-07-02,LU,626108,50,0
2020-07-03,LU,626108,52,0
2020-07-04,LU,626108,29,0
2020-07-05,LU,626108,46,0
2020-07-06,LU,626108,20,0
2020-07-07,LU,626108,61,0
2020-07-08,LU,626108,47,0
2020-07-09,LU,626108,69,0
2020-07-10,LU,626108,58,0
2020-07-11,LU,626108,65,0
2020-07-12,LU,626108,83,1
2020-07-13,LU,626108,31,0
2020-07-14,LU,626108,100,0
2020-07-15,LU,626108,66,0
2020-07-16,LU,626108,163,0
2020-07-17,LU,626108,124,0
2020-07-18,LU,626108,74,0
2020-07-19,LU,626108,122,0
2020-07-20,LU,626108,34,0
2020-07-21,LU,626108,86,0
2020-07-22,LU,626108,129,0
2020-07-23,LU,626108,98,1
2020-07-24,LU,626108,104,0
2020-07-25,LU,626108,133,0
2020-07-26,LU,626108,83,0
2020-07-27,LU,626108,49,0
2020-07-28,LU,626108,54,1
2020-07-29,LU,626108,158,1
2020-07-30,LU,626108,83,0
2020-07-31,LU,626108,79,0
2020-08-01,LU,626108,98,2
2020-08-02,LU,626108,62,1
2020-08-03,LU,626108,9,1
2020-08-04,LU,626108,53,0
2020-08-05,LU,626108,90,0
2020-08-06,LU,626108,66,1
2020-08-07,LU,626108,40,0
2020-08-08,LU,626108,56,1
2020-08-09,LU,626108,36,0
2020-08-10,LU,626108,11,1
2020-08-11,LU,626108,26,1
2020-08-12,LU,626108,58,0
2020-08-13,LU,626108,68,0
2020-08-14,LU,626108,37,0
2020-08-15,LU,626108,34,1
2020-08-16,LU,626108,19,0
2020-08-17,LU,626108,11,1
2020-08-18,LU,626108,30,0
2020-08-19,LU,626108,67,0
2020-08-20,LU,626108,71,0
2020-08-21,LU,626108,67,0
2020-08-22,LU,626108,58,0
2020-08-23,LU,626108,13,0
2020-08-24,LU,626108,19,0
2020-08-25,LU,626108,44,0
2020-08-26,LU,626108,90,0
2020-08-27,LU,626108,0,0
2020-08-28,LU,626108,-1348,0
2020-08-29,LU,626108,45,0
2020-08-30,LU,626108,0,0
2020-08-31,LU,626108,0,0
2020-09-01,LU,626108,0,0
2020-09-02,LU,626108,120,0
2020-09-03,LU,626108,66,0
2020-09-04,LU,626108,43,0
2020-09-05,LU,626108,42,0
2020-09-06,LU,626108,54,0
2020-09-07,LU,626108,10,0
2020-09-08,LU,626108,14,0
2020-09-09,LU,626108,49,0
2020-09-10,LU,626108,65,0
2020-09-11,LU,626108,0,0
2020-09-12,LU,626108,71,0
2020-09-13,LU,626108,0,0
2020-09-14,LU,626108,85,0
2020-09-15,LU,626108,40,0
2020-09-16,LU,626108,110,0
2020-09-17,LU,626108,147,0
2020-09-18,LU,626108,177,0
2020-09-19,LU,626108,0,0
2020-09-20,LU,626108,0,0
2020-09-21,LU,626108,198,0
2020-09-22,LU,626108,100,0
2020-09-23,LU,626108,74,0
2020-09-24,LU,626108,68,0
2020-09-25,LU,626108,75,0
2020-09-26,LU,626108,0,0
2020-09-27,LU,626108,0,0
2020-09-28,LU,626108,143,0
2020-09-29,LU,626108,55,0
2020-09-30,LU,626108,78,0
2020-10-01,LU,626108,86,1
2020-10-02,LU,626108,114,0
2020-10-03,LU,626108,0,0
2020-10-04,LU,626108,0,0
2020-10-05,LU,626108,216,2
2020-10-06,LU,626108,54,1
2020-10-07,LU,626108,140,0
2020-10-08,LU,626108,100,1
2020-10-09,LU,626108,141,1
2020-10-10,LU,626108,154,1
2020-10-11,LU,626108,208,1
2020-10-12,LU,626108,9,1
2020-10-13,LU,626108,109,0
2020-10-14,LU,626108,190,0
2020-10-15,LU,626108,214,0
2020-10-16,LU,626108,227,0
2020-10-17,LU,626108,0,0
2020-10-18,LU,626108,417,0
2020-10-19,LU,626108,122,2
2020-10-20,LU,626108,231,1
2020-10-21,LU,626108,430,2
2020-10-22,LU,626108,662,2
2020-10-23,LU,626108,518,1
2020-10-24,LU,626108,0,0
2020-10-25,LU,626108,0,0
2020-10-26,LU,626108,1548,6
2020-10-27,LU,626108,485,0
2020-10-28,LU,626108,775,0
2020-10-29,LU,626108,697,3
2020-10-30,LU,626108,778,2
2020-10-31,LU,626108,0,0
2020-11-01,LU,626108,0,0
2020-11-02,LU,626108,1967,8
2020-11-03,LU,626108,533,7
2020-11-04,LU,626108,710,4
2020-11-05,LU,626108,803,6
2020-11-06,LU,626108,659,3
2020-11-07,LU,626108,0,0
2020-11-08,LU,626108,0,0
2020-11-09,LU,626108,1421,13
2020-11-10,LU,626108,483,5
2020-11-11,LU,626108,0,0
2020-11-12,LU,626108,1508,13
2020-11-13,LU,626108,713,8
2020-11-14,LU,626108,0,0
2020-11-15,LU,626108,0,0
2020-11-16,LU,626108,1325,17
2020-11-17,LU,626108,425,4
2020-11-18,LU,626108,892,8
2020-11-19,LU,626108,670,6
2020-11-20,LU,626108,519,6
2020-11-21,LU,626108,0,0
2020-11-22,LU,626108,0,0
2020-11-23,LU,626108,1349,13
2020-11-24,LU,626108,373,10
2020-11-25,LU,626108,616,5
2020-11-26,LU,626108,773,6
2020-11-27,LU,626108,536,6
2020-11-28,LU,626108,0,0
2020-11-29,LU,626108,0,0
2020-11-30,LU,626108,1269,21
2020-12-01,LU,626108,451,9
2020-12-02,LU,626108,673,4
2020-12-03,LU,626108,627,5
2020-12-04,LU,626108,588,6
2020-12-05,LU,626108,0,0
2020-12-06,LU,626108,0,0
2020-12-07,LU,626108,1459,15
2020-12-08,LU,626108,0,0
2020-12-09,LU,626108,0,0
2020-12-10,LU,626108,1561,24
2020-12-11,LU,626108,718,8
2020-12-12,LU,626108,0,0
2020-12-13,LU,626108,0,0
2020-12-14,LU,626108,1145,18
2020-12-15,LU,626108,350,8
2020-12-16,LU,626108,595,3
2020-12-17,LU,626108,434,7
2020-12-18,LU,626108,449,6
2020-12-19,LU,626108,0,0
2020-12-20,LU,626108,0,0
2020-12-21,LU,626108,854,16
2020-12-22,LU,626108,227,3
2020-12-23,LU,626108,400,5
2020-12-24,LU,626108,0,0
2020-12-25,LU,626108,0,0
2020-12-26,LU,626108,0,0
2020-12-27,LU,626108,0,0
2020-12-28,LU,626108,640,29
2020-12-29,LU,626108,239,2
2020-12-30,LU,626108,327,6
2020-12-31,LU,626108,0,0
2021-01-01,LU,626108,0,0
2021-01-02,LU,626108,0,0
