date,countrycode,population,cases,deaths
2020-01-22,MD,4043258,0,0
2020-01-23,MD,4043258,0,0
2020-01-24,MD,4043258,0,0
2020-01-25,MD,4043258,0,0
2020-01-26,MD,4043258,0,0
2020-01-27,MD,4043258,0,0
2020-01-28,MD,4043258,0,0
2020-01-29,MD,4043258,0,0
2020-01-30,MD,4043258,0,0
2020-01-31,MD,4043258,0,0
2020-02-01,MD,4043258,0,0
2020-02-02,MD,4043258,0,0
2020-02-03,MD,4043258,0,0
2020-02-04,MD,4043258,0,0
2020-02-05,MD,4043258,0,0
2020-02-06,MD,4043258,0,0
2020-02-07,MD,4043258,0,0
2020-02-08,MD,4043258,0,0
2020-02-09,MD,4043258,0,0
2020-02-10,MD,4043258,0,0
2020-02-11,MD,4043258,0,0
2020-02-12,MD,4043258,0,0
2020-02-13,MD,4043258,0,0
2020-02-14,MD,4043258,0,0
2020-02-15,MD,4043258,0,0
2020-02-16,MD,4043258,0,0
2020-02-17,MD,4043258,0,0
2020-02-18,MD,4043258,0,0
2020-02-19,MD,4043258,0,0
2020-02-20,MD,4043258,0,0
2020-02-21,MD,4043258,0,0
2020-02-22,MD,4043258,0,0
2020-02-23,MD,4043258,0,0
2020-02-24,MD,4043258,0,0
2020-02-25,MD,4043258,0,0
2020-02-26,MD,4043258,0,0
2020-02-27,MD,4043258,0,0
2020-02-28,MD,4043258,0,0
2020-02-29,MD,4043258,0,0
2020-03-01,MD,4043258,0,0
2020-03-02,MD,4043258,0,0
2020-03-03,MD,4043258,0,0
2020-03-04,MD,4043258,0,0
2020-03-05,MD,4043258,0,0
2020-03-06,MD,4043258,0,0
2020-03-07,MD,4043258,0,0
2020-03-08,MD,4043258,1,0
2020-03-09,MD,4043258,0,0
2020-03-10,MD,4043258,2,0
2020-03-11,MD,4043258,0,0
2020-03-12,MD,4043258,0,0
2020-03-13,MD,4043258,3,0
2020-03-14,MD,4043258,6,0
2020-03-15,MD,4043258,11,0
2020-03-16,MD,4043258,0,0
2020-03-17,MD,4043258,7,0
2020-03-18,MD,4043258,0,1
2020-03-19,MD,4043258,19,0
2020-03-20,MD,4043258,17,0
2020-03-21,MD,4043258,14,0
2020-03-22,MD,4043258,14,0
2020-03-23,MD,4043258,15,0
2020-03-24,MD,4043258,16,0
2020-03-25,MD,4043258,24,0
2020-03-26,MD,4043258,28,0
2020-03-27,MD,4043258,22,1
2020-03-28,MD,4043258,32,0
2020-03-29,MD,4043258,32,0
2020-03-30,MD,4043258,35,0
2020-03-31,MD,4043258,55,2
2020-04-01,MD,4043258,70,1
2020-04-02,MD,4043258,82,1
2020-04-03,MD,4043258,86,2
2020-04-04,MD,4043258,161,4
2020-04-05,MD,4043258,112,3
2020-04-06,MD,4043258,101,4
2020-04-07,MD,4043258,91,3
2020-04-08,MD,4043258,118,5
2020-04-09,MD,4043258,115,2
2020-04-10,MD,4043258,149,0
2020-04-11,MD,4043258,122,1
2020-04-12,MD,4043258,102,1
2020-04-13,MD,4043258,50,4
2020-04-14,MD,4043258,222,5
2020-04-15,MD,4043258,115,6
2020-04-16,MD,4043258,105,8
2020-04-17,MD,4043258,110,2
2020-04-18,MD,4043258,114,1
2020-04-19,MD,4043258,94,10
2020-04-20,MD,4043258,76,3
2020-04-21,MD,4043258,66,2
2020-04-22,MD,4043258,164,3
2020-04-23,MD,4043258,148,5
2020-04-24,MD,4043258,184,4
2020-04-25,MD,4043258,194,10
2020-04-26,MD,4043258,104,2
2020-04-27,MD,4043258,73,6
2020-04-28,MD,4043258,157,1
2020-04-29,MD,4043258,133,8
2020-04-30,MD,4043258,126,5
2020-05-01,MD,4043258,83,6
2020-05-02,MD,4043258,72,2
2020-05-03,MD,4043258,69,1
2020-05-04,MD,4043258,127,7
2020-05-05,MD,4043258,115,4
2020-05-06,MD,4043258,113,7
2020-05-07,MD,4043258,129,2
2020-05-08,MD,4043258,123,5
2020-05-09,MD,4043258,139,11
2020-05-10,MD,4043258,60,8
2020-05-11,MD,4043258,68,6
2020-05-12,MD,4043258,159,7
2020-05-13,MD,4043258,252,3
2020-05-14,MD,4043258,147,9
2020-05-15,MD,4043258,192,8
2020-05-16,MD,4043258,189,5
2020-05-17,MD,4043258,126,4
2020-05-18,MD,4043258,78,6
2020-05-19,MD,4043258,202,4
2020-05-20,MD,4043258,213,7
2020-05-21,MD,4043258,151,5
2020-05-22,MD,4043258,143,4
2020-05-23,MD,4043258,147,5
2020-05-24,MD,4043258,99,8
2020-05-25,MD,4043258,54,11
2020-05-26,MD,4043258,158,6
2020-05-27,MD,4043258,232,7
2020-05-28,MD,4043258,188,8
2020-05-29,MD,4043258,171,6
2020-05-30,MD,4043258,202,3
2020-05-31,MD,4043258,153,4
2020-06-01,MD,4043258,109,10
2020-06-02,MD,4043258,188,2
2020-06-03,MD,4043258,247,3
2020-06-04,MD,4043258,223,5
2020-06-05,MD,4043258,229,8
2020-06-06,MD,4043258,264,8
2020-06-07,MD,4043258,189,10
2020-06-08,MD,4043258,107,12
2020-06-09,MD,4043258,218,12
2020-06-10,MD,4043258,296,6
2020-06-11,MD,4043258,406,4
2020-06-12,MD,4043258,366,10
2020-06-13,MD,4043258,366,13
2020-06-14,MD,4043258,281,8
2020-06-15,MD,4043258,139,5
2020-06-16,MD,4043258,375,12
2020-06-17,MD,4043258,478,10
2020-06-18,MD,4043258,374,11
2020-06-19,MD,4043258,450,6
2020-06-20,MD,4043258,397,14
2020-06-21,MD,4043258,247,9
2020-06-22,MD,4043258,163,7
2020-06-23,MD,4043258,351,10
2020-06-24,MD,4043258,364,5
2020-06-25,MD,4043258,375,7
