date,countrycode,population,cases,deaths
2020-03-20,MG,26923353,0,0
2020-03-21,MG,26923353,0,0
2020-03-22,MG,26923353,0,0
2020-03-23,MG,26923353,9,0
2020-03-24,MG,26923353,5,0
2020-03-25,MG,26923353,2,0
2020-03-26,MG,26923353,4,0
2020-03-27,MG,26923353,3,0
2020-03-28,MG,26923353,0,0
2020-03-29,MG,26923353,13,0
2020-03-30,MG,26923353,4,0
2020-03-31,MG,26923353,14,0
2020-04-01,MG,26923353,0,0
2020-04-02,MG,26923353,2,0
2020-04-03,MG,26923353,11,0
2020-04-04,MG,26923353,0,0
2020-04-05,MG,26923353,2,0
2020-04-06,MG,26923353,10,0
2020-04-07,MG,26923353,6,0
2020-04-08,MG,26923353,5,0
2020-04-09,MG,26923353,0,0
2020-04-10,MG,26923353,0,0
2020-04-11,MG,26923353,9,0
2020-04-12,MG,26923353,4,0
2020-04-13,MG,26923353,0,0
2020-04-14,MG,26923353,2,0
2020-04-15,MG,26923353,2,0
2020-04-16,MG,26923353,1,0
2020-04-17,MG,26923353,6,0
2020-04-18,MG,26923353,3,0
2020-04-19,MG,26923353,1,0
2020-04-20,MG,26923353,0,0
2020-04-21,MG,26923353,0,0
2020-04-22,MG,26923353,0,0
2020-04-23,MG,26923353,0,0
2020-04-24,MG,26923353,1,0
2020-04-25,MG,26923353,1,0
2020-04-26,MG,26923353,1,0
2020-04-27,MG,26923353,4,0
2020-04-28,MG,26923353,0,0
2020-04-29,MG,26923353,0,0
2020-04-30,MG,26923353,0,0
2020-05-01,MG,26923353,4,0
2020-05-02,MG,26923353,3,0
2020-05-03,MG,26923353,14,0
2020-05-04,MG,26923353,0,0
2020-05-05,MG,26923353,2,0
2020-05-06,MG,26923353,7,0
2020-05-07,MG,26923353,35,0
2020-05-08,MG,26923353,0,0
2020-05-09,MG,26923353,0,0
2020-05-10,MG,26923353,0,0
2020-05-11,MG,26923353,-7,0
2020-05-12,MG,26923353,0,0
2020-05-13,MG,26923353,26,0
2020-05-14,MG,26923353,18,0
2020-05-15,MG,26923353,8,0
2020-05-16,MG,26923353,45,0
2020-05-17,MG,26923353,21,1
2020-05-18,MG,26923353,18,0
2020-05-19,MG,26923353,4,1
2020-05-20,MG,26923353,45,0
2020-05-21,MG,26923353,34,0
2020-05-22,MG,26923353,43,0
2020-05-23,MG,26923353,40,0
2020-05-24,MG,26923353,39,0
2020-05-25,MG,26923353,15,0
2020-05-26,MG,26923353,44,0
2020-05-27,MG,26923353,26,0
2020-05-28,MG,26923353,44,0
2020-05-29,MG,26923353,42,3
2020-05-30,MG,26923353,60,1
2020-05-31,MG,26923353,13,0
2020-06-01,MG,26923353,55,0
2020-06-02,MG,26923353,19,0
2020-06-03,MG,26923353,63,0
2020-06-04,MG,26923353,49,1
2020-06-05,MG,26923353,18,0
2020-06-06,MG,26923353,51,1
2020-06-07,MG,26923353,26,1
2020-06-08,MG,26923353,42,0
2020-06-09,MG,26923353,44,0
2020-06-10,MG,26923353,24,1
2020-06-11,MG,26923353,41,0
2020-06-12,MG,26923353,37,0
2020-06-13,MG,26923353,12,0
2020-06-14,MG,26923353,20,0
2020-06-15,MG,26923353,18,0
2020-06-16,MG,26923353,27,2
2020-06-17,MG,26923353,61,0
2020-06-18,MG,26923353,25,1
2020-06-19,MG,26923353,40,0
2020-06-20,MG,26923353,60,0
2020-06-21,MG,26923353,93,1
2020-06-22,MG,26923353,44,1
2020-06-23,MG,26923353,84,0
2020-06-24,MG,26923353,63,1
2020-06-25,MG,26923353,42,0
2020-06-26,MG,26923353,93,0
2020-06-27,MG,26923353,83,0
2020-06-28,MG,26923353,73,2
2020-06-29,MG,26923353,60,2
2020-06-30,MG,26923353,76,0
2020-07-01,MG,26923353,89,2
2020-07-02,MG,26923353,100,2
2020-07-03,MG,26923353,109,2
2020-07-04,MG,26923353,216,3
2020-07-05,MG,26923353,213,3
2020-07-06,MG,26923353,309,1
2020-07-07,MG,26923353,222,0
2020-07-08,MG,26923353,101,0
2020-07-09,MG,26923353,209,0
2020-07-10,MG,26923353,361,1
2020-07-11,MG,26923353,435,0
2020-07-12,MG,26923353,289,1
2020-07-13,MG,26923353,213,2
2020-07-14,MG,26923353,263,2
2020-07-15,MG,26923353,262,4
2020-07-16,MG,26923353,484,10
2020-07-17,MG,26923353,378,1
2020-07-18,MG,26923353,382,1
2020-07-19,MG,26923353,200,4
2020-07-20,MG,26923353,104,3
2020-07-21,MG,26923353,395,3
2020-07-22,MG,26923353,614,4
2020-07-23,MG,26923353,219,1
2020-07-24,MG,26923353,360,6
2020-07-25,MG,26923353,125,2
2020-07-26,MG,26923353,429,7
2020-07-27,MG,26923353,395,6
2020-07-28,MG,26923353,414,2
2020-07-29,MG,26923353,213,6
2020-07-30,MG,26923353,431,6
2020-07-31,MG,26923353,120,1
2020-08-01,MG,26923353,405,1
2020-08-02,MG,26923353,255,7
2020-08-03,MG,26923353,132,4
2020-08-04,MG,26923353,235,5
2020-08-05,MG,26923353,327,4
2020-08-06,MG,26923353,304,7
2020-08-07,MG,26923353,182,1
2020-08-08,MG,26923353,214,6
2020-08-09,MG,26923353,164,7
2020-08-10,MG,26923353,116,3
2020-08-11,MG,26923353,115,1
2020-08-12,MG,26923353,80,4
2020-08-13,MG,26923353,125,6
2020-08-14,MG,26923353,121,2
2020-08-15,MG,26923353,81,2
2020-08-16,MG,26923353,103,4
2020-08-17,MG,26923353,59,1
2020-08-18,MG,26923353,123,2
2020-08-19,MG,26923353,65,0
2020-08-20,MG,26923353,80,4
2020-08-21,MG,26923353,64,1
2020-08-22,MG,26923353,59,0
2020-08-23,MG,26923353,50,0
2020-08-24,MG,26923353,75,0
2020-08-25,MG,26923353,73,0
2020-08-26,MG,26923353,79,3
2020-08-27,MG,26923353,38,3
