date,countrycode,population,cases,deaths
2020-03-25,ML,19658023,0,0
2020-03-26,ML,19658023,2,0
2020-03-27,ML,19658023,7,0
2020-03-28,ML,19658023,7,0
2020-03-29,ML,19658023,0,1
2020-03-30,ML,19658023,7,1
2020-03-31,ML,19658023,3,0
2020-04-01,ML,19658023,3,1
2020-04-02,ML,19658023,5,0
2020-04-03,ML,19658023,3,0
2020-04-04,ML,19658023,2,0
2020-04-05,ML,19658023,4,2
2020-04-06,ML,19658023,2,0
2020-04-07,ML,19658023,9,0
2020-04-08,ML,19658023,3,2
2020-04-09,ML,19658023,15,0
2020-04-10,ML,19658023,13,0
2020-04-11,ML,19658023,0,0
2020-04-12,ML,19658023,18,2
2020-04-13,ML,19658023,18,1
2020-04-14,ML,19658023,21,3
2020-04-15,ML,19658023,4,0
2020-04-16,ML,19658023,23,0
2020-04-17,ML,19658023,0,0
2020-04-18,ML,19658023,45,0
2020-04-19,ML,19658023,8,1
2020-04-20,ML,19658023,22,0
2020-04-21,ML,19658023,12,0
2020-04-22,ML,19658023,35,3
2020-04-23,ML,19658023,16,4
2020-04-24,ML,19658023,16,0
2020-04-25,ML,19658023,45,0
2020-04-26,ML,19658023,19,2
2020-04-27,ML,19658023,19,0
2020-04-28,ML,19658023,16,1
2020-04-29,ML,19658023,58,1
2020-04-30,ML,19658023,8,1
2020-05-01,ML,19658023,18,0
2020-05-02,ML,19658023,36,0
2020-05-03,ML,19658023,19,1
2020-05-04,ML,19658023,17,2
2020-05-05,ML,19658023,32,3
2020-05-06,ML,19658023,19,0
2020-05-07,ML,19658023,19,0
2020-05-08,ML,19658023,18,3
2020-05-09,ML,19658023,24,2
2020-05-10,ML,19658023,12,1
2020-05-11,ML,19658023,8,1
2020-05-12,ML,19658023,18,1
2020-05-13,ML,19658023,28,4
2020-05-14,ML,19658023,21,2
2020-05-15,ML,19658023,27,0
2020-05-16,ML,19658023,29,2
2020-05-17,ML,19658023,25,4
2020-05-18,ML,19658023,14,0
2020-05-19,ML,19658023,27,1
2020-05-20,ML,19658023,30,2
2020-05-21,ML,19658023,16,5
2020-05-22,ML,19658023,22,2
2020-05-23,ML,19658023,46,1
2020-05-24,ML,19658023,15,2
2020-05-25,ML,19658023,29,2
2020-05-26,ML,19658023,18,3
2020-05-27,ML,19658023,39,0
2020-05-28,ML,19658023,78,2
2020-05-29,ML,19658023,32,1
2020-05-30,ML,19658023,24,3
2020-05-31,ML,19658023,15,1
2020-06-01,ML,19658023,50,1
2020-06-02,ML,19658023,36,0
2020-06-03,ML,19658023,35,1
2020-06-04,ML,19658023,75,6
2020-06-05,ML,19658023,24,2
2020-06-06,ML,19658023,38,3
2020-06-07,ML,19658023,10,0
2020-06-08,ML,19658023,14,2
2020-06-09,ML,19658023,39,2
2020-06-10,ML,19658023,81,2
2020-06-11,ML,19658023,55,1
2020-06-12,ML,19658023,30,4
2020-06-13,ML,19658023,24,3
2020-06-14,ML,19658023,33,0
2020-06-15,ML,19658023,51,0
2020-06-16,ML,19658023,25,0
2020-06-17,ML,19658023,5,3
2020-06-18,ML,19658023,16,0
2020-06-19,ML,19658023,17,1
2020-06-20,ML,19658023,10,1
2020-06-21,ML,19658023,0,0
2020-06-22,ML,19658023,28,2
2020-06-23,ML,19658023,17,0
2020-06-24,ML,19658023,27,1
2020-06-25,ML,19658023,34,1
2020-06-26,ML,19658023,21,0
2020-06-27,ML,19658023,58,0
2020-06-28,ML,19658023,29,1
2020-06-29,ML,19658023,26,1
2020-06-30,ML,19658023,8,1
