date,countrycode,population,cases,deaths
2020-03-10,MN,3304000,0,0
2020-03-11,MN,3304000,0,0
2020-03-12,MN,3304000,0,0
2020-03-13,MN,3304000,0,0
2020-03-14,MN,3304000,0,0
2020-03-15,MN,3304000,0,0
2020-03-16,MN,3304000,0,0
2020-03-17,MN,3304000,4,0
2020-03-18,MN,3304000,1,0
2020-03-19,MN,3304000,0,0
2020-03-20,MN,3304000,0,0
2020-03-21,MN,3304000,4,0
2020-03-22,MN,3304000,0,0
2020-03-23,MN,3304000,0,0
2020-03-24,MN,3304000,0,0
2020-03-25,MN,3304000,0,0
2020-03-26,MN,3304000,1,0
2020-03-27,MN,3304000,0,0
2020-03-28,MN,3304000,1,0
2020-03-29,MN,3304000,0,0
2020-03-30,MN,3304000,0,0
2020-03-31,MN,3304000,0,0
2020-04-01,MN,3304000,2,0
2020-04-02,MN,3304000,0,0
2020-04-03,MN,3304000,0,0
2020-04-04,MN,3304000,0,0
2020-04-05,MN,3304000,0,0
2020-04-06,MN,3304000,1,0
2020-04-07,MN,3304000,0,0
2020-04-08,MN,3304000,1,0
2020-04-09,MN,3304000,0,0
2020-04-10,MN,3304000,0,0
2020-04-11,MN,3304000,0,0
2020-04-12,MN,3304000,0,0
2020-04-13,MN,3304000,1,0
2020-04-14,MN,3304000,13,0
2020-04-15,MN,3304000,0,0
2020-04-16,MN,3304000,1,0
2020-04-17,MN,3304000,0,0
2020-04-18,MN,3304000,0,0
2020-04-19,MN,3304000,1,0
2020-04-20,MN,3304000,1,0
2020-04-21,MN,3304000,1,0
2020-04-22,MN,3304000,1,0
2020-04-23,MN,3304000,1,0
2020-04-24,MN,3304000,1,0
2020-04-25,MN,3304000,0,0
2020-04-26,MN,3304000,1,0
2020-04-27,MN,3304000,0,0
2020-04-28,MN,3304000,0,0
2020-04-29,MN,3304000,0,0
2020-04-30,MN,3304000,0,0
2020-05-01,MN,3304000,0,0
2020-05-02,MN,3304000,1,0
2020-05-03,MN,3304000,0,0
2020-05-04,MN,3304000,1,0
2020-05-05,MN,3304000,1,0
2020-05-06,MN,3304000,0,0
2020-05-07,MN,3304000,0,0
2020-05-08,MN,3304000,1,0
2020-05-09,MN,3304000,0,0
2020-05-10,MN,3304000,0,0
2020-05-11,MN,3304000,0,0
2020-05-12,MN,3304000,0,0
2020-05-13,MN,3304000,0,0
2020-05-14,MN,3304000,56,0
2020-05-15,MN,3304000,0,0
2020-05-16,MN,3304000,37,0
2020-05-17,MN,3304000,1,0
