date,countrycode,population,cases,deaths
2020-03-14,MR,4271197,0,0
2020-03-15,MR,4271197,0,0
2020-03-16,MR,4271197,0,0
2020-03-17,MR,4271197,0,0
2020-03-18,MR,4271197,0,0
2020-03-19,MR,4271197,1,0
2020-03-20,MR,4271197,0,0
2020-03-21,MR,4271197,0,0
2020-03-22,MR,4271197,0,0
2020-03-23,MR,4271197,0,0
2020-03-24,MR,4271197,0,0
2020-03-25,MR,4271197,0,0
2020-03-26,MR,4271197,1,0
2020-03-27,MR,4271197,0,0
2020-03-28,MR,4271197,2,0
2020-03-29,MR,4271197,0,0
2020-03-30,MR,4271197,0,1
2020-03-31,MR,4271197,1,0
2020-04-01,MR,4271197,0,0
2020-04-02,MR,4271197,0,0
2020-04-03,MR,4271197,0,0
2020-04-04,MR,4271197,0,0
2020-04-05,MR,4271197,0,0
2020-04-06,MR,4271197,0,0
2020-04-07,MR,4271197,0,0
2020-04-08,MR,4271197,0,0
2020-04-09,MR,4271197,1,0
2020-04-10,MR,4271197,0,0
2020-04-11,MR,4271197,0,0
2020-04-12,MR,4271197,0,0
2020-04-13,MR,4271197,0,0
2020-04-14,MR,4271197,0,0
2020-04-15,MR,4271197,0,0
2020-04-16,MR,4271197,0,0
2020-04-17,MR,4271197,0,0
2020-04-18,MR,4271197,0,0
2020-04-19,MR,4271197,0,0
2020-04-20,MR,4271197,0,0
2020-04-21,MR,4271197,0,0
2020-04-22,MR,4271197,0,0
2020-04-23,MR,4271197,0,0
2020-04-24,MR,4271197,0,0
2020-04-25,MR,4271197,0,0
2020-04-26,MR,4271197,0,0
2020-04-27,MR,4271197,0,0
2020-04-28,MR,4271197,0,0
2020-04-29,MR,4271197,1,0
2020-04-30,MR,4271197,0,0
2020-05-01,MR,4271197,0,0
2020-05-02,MR,4271197,0,0
2020-05-03,MR,4271197,0,0
2020-05-04,MR,4271197,0,0
2020-05-05,MR,4271197,0,0
2020-05-06,MR,4271197,0,0
2020-05-07,MR,4271197,0,0
2020-05-08,MR,4271197,0,0
2020-05-09,MR,4271197,0,0
2020-05-10,MR,4271197,0,0
2020-05-11,MR,4271197,0,0
2020-05-12,MR,4271197,1,0
2020-05-13,MR,4271197,6,1
2020-05-14,MR,4271197,5,0
2020-05-15,MR,4271197,9,1
2020-05-16,MR,4271197,11,1
2020-05-17,MR,4271197,22,0
2020-05-18,MR,4271197,19,0
2020-05-19,MR,4271197,50,0
2020-05-20,MR,4271197,10,0
2020-05-21,MR,4271197,32,1
2020-05-22,MR,4271197,27,1
2020-05-23,MR,4271197,27,0
2020-05-24,MR,4271197,10,0
2020-05-25,MR,4271197,25,3
2020-05-26,MR,4271197,6,4
2020-05-27,MR,4271197,24,3
2020-05-28,MR,4271197,54,3
2020-05-29,MR,4271197,77,1
2020-05-30,MR,4271197,60,0
2020-05-31,MR,4271197,47,3
2020-06-01,MR,4271197,58,0
2020-06-02,MR,4271197,80,8
2020-06-03,MR,4271197,77,3
2020-06-04,MR,4271197,39,5
2020-06-05,MR,4271197,99,4
2020-06-06,MR,4271197,64,6
2020-06-07,MR,4271197,102,6
2020-06-08,MR,4271197,55,4
2020-06-09,MR,4271197,58,2
2020-06-10,MR,4271197,121,10
2020-06-11,MR,4271197,156,3
2020-06-12,MR,4271197,133,7
2020-06-13,MR,4271197,110,2
2020-06-14,MR,4271197,101,4
2020-06-15,MR,4271197,104,4
2020-06-16,MR,4271197,170,2
2020-06-17,MR,4271197,166,2
2020-06-18,MR,4271197,201,2
2020-06-19,MR,4271197,197,5
2020-06-20,MR,4271197,192,6
2020-06-21,MR,4271197,171,3
2020-06-22,MR,4271197,137,1
2020-06-23,MR,4271197,171,2
2020-06-24,MR,4271197,227,2
2020-06-25,MR,4271197,220,3
2020-06-26,MR,4271197,168,1
2020-06-27,MR,4271197,118,1
2020-06-28,MR,4271197,124,5
2020-06-29,MR,4271197,88,2
2020-06-30,MR,4271197,126,1
2020-07-01,MR,4271197,109,0
2020-07-02,MR,4271197,134,0
2020-07-03,MR,4271197,99,0
2020-07-04,MR,4271197,122,0
2020-07-05,MR,4271197,52,1
2020-07-06,MR,4271197,69,3
2020-07-07,MR,4271197,76,2
2020-07-08,MR,4271197,63,4
2020-07-09,MR,4271197,39,5
2020-07-10,MR,4271197,77,2
2020-07-11,MR,4271197,72,1
2020-07-12,MR,4271197,80,0
2020-07-13,MR,4271197,91,0
2020-07-14,MR,4271197,72,0
2020-07-15,MR,4271197,46,2
2020-07-16,MR,4271197,95,1
2020-07-17,MR,4271197,51,1
2020-07-18,MR,4271197,103,2
2020-07-19,MR,4271197,60,2
2020-07-20,MR,4271197,50,0
2020-07-21,MR,4271197,62,0
2020-07-22,MR,4271197,42,0
2020-07-23,MR,4271197,40,1
2020-07-24,MR,4271197,49,0
2020-07-25,MR,4271197,35,0
2020-07-26,MR,4271197,20,0
2020-07-27,MR,4271197,37,0
2020-07-28,MR,4271197,41,0
2020-07-29,MR,4271197,24,0
2020-07-30,MR,4271197,22,1
2020-07-31,MR,4271197,15,0
2020-08-01,MR,4271197,9,0
2020-08-02,MR,4271197,4,0
2020-08-03,MR,4271197,59,0
2020-08-04,MR,4271197,36,0
2020-08-05,MR,4271197,26,0
2020-08-06,MR,4271197,0,0
2020-08-07,MR,4271197,54,0
2020-08-08,MR,4271197,12,0
2020-08-09,MR,4271197,13,0
2020-08-10,MR,4271197,32,0
2020-08-11,MR,4271197,43,0
2020-08-12,MR,4271197,24,0
2020-08-13,MR,4271197,31,0
2020-08-14,MR,4271197,23,0
2020-08-15,MR,4271197,17,0
2020-08-16,MR,4271197,8,0
2020-08-17,MR,4271197,61,0
2020-08-18,MR,4271197,27,0
2020-08-19,MR,4271197,40,1
2020-08-20,MR,4271197,19,0
2020-08-21,MR,4271197,37,0
2020-08-22,MR,4271197,9,0
2020-08-23,MR,4271197,11,0
2020-08-24,MR,4271197,23,0
2020-08-25,MR,4271197,32,0
2020-08-26,MR,4271197,17,0
2020-08-27,MR,4271197,16,0
2020-08-28,MR,4271197,19,0
2020-08-29,MR,4271197,0,0
2020-08-30,MR,4271197,4,1
2020-08-31,MR,4271197,32,0
2020-09-01,MR,4271197,27,0
2020-09-02,MR,4271197,14,1
2020-09-03,MR,4271197,17,0
2020-09-04,MR,4271197,20,0
2020-09-05,MR,4271197,8,0
2020-09-06,MR,4271197,8,0
2020-09-07,MR,4271197,23,0
2020-09-08,MR,4271197,0,0
2020-09-09,MR,4271197,26,1
2020-09-10,MR,4271197,31,0
2020-09-11,MR,4271197,44,0
2020-09-12,MR,4271197,8,0
2020-09-13,MR,4271197,2,0
2020-09-14,MR,4271197,19,0
2020-09-15,MR,4271197,24,0
2020-09-16,MR,4271197,13,0
2020-09-17,MR,4271197,14,0
2020-09-18,MR,4271197,15,0
2020-09-19,MR,4271197,4,0
2020-09-20,MR,4271197,3,0
2020-09-21,MR,4271197,16,0
2020-09-22,MR,4271197,19,0
2020-09-23,MR,4271197,22,0
2020-09-24,MR,4271197,8,0
2020-09-25,MR,4271197,24,0
2020-09-26,MR,4271197,5,0
2020-09-27,MR,4271197,2,0
2020-09-28,MR,4271197,10,0
2020-09-29,MR,4271197,14,0
2020-09-30,MR,4271197,14,0
2020-10-01,MR,4271197,3,0
2020-10-02,MR,4271197,6,1
2020-10-03,MR,4271197,6,0
2020-10-04,MR,4271197,3,0
2020-10-05,MR,4271197,3,0
2020-10-06,MR,4271197,6,0
2020-10-07,MR,4271197,6,0
2020-10-08,MR,4271197,5,0
2020-10-09,MR,4271197,8,1
2020-10-10,MR,4271197,2,0
2020-10-11,MR,4271197,0,0
2020-10-12,MR,4271197,4,0
2020-10-13,MR,4271197,11,0
2020-10-14,MR,4271197,7,0
2020-10-15,MR,4271197,13,0
2020-10-16,MR,4271197,18,0
2020-10-17,MR,4271197,4,0
2020-10-18,MR,4271197,1,0
2020-10-19,MR,4271197,13,0
2020-10-20,MR,4271197,13,0
2020-10-21,MR,4271197,4,0
2020-10-22,MR,4271197,12,0
2020-10-23,MR,4271197,12,0
2020-10-24,MR,4271197,1,0
2020-10-25,MR,4271197,1,0
2020-10-26,MR,4271197,13,0
2020-10-27,MR,4271197,3,0
2020-10-28,MR,4271197,8,0
2020-10-29,MR,4271197,12,0
2020-10-30,MR,4271197,0,0
2020-10-31,MR,4271197,3,0
2020-11-01,MR,4271197,1,0
2020-11-02,MR,4271197,0,0
2020-11-03,MR,4271197,20,1
2020-11-04,MR,4271197,20,0
2020-11-05,MR,4271197,33,1
2020-11-06,MR,4271197,27,0
2020-11-07,MR,4271197,10,0
2020-11-08,MR,4271197,6,0
2020-11-09,MR,4271197,13,0
2020-11-10,MR,4271197,15,0
2020-11-11,MR,4271197,37,0
2020-11-12,MR,4271197,15,0
2020-11-13,MR,4271197,32,0
2020-11-14,MR,4271197,16,0
2020-11-15,MR,4271197,4,0
2020-11-16,MR,4271197,27,0
2020-11-17,MR,4271197,15,0
2020-11-18,MR,4271197,16,2
2020-11-19,MR,4271197,24,1
2020-11-20,MR,4271197,41,1
2020-11-21,MR,4271197,21,0
2020-11-22,MR,4271197,32,0
2020-11-23,MR,4271197,39,0
2020-11-24,MR,4271197,26,0
2020-11-25,MR,4271197,53,2
2020-11-26,MR,4271197,42,0
2020-11-27,MR,4271197,136,1
2020-11-28,MR,4271197,34,0
2020-11-29,MR,4271197,89,3
2020-11-30,MR,4271197,54,2
2020-12-01,MR,4271197,109,0
2020-12-02,MR,4271197,153,2
2020-12-03,MR,4271197,142,2
2020-12-04,MR,4271197,176,1
2020-12-05,MR,4271197,178,2
2020-12-06,MR,4271197,157,4
2020-12-07,MR,4271197,163,6
2020-12-08,MR,4271197,197,3
2020-12-09,MR,4271197,229,5
2020-12-10,MR,4271197,163,8
2020-12-11,MR,4271197,233,0
2020-12-12,MR,4271197,279,12
2020-12-13,MR,4271197,191,3
2020-12-14,MR,4271197,164,3
2020-12-15,MR,4271197,296,8
2020-12-16,MR,4271197,198,8
2020-12-17,MR,4271197,176,10
2020-12-18,MR,4271197,241,10
2020-12-19,MR,4271197,232,9
2020-12-20,MR,4271197,140,8
2020-12-21,MR,4271197,149,5
2020-12-22,MR,4271197,178,4
2020-12-23,MR,4271197,199,7
2020-12-24,MR,4271197,174,4
2020-12-25,MR,4271197,146,13
2020-12-26,MR,4271197,252,7
2020-12-27,MR,4271197,126,3
2020-12-28,MR,4271197,136,6
2020-12-29,MR,4271197,211,4
2020-12-30,MR,4271197,202,5
2020-12-31,MR,4271197,173,8
2021-01-01,MR,4271197,217,2
2021-01-02,MR,4271197,96,4
2021-01-03,MR,4271197,117,5
2021-01-04,MR,4271197,81,2
2021-01-05,MR,4271197,106,7
2021-01-06,MR,4271197,130,6
2021-01-07,MR,4271197,103,5
2021-01-08,MR,4271197,138,4
2021-01-09,MR,4271197,77,1
2021-01-10,MR,4271197,83,1
2021-01-11,MR,4271197,99,3
2021-01-12,MR,4271197,96,5
2021-01-13,MR,4271197,87,3
2021-01-14,MR,4271197,99,1
2021-01-15,MR,4271197,70,4
2021-01-16,MR,4271197,36,1
2021-01-17,MR,4271197,40,1
2021-01-18,MR,4271197,42,1
2021-01-19,MR,4271197,66,2
2021-01-20,MR,4271197,65,2
2021-01-21,MR,4271197,54,3
2021-01-22,MR,4271197,56,3
2021-01-23,MR,4271197,35,3
2021-01-24,MR,4271197,40,0
2021-01-25,MR,4271197,24,1
2021-01-26,MR,4271197,39,1
2021-01-27,MR,4271197,46,1
2021-01-28,MR,4271197,37,2
2021-01-29,MR,4271197,33,0
2021-01-30,MR,4271197,32,1
2021-01-31,MR,4271197,27,0
2021-02-01,MR,4271197,27,0
2021-02-02,MR,4271197,27,1
2021-02-03,MR,4271197,31,1
2021-02-04,MR,4271197,20,1
2021-02-05,MR,4271197,37,0
2021-02-06,MR,4271197,15,0
2021-02-07,MR,4271197,15,1
2021-02-08,MR,4271197,20,1
2021-02-09,MR,4271197,41,0
2021-02-10,MR,4271197,34,0
2021-02-11,MR,4271197,23,0
2021-02-12,MR,4271197,29,0
2021-02-13,MR,4271197,11,1
2021-02-14,MR,4271197,9,2
2021-02-15,MR,4271197,22,0
2021-02-16,MR,4271197,20,1
2021-02-17,MR,4271197,25,1
2021-02-18,MR,4271197,17,1
2021-02-19,MR,4271197,13,0
2021-02-20,MR,4271197,12,1
2021-02-21,MR,4271197,12,0
2021-02-22,MR,4271197,15,1
2021-02-23,MR,4271197,20,2
2021-02-24,MR,4271197,28,2
2021-02-25,MR,4271197,21,0
2021-02-26,MR,4271197,8,0
2021-02-27,MR,4271197,9,1
2021-02-28,MR,4271197,11,1
2021-03-01,MR,4271197,10,0
2021-03-02,MR,4271197,18,0
2021-03-03,MR,4271197,17,1
2021-03-04,MR,4271197,15,0
2021-03-05,MR,4271197,18,0
2021-03-06,MR,4271197,24,0
2021-03-07,MR,4271197,13,0
2021-03-08,MR,4271197,18,0
2021-03-09,MR,4271197,25,0
2021-03-10,MR,4271197,20,0
2021-03-11,MR,4271197,9,0
2021-03-12,MR,4271197,16,0
2021-03-13,MR,4271197,14,1
2021-03-14,MR,4271197,14,1
2021-03-15,MR,4271197,19,0
2021-03-16,MR,4271197,30,0
2021-03-17,MR,4271197,34,1
2021-03-18,MR,4271197,21,0
2021-03-19,MR,4271197,28,1
2021-03-20,MR,4271197,17,0
2021-03-21,MR,4271197,14,0
2021-03-22,MR,4271197,29,1
2021-03-23,MR,4271197,28,0
2021-03-24,MR,4271197,32,0
2021-03-25,MR,4271197,22,0
2021-03-26,MR,4271197,33,1
2021-03-27,MR,4271197,11,0
2021-03-28,MR,4271197,15,0
2021-03-29,MR,4271197,25,1
2021-03-30,MR,4271197,28,0
2021-03-31,MR,4271197,23,0
2021-04-01,MR,4271197,31,0
2021-04-02,MR,4271197,26,0
2021-04-03,MR,4271197,13,0
2021-04-04,MR,4271197,10,0
2021-04-05,MR,4271197,12,0
2021-04-06,MR,4271197,16,1
2021-04-07,MR,4271197,19,0
2021-04-08,MR,4271197,21,0
2021-04-09,MR,4271197,10,0
2021-04-10,MR,4271197,7,0
2021-04-11,MR,4271197,10,0
2021-04-12,MR,4271197,13,0
2021-04-13,MR,4271197,17,1
2021-04-14,MR,4271197,14,1
2021-04-15,MR,4271197,6,0
2021-04-16,MR,4271197,31,0
2021-04-17,MR,4271197,18,0
2021-04-18,MR,4271197,8,1
2021-04-19,MR,4271197,13,1
2021-04-20,MR,4271197,14,0
2021-04-21,MR,4271197,19,0
2021-04-22,MR,4271197,17,0
2021-04-23,MR,4271197,15,0
2021-04-24,MR,4271197,33,0
2021-04-25,MR,4271197,17,0
2021-04-26,MR,4271197,25,1
2021-04-27,MR,4271197,32,0
2021-04-28,MR,4271197,32,0
2021-04-29,MR,4271197,31,0
2021-04-30,MR,4271197,25,0
2021-05-01,MR,4271197,27,0
2021-05-02,MR,4271197,19,0
2021-05-03,MR,4271197,28,0
2021-05-04,MR,4271197,27,0
2021-05-05,MR,4271197,39,1
2021-05-06,MR,4271197,34,0
2021-05-07,MR,4271197,37,0
2021-05-08,MR,4271197,23,0
2021-05-09,MR,4271197,31,0
2021-05-10,MR,4271197,24,0
2021-05-11,MR,4271197,0,0
2021-05-12,MR,4271197,54,1
2021-05-13,MR,4271197,22,0
2021-05-14,MR,4271197,14,0
2021-05-15,MR,4271197,25,0
2021-05-16,MR,4271197,22,0
2021-05-17,MR,4271197,30,0
2021-05-18,MR,4271197,47,0
2021-05-19,MR,4271197,52,0
2021-05-20,MR,4271197,54,0
2021-05-21,MR,4271197,38,1
2021-05-22,MR,4271197,65,0
2021-05-23,MR,4271197,35,0
2021-05-24,MR,4271197,46,2
2021-05-25,MR,4271197,56,0
2021-05-26,MR,4271197,36,1
2021-05-27,MR,4271197,57,1
2021-05-28,MR,4271197,63,0
2021-05-29,MR,4271197,56,1
2021-05-30,MR,4271197,31,0
2021-05-31,MR,4271197,53,0
2021-06-01,MR,4271197,51,0
2021-06-02,MR,4271197,52,1
2021-06-03,MR,4271197,45,0
2021-06-04,MR,4271197,57,2
2021-06-05,MR,4271197,33,0
2021-06-06,MR,4271197,32,2
2021-06-07,MR,4271197,36,2
2021-06-08,MR,4271197,42,0
2021-06-09,MR,4271197,28,0
2021-06-10,MR,4271197,36,2
2021-06-11,MR,4271197,46,1
2021-06-12,MR,4271197,35,2
2021-06-13,MR,4271197,33,0
2021-06-14,MR,4271197,36,1
2021-06-15,MR,4271197,42,1
2021-06-16,MR,4271197,48,2
2021-06-17,MR,4271197,54,1
2021-06-18,MR,4271197,35,0
2021-06-19,MR,4271197,26,0
2021-06-20,MR,4271197,22,1
2021-06-21,MR,4271197,29,0
2021-06-22,MR,4271197,50,1
2021-06-23,MR,4271197,58,1
2021-06-24,MR,4271197,39,0
2021-06-25,MR,4271197,56,3
2021-06-26,MR,4271197,36,0
2021-06-27,MR,4271197,31,0
2021-06-28,MR,4271197,41,1
2021-06-29,MR,4271197,71,0
2021-06-30,MR,4271197,61,2
2021-07-01,MR,4271197,86,0
2021-07-02,MR,4271197,83,0
2021-07-03,MR,4271197,50,0
2021-07-04,MR,4271197,49,0
2021-07-05,MR,4271197,58,0
2021-07-06,MR,4271197,102,0
2021-07-07,MR,4271197,67,1
2021-07-08,MR,4271197,0,0
2021-07-09,MR,4271197,196,3
2021-07-10,MR,4271197,91,1
2021-07-11,MR,4271197,82,1
2021-07-12,MR,4271197,93,0
2021-07-13,MR,4271197,137,1
2021-07-14,MR,4271197,147,3
2021-07-15,MR,4271197,138,4
2021-07-16,MR,4271197,111,5
2021-07-17,MR,4271197,210,0
2021-07-18,MR,4271197,129,1
2021-07-19,MR,4271197,116,2
2021-07-20,MR,4271197,176,1
2021-07-21,MR,4271197,164,4
2021-07-22,MR,4271197,130,1
2021-07-23,MR,4271197,155,3
2021-07-24,MR,4271197,177,8
2021-07-25,MR,4271197,200,7
2021-07-26,MR,4271197,253,3
2021-07-27,MR,4271197,341,4
2021-07-28,MR,4271197,313,5
2021-07-29,MR,4271197,401,6
2021-07-30,MR,4271197,360,5
2021-07-31,MR,4271197,268,4
2021-08-01,MR,4271197,282,5
2021-08-02,MR,4271197,229,4
2021-08-03,MR,4271197,353,5
2021-08-04,MR,4271197,347,5
2021-08-05,MR,4271197,329,2
2021-08-06,MR,4271197,365,9
2021-08-07,MR,4271197,361,7
2021-08-08,MR,4271197,240,6
2021-08-09,MR,4271197,241,4
2021-08-10,MR,4271197,286,7
2021-08-11,MR,4271197,280,4
