date,countrycode,population,cases,deaths
2020-03-07,MT,514564,0,0
2020-03-08,MT,514564,0,0
2020-03-09,MT,514564,0,0
2020-03-10,MT,514564,2,0
2020-03-11,MT,514564,1,0
2020-03-12,MT,514564,0,0
2020-03-13,MT,514564,6,0
2020-03-14,MT,514564,6,0
2020-03-15,MT,514564,3,0
2020-03-16,MT,514564,9,0
2020-03-17,MT,514564,8,0
2020-03-18,MT,514564,0,0
2020-03-19,MT,514564,15,0
2020-03-20,MT,514564,11,0
2020-03-21,MT,514564,9,0
2020-03-22,MT,514564,17,0
2020-03-23,MT,514564,17,0
2020-03-24,MT,514564,3,0
2020-03-25,MT,514564,19,0
2020-03-26,MT,514564,5,0
2020-03-27,MT,514564,5,0
2020-03-28,MT,514564,10,0
2020-03-29,MT,514564,2,0
2020-03-30,MT,514564,5,0
2020-03-31,MT,514564,13,0
2020-04-01,MT,514564,19,0
2020-04-02,MT,514564,8,0
2020-04-03,MT,514564,6,0
2020-04-04,MT,514564,11,0
2020-04-05,MT,514564,14,0
2020-04-06,MT,514564,14,0
2020-04-07,MT,514564,52,0
2020-04-08,MT,514564,6,1
2020-04-09,MT,514564,38,1
2020-04-10,MT,514564,13,0
2020-04-11,MT,514564,20,1
2020-04-12,MT,514564,8,0
2020-04-13,MT,514564,6,0
2020-04-14,MT,514564,9,0
2020-04-15,MT,514564,6,0
2020-04-16,MT,514564,13,0
2020-04-17,MT,514564,10,0
2020-04-18,MT,514564,4,0
2020-04-19,MT,514564,1,0
2020-04-20,MT,514564,4,0
2020-04-21,MT,514564,12,0
2020-04-22,MT,514564,1,0
2020-04-23,MT,514564,1,0
2020-04-24,MT,514564,2,0
2020-04-25,MT,514564,1,1
2020-04-26,MT,514564,0,0
2020-04-27,MT,514564,2,0
2020-04-28,MT,514564,8,0
2020-04-29,MT,514564,5,0
2020-04-30,MT,514564,2,0
2020-05-01,MT,514564,2,0
2020-05-02,MT,514564,1,0
2020-05-03,MT,514564,9,0
2020-05-04,MT,514564,3,0
2020-05-05,MT,514564,2,1
2020-05-06,MT,514564,2,0
2020-05-07,MT,514564,2,0
2020-05-08,MT,514564,3,0
2020-05-09,MT,514564,1,0
2020-05-10,MT,514564,6,0
2020-05-11,MT,514564,7,0
2020-05-12,MT,514564,3,0
2020-05-13,MT,514564,2,1
2020-05-14,MT,514564,14,0
2020-05-15,MT,514564,10,0
2020-05-16,MT,514564,14,0
2020-05-17,MT,514564,7,0
2020-05-18,MT,514564,5,0
2020-05-19,MT,514564,11,0
2020-05-20,MT,514564,15,0
2020-05-21,MT,514564,15,0
2020-05-22,MT,514564,1,0
2020-05-23,MT,514564,9,0
2020-05-24,MT,514564,1,0
2020-05-25,MT,514564,1,0
2020-05-26,MT,514564,0,0
2020-05-27,MT,514564,1,1
2020-05-28,MT,514564,4,0
2020-05-29,MT,514564,0,2
2020-05-30,MT,514564,2,0
2020-05-31,MT,514564,0,0
2020-06-01,MT,514564,1,0
2020-06-02,MT,514564,1,0
2020-06-03,MT,514564,2,0
2020-06-04,MT,514564,0,0
2020-06-05,MT,514564,3,0
2020-06-06,MT,514564,2,0
2020-06-07,MT,514564,2,0
2020-06-08,MT,514564,1,0
2020-06-09,MT,514564,2,0
2020-06-10,MT,514564,3,0
2020-06-11,MT,514564,5,0
2020-06-12,MT,514564,5,0
2020-06-13,MT,514564,1,0
2020-06-14,MT,514564,3,0
2020-06-15,MT,514564,1,0
2020-06-16,MT,514564,6,0
2020-06-17,MT,514564,6,0
2020-06-18,MT,514564,1,0
2020-06-19,MT,514564,0,0
2020-06-20,MT,514564,1,0
2020-06-21,MT,514564,1,0
2020-06-22,MT,514564,0,0
2020-06-23,MT,514564,0,0
2020-06-24,MT,514564,0,0
2020-06-25,MT,514564,3,0
2020-06-26,MT,514564,2,0
2020-06-27,MT,514564,0,0
2020-06-28,MT,514564,0,0
2020-06-29,MT,514564,0,0
2020-06-30,MT,514564,0,0
2020-07-01,MT,514564,1,0
2020-07-02,MT,514564,0,0
2020-07-03,MT,514564,1,0
2020-07-04,MT,514564,0,0
2020-07-05,MT,514564,0,0
2020-07-06,MT,514564,0,0
2020-07-07,MT,514564,1,0
2020-07-08,MT,514564,0,0
2020-07-09,MT,514564,1,0
2020-07-10,MT,514564,0,0
2020-07-11,MT,514564,0,0
2020-07-12,MT,514564,0,0
