date,countrycode,population,cases,deaths
2020-03-08,MV,383135,0,0
2020-03-09,MV,383135,0,0
2020-03-10,MV,383135,2,0
2020-03-11,MV,383135,2,0
2020-03-12,MV,383135,0,0
2020-03-13,MV,383135,1,0
2020-03-14,MV,383135,1,0
2020-03-15,MV,383135,3,0
2020-03-16,MV,383135,0,0
2020-03-17,MV,383135,0,0
2020-03-18,MV,383135,0,0
2020-03-19,MV,383135,0,0
2020-03-20,MV,383135,0,0
2020-03-21,MV,383135,0,0
2020-03-22,MV,383135,0,0
2020-03-23,MV,383135,0,0
2020-03-24,MV,383135,0,0
2020-03-25,MV,383135,0,0
2020-03-26,MV,383135,0,0
2020-03-27,MV,383135,3,0
2020-03-28,MV,383135,0,0
2020-03-29,MV,383135,1,0
2020-03-30,MV,383135,0,0
2020-03-31,MV,383135,1,0
2020-04-01,MV,383135,1,0
2020-04-02,MV,383135,0,0
2020-04-03,MV,383135,0,0
2020-04-04,MV,383135,0,0
2020-04-05,MV,383135,0,0
2020-04-06,MV,383135,0,0
2020-04-07,MV,383135,0,0
2020-04-08,MV,383135,0,0
2020-04-09,MV,383135,0,0
2020-04-10,MV,383135,0,0
2020-04-11,MV,383135,0,0
2020-04-12,MV,383135,1,0
2020-04-13,MV,383135,0,0
2020-04-14,MV,383135,0,0
2020-04-15,MV,383135,2,0
2020-04-16,MV,383135,3,0
2020-04-17,MV,383135,3,0
2020-04-18,MV,383135,7,0
2020-04-19,MV,383135,17,0
2020-04-20,MV,383135,17,0
2020-04-21,MV,383135,14,0
2020-04-22,MV,383135,3,0
2020-04-23,MV,383135,22,0
2020-04-24,MV,383135,21,0
2020-04-25,MV,383135,48,0
2020-04-26,MV,383135,37,0
2020-04-27,MV,383135,12,0
2020-04-28,MV,383135,24,0
2020-04-29,MV,383135,28,1
2020-04-30,MV,383135,190,0
2020-05-01,MV,383135,23,0
2020-05-02,MV,383135,28,0
2020-05-03,MV,383135,8,0
2020-05-04,MV,383135,14,0
2020-05-05,MV,383135,32,1
2020-05-06,MV,383135,44,0
2020-05-07,MV,383135,31,1
2020-05-08,MV,383135,96,0
2020-05-09,MV,383135,46,0
2020-05-10,MV,383135,45,0
2020-05-11,MV,383135,62,0
2020-05-12,MV,383135,7,0
2020-05-13,MV,383135,51,1
2020-05-14,MV,383135,27,0
2020-05-15,MV,383135,49,0
2020-05-16,MV,383135,47,0
2020-05-17,MV,383135,16,0
2020-05-18,MV,383135,12,0
2020-05-19,MV,383135,37,0
2020-05-20,MV,383135,43,0
2020-05-21,MV,383135,30,0
2020-05-22,MV,383135,58,0
2020-05-23,MV,383135,39,0
2020-05-24,MV,383135,58,0
2020-05-25,MV,383135,24,0
2020-05-26,MV,383135,43,1
2020-05-27,MV,383135,19,0
2020-05-28,MV,383135,56,0
2020-05-29,MV,383135,78,0
2020-05-30,MV,383135,81,0
2020-05-31,MV,383135,101,0
2020-06-01,MV,383135,56,1
2020-06-02,MV,383135,12,1
2020-06-03,MV,383135,9,0
2020-06-04,MV,383135,22,0
2020-06-05,MV,383135,11,0
2020-06-06,MV,383135,18,1
2020-06-07,MV,383135,2,0
2020-06-08,MV,383135,13,0
2020-06-09,MV,383135,26,0
2020-06-10,MV,383135,20,0
2020-06-11,MV,383135,14,0
2020-06-12,MV,383135,27,0
2020-06-13,MV,383135,10,0
2020-06-14,MV,383135,22,0
2020-06-15,MV,383135,30,0
2020-06-16,MV,383135,29,0
2020-06-17,MV,383135,26,0
2020-06-18,MV,383135,17,0
2020-06-19,MV,383135,13,0
2020-06-20,MV,383135,37,0
2020-06-21,MV,383135,16,0
2020-06-22,MV,383135,14,0
2020-06-23,MV,383135,21,0
2020-06-24,MV,383135,23,0
2020-06-25,MV,383135,16,0
2020-06-26,MV,383135,6,0
2020-06-27,MV,383135,22,0
2020-06-28,MV,383135,19,0
2020-06-29,MV,383135,13,0
2020-06-30,MV,383135,24,1
2020-07-01,MV,383135,21,0
2020-07-02,MV,383135,18,1
2020-07-03,MV,383135,10,0
2020-07-04,MV,383135,25,0
2020-07-05,MV,383135,33,1
2020-07-06,MV,383135,23,1
2020-07-07,MV,383135,10,0
2020-07-08,MV,383135,16,1
2020-07-09,MV,383135,36,0
2020-07-10,MV,383135,64,0
2020-07-11,MV,383135,47,0
2020-07-12,MV,383135,67,0
2020-07-13,MV,383135,31,0
2020-07-14,MV,383135,39,1
2020-07-15,MV,383135,30,0
2020-07-16,MV,383135,68,1
2020-07-17,MV,383135,14,0
2020-07-18,MV,383135,17,0
2020-07-19,MV,383135,36,0
2020-07-20,MV,383135,33,0
2020-07-21,MV,383135,45,0
2020-07-22,MV,383135,59,0
2020-07-23,MV,383135,17,0
2020-07-24,MV,383135,55,0
2020-07-25,MV,383135,77,0
2020-07-26,MV,383135,50,0
2020-07-27,MV,383135,67,0
2020-07-28,MV,383135,137,0
2020-07-29,MV,383135,61,0
2020-07-30,MV,383135,152,1
2020-07-31,MV,383135,74,0
2020-08-01,MV,383135,156,1
2020-08-02,MV,383135,215,1
2020-08-03,MV,383135,129,0
2020-08-04,MV,383135,153,1
2020-08-05,MV,383135,148,0
2020-08-06,MV,383135,86,0
2020-08-07,MV,383135,89,0
2020-08-08,MV,383135,129,0
2020-08-09,MV,383135,143,0
2020-08-10,MV,383135,116,0
2020-08-11,MV,383135,66,1
2020-08-12,MV,383135,143,1
2020-08-13,MV,383135,128,0
2020-08-14,MV,383135,78,1
2020-08-15,MV,383135,107,0
2020-08-16,MV,383135,106,0
2020-08-17,MV,383135,124,1
2020-08-18,MV,383135,170,1
2020-08-19,MV,383135,146,0
2020-08-20,MV,383135,145,0
2020-08-21,MV,383135,194,2
2020-08-22,MV,383135,96,0
2020-08-23,MV,383135,119,0
2020-08-24,MV,383135,133,1
2020-08-25,MV,383135,135,1
2020-08-26,MV,383135,178,0
2020-08-27,MV,383135,104,0
2020-08-28,MV,383135,140,0
2020-08-29,MV,383135,109,0
2020-08-30,MV,383135,89,0
2020-08-31,MV,383135,137,0
2020-09-01,MV,383135,199,1
2020-09-02,MV,383135,137,0
2020-09-03,MV,383135,141,0
2020-09-04,MV,383135,80,0
2020-09-05,MV,383135,125,0
2020-09-06,MV,383135,98,0
2020-09-07,MV,383135,83,0
2020-09-08,MV,383135,74,0
2020-09-09,MV,383135,93,2
2020-09-10,MV,383135,66,0
2020-09-11,MV,383135,90,0
2020-09-12,MV,383135,62,0
2020-09-13,MV,383135,121,1
2020-09-14,MV,383135,70,1
2020-09-15,MV,383135,85,0
2020-09-16,MV,383135,99,0
2020-09-17,MV,383135,67,0
2020-09-18,MV,383135,74,0
2020-09-19,MV,383135,81,0
2020-09-20,MV,383135,75,0
2020-09-21,MV,383135,46,1
2020-09-22,MV,383135,48,0
2020-09-23,MV,383135,67,0
2020-09-24,MV,383135,54,0
2020-09-25,MV,383135,75,0
2020-09-26,MV,383135,31,0
2020-09-27,MV,383135,53,0
2020-09-28,MV,383135,59,0
2020-09-29,MV,383135,37,0
2020-09-30,MV,383135,97,0
2020-10-01,MV,383135,63,0
2020-10-02,MV,383135,44,0
2020-10-03,MV,383135,67,0
2020-10-04,MV,383135,65,0
2020-10-05,MV,383135,37,0
2020-10-06,MV,383135,54,0
2020-10-07,MV,383135,35,0
2020-10-08,MV,383135,86,0
2020-10-09,MV,383135,66,0
2020-10-10,MV,383135,51,0
2020-10-11,MV,383135,35,1
2020-10-12,MV,383135,49,0
2020-10-13,MV,383135,50,0
2020-10-14,MV,383135,69,0
2020-10-15,MV,383135,51,0
2020-10-16,MV,383135,41,0
2020-10-17,MV,383135,24,1
2020-10-18,MV,383135,32,1
2020-10-19,MV,383135,22,0
2020-10-20,MV,383135,39,0
2020-10-21,MV,383135,45,0
2020-10-22,MV,383135,42,0
2020-10-23,MV,383135,33,0
2020-10-24,MV,383135,30,0
2020-10-25,MV,383135,84,0
2020-10-26,MV,383135,27,0
2020-10-27,MV,383135,35,0
2020-10-28,MV,383135,24,0
2020-10-29,MV,383135,25,0
2020-10-30,MV,383135,27,0
2020-10-31,MV,383135,16,1
2020-11-01,MV,383135,42,0
2020-11-02,MV,383135,36,0
2020-11-03,MV,383135,59,0
2020-11-04,MV,383135,26,0
2020-11-05,MV,383135,71,0
2020-11-06,MV,383135,39,1
2020-11-07,MV,383135,30,0
2020-11-08,MV,383135,24,0
2020-11-09,MV,383135,23,1
2020-11-10,MV,383135,21,1
2020-11-11,MV,383135,29,0
2020-11-12,MV,383135,26,0
2020-11-13,MV,383135,27,0
2020-11-14,MV,383135,42,1
2020-11-15,MV,383135,50,1
2020-11-16,MV,383135,110,1
2020-11-17,MV,383135,41,1
2020-11-18,MV,383135,29,0
2020-11-19,MV,383135,68,0
2020-11-20,MV,383135,94,0
2020-11-21,MV,383135,32,0
2020-11-22,MV,383135,30,1
2020-11-23,MV,383135,150,0
2020-11-24,MV,383135,52,0
2020-11-25,MV,383135,44,0
2020-11-26,MV,383135,35,0
2020-11-27,MV,383135,44,0
2020-11-28,MV,383135,14,0
2020-11-29,MV,383135,47,0
2020-11-30,MV,383135,17,0
2020-12-01,MV,383135,38,1
2020-12-02,MV,383135,21,0
2020-12-03,MV,383135,36,0
2020-12-04,MV,383135,37,0
2020-12-05,MV,383135,16,0
2020-12-06,MV,383135,39,0
2020-12-07,MV,383135,15,0
2020-12-08,MV,383135,35,0
2020-12-09,MV,383135,26,0
2020-12-10,MV,383135,34,0
2020-12-11,MV,383135,18,1
2020-12-12,MV,383135,22,0
2020-12-13,MV,383135,20,0
2020-12-14,MV,383135,11,0
2020-12-15,MV,383135,13,0
2020-12-16,MV,383135,10,0
2020-12-17,MV,383135,16,0
2020-12-18,MV,383135,26,0
2020-12-19,MV,383135,30,0
2020-12-20,MV,383135,19,0
2020-12-21,MV,383135,8,0
2020-12-22,MV,383135,23,0
2020-12-23,MV,383135,13,0
2020-12-24,MV,383135,21,0
2020-12-25,MV,383135,25,0
2020-12-26,MV,383135,35,0
2020-12-27,MV,383135,26,0
2020-12-28,MV,383135,16,0
2020-12-29,MV,383135,31,0
2020-12-30,MV,383135,47,0
2020-12-31,MV,383135,19,0
2021-01-01,MV,383135,47,0
2021-01-02,MV,383135,30,0
2021-01-03,MV,383135,33,0
2021-01-04,MV,383135,26,0
2021-01-05,MV,383135,37,0
2021-01-06,MV,383135,37,0
2021-01-07,MV,383135,21,1
2021-01-08,MV,383135,52,0
2021-01-09,MV,383135,25,0
2021-01-10,MV,383135,44,0
2021-01-11,MV,383135,50,0
2021-01-12,MV,383135,59,0
2021-01-13,MV,383135,59,0
2021-01-14,MV,383135,48,0
2021-01-15,MV,383135,50,0
2021-01-16,MV,383135,51,0
2021-01-17,MV,383135,87,0
2021-01-18,MV,383135,69,0
2021-01-19,MV,383135,51,0
2021-01-20,MV,383135,79,0
2021-01-21,MV,383135,53,1
2021-01-22,MV,383135,65,0
2021-01-23,MV,383135,55,0
2021-01-24,MV,383135,108,1
2021-01-25,MV,383135,109,0
2021-01-26,MV,383135,145,0
2021-01-27,MV,383135,143,0
2021-01-28,MV,383135,106,0
2021-01-29,MV,383135,118,0
2021-01-30,MV,383135,122,0
2021-01-31,MV,383135,105,1
2021-02-01,MV,383135,215,0
2021-02-02,MV,383135,99,0
2021-02-03,MV,383135,121,1
2021-02-04,MV,383135,134,1
2021-02-05,MV,383135,137,0
2021-02-06,MV,383135,109,0
2021-02-07,MV,383135,127,1
2021-02-08,MV,383135,126,0
2021-02-09,MV,383135,192,1
2021-02-10,MV,383135,100,0
2021-02-11,MV,383135,186,0
2021-02-12,MV,383135,120,1
2021-02-13,MV,383135,209,1
2021-02-14,MV,383135,112,0
2021-02-15,MV,383135,125,0
2021-02-16,MV,383135,129,0
2021-02-17,MV,383135,142,0
2021-02-18,MV,383135,116,0
2021-02-19,MV,383135,127,0
2021-02-20,MV,383135,145,2
2021-02-21,MV,383135,157,0
2021-02-22,MV,383135,161,0
2021-02-23,MV,383135,108,0
2021-02-24,MV,383135,124,0
2021-02-25,MV,383135,184,0
2021-02-26,MV,383135,133,0
2021-02-27,MV,383135,118,1
2021-02-28,MV,383135,196,1
2021-03-01,MV,383135,186,0
2021-03-02,MV,383135,165,0
2021-03-03,MV,383135,136,1
2021-03-04,MV,383135,167,1
2021-03-05,MV,383135,118,0
2021-03-06,MV,383135,98,0
2021-03-07,MV,383135,131,0
2021-03-08,MV,383135,125,0
2021-03-09,MV,383135,115,0
2021-03-10,MV,383135,110,0
2021-03-11,MV,383135,124,0
2021-03-12,MV,383135,114,0
2021-03-13,MV,383135,94,0
2021-03-14,MV,383135,96,0
2021-03-15,MV,383135,94,0
2021-03-16,MV,383135,153,0
2021-03-17,MV,383135,142,0
2021-03-18,MV,383135,186,0
2021-03-19,MV,383135,145,1
2021-03-20,MV,383135,81,0
2021-03-21,MV,383135,140,1
2021-03-22,MV,383135,149,0
2021-03-23,MV,383135,128,0
2021-03-24,MV,383135,139,0
2021-03-25,MV,383135,162,0
2021-03-26,MV,383135,146,0
2021-03-27,MV,383135,166,0
2021-03-28,MV,383135,121,0
2021-03-29,MV,383135,147,0
2021-03-30,MV,383135,167,0
2021-03-31,MV,383135,241,1
2021-04-01,MV,383135,300,0
2021-04-02,MV,383135,169,0
2021-04-03,MV,383135,103,0
2021-04-04,MV,383135,132,0
2021-04-05,MV,383135,125,0
2021-04-06,MV,383135,145,0
2021-04-07,MV,383135,138,0
2021-04-08,MV,383135,113,0
2021-04-09,MV,383135,132,0
2021-04-10,MV,383135,88,0
2021-04-11,MV,383135,93,0
2021-04-12,MV,383135,84,0
2021-04-13,MV,383135,58,0
2021-04-14,MV,383135,85,0
2021-04-15,MV,383135,95,0
2021-04-16,MV,383135,82,1
2021-04-17,MV,383135,124,1
2021-04-18,MV,383135,203,1
2021-04-19,MV,383135,157,0
2021-04-20,MV,383135,162,1
2021-04-21,MV,383135,253,0
2021-04-22,MV,383135,164,0
2021-04-23,MV,383135,319,0
2021-04-24,MV,383135,218,0
