date,countrycode,population,cases,deaths
2020-04-02,MW,18898441,0,0
2020-04-03,MW,18898441,0,0
2020-04-04,MW,18898441,1,0
2020-04-05,MW,18898441,0,0
2020-04-06,MW,18898441,1,0
2020-04-07,MW,18898441,3,1
2020-04-08,MW,18898441,0,0
2020-04-09,MW,18898441,0,0
2020-04-10,MW,18898441,1,0
2020-04-11,MW,18898441,3,1
2020-04-12,MW,18898441,1,0
2020-04-13,MW,18898441,3,0
2020-04-14,MW,18898441,0,0
2020-04-15,MW,18898441,0,0
2020-04-16,MW,18898441,0,0
2020-04-17,MW,18898441,1,0
2020-04-18,MW,18898441,0,0
2020-04-19,MW,18898441,0,0
2020-04-20,MW,18898441,0,0
2020-04-21,MW,18898441,1,0
2020-04-22,MW,18898441,5,1
2020-04-23,MW,18898441,10,0
2020-04-24,MW,18898441,0,0
2020-04-25,MW,18898441,0,0
2020-04-26,MW,18898441,1,0
2020-04-27,MW,18898441,2,0
2020-04-28,MW,18898441,0,0
2020-04-29,MW,18898441,0,0
2020-04-30,MW,18898441,1,0
2020-05-01,MW,18898441,0,0
2020-05-02,MW,18898441,1,0
2020-05-03,MW,18898441,1,0
2020-05-04,MW,18898441,2,0
2020-05-05,MW,18898441,0,0
2020-05-06,MW,18898441,2,0
2020-05-07,MW,18898441,0,0
2020-05-08,MW,18898441,0,0
2020-05-09,MW,18898441,13,0
2020-05-10,MW,18898441,0,0
2020-05-11,MW,18898441,1,0
2020-05-12,MW,18898441,0,0
2020-05-13,MW,18898441,6,0
2020-05-14,MW,18898441,0,0
2020-05-15,MW,18898441,0,0
2020-05-16,MW,18898441,2,0
2020-05-17,MW,18898441,5,0
2020-05-18,MW,18898441,0,0
2020-05-19,MW,18898441,0,0
2020-05-20,MW,18898441,1,0
2020-05-21,MW,18898441,1,0
2020-05-22,MW,18898441,10,0
2020-05-23,MW,18898441,0,0
2020-05-24,MW,18898441,1,1
2020-05-25,MW,18898441,18,0
2020-05-26,MW,18898441,0,0
2020-05-27,MW,18898441,0,0
2020-05-28,MW,18898441,102,0
2020-05-29,MW,18898441,70,0
2020-05-30,MW,18898441,6,0
2020-05-31,MW,18898441,5,0
2020-06-01,MW,18898441,52,0
2020-06-02,MW,18898441,22,0
2020-06-03,MW,18898441,11,0
2020-06-04,MW,18898441,24,0
2020-06-05,MW,18898441,16,0
2020-06-06,MW,18898441,0,0
2020-06-07,MW,18898441,29,0
2020-06-08,MW,18898441,5,0
2020-06-09,MW,18898441,12,0
2020-06-10,MW,18898441,0,0
