date,countrycode,population,cases,deaths
2020-03-14,,2550226,0,0
2020-03-15,,2550226,0,0
2020-03-16,,2550226,0,0
2020-03-17,,2550226,0,0
2020-03-18,,2550226,0,0
2020-03-19,,2550226,1,0
2020-03-20,,2550226,0,0
2020-03-21,,2550226,0,0
2020-03-22,,2550226,0,0
2020-03-23,,2550226,1,0
2020-03-24,,2550226,3,0
2020-03-25,,2550226,0,0
2020-03-26,,2550226,1,0
2020-03-27,,2550226,0,0
2020-03-28,,2550226,0,0
2020-03-29,,2550226,3,0
2020-03-30,,2550226,0,0
2020-03-31,,2550226,0,0
2020-04-01,,2550226,3,0
2020-04-02,,2550226,0,0
2020-04-03,,2550226,0,0
2020-04-04,,2550226,0,0
2020-04-05,,2550226,2,0
2020-04-06,,2550226,0,0
2020-04-07,,2550226,0,0
2020-04-08,,2550226,0,0
2020-04-09,,2550226,0,0
2020-04-10,,2550226,0,0
2020-04-11,,2550226,0,0
2020-04-12,,2550226,0,0
2020-04-13,,2550226,0,0
2020-04-14,,2550226,0,0
2020-04-15,,2550226,0,0
2020-04-16,,2550226,0,0
2020-04-17,,2550226,0,0
2020-04-18,,2550226,0,0
2020-04-19,,2550226,0,0
2020-04-20,,2550226,0,0
2020-04-21,,2550226,0,0
2020-04-22,,2550226,0,0
2020-04-23,,2550226,0,0
2020-04-24,,2550226,0,0
2020-04-25,,2550226,0,0
2020-04-26,,2550226,0,0
2020-04-27,,2550226,0,0
2020-04-28,,2550226,0,0
2020-04-29,,2550226,0,0
2020-04-30,,2550226,0,0
2020-05-01,,2550226,0,0
2020-05-02,,2550226,0,0
2020-05-03,,2550226,0,0
2020-05-04,,2550226,0,0
2020-05-05,,2550226,0,0
2020-05-06,,2550226,0,0
2020-05-07,,2550226,0,0
2020-05-08,,2550226,0,0
2020-05-09,,2550226,0,0
2020-05-10,,2550226,0,0
2020-05-11,,2550226,0,0
2020-05-12,,2550226,0,0
2020-05-13,,2550226,0,0
2020-05-14,,2550226,0,0
2020-05-15,,2550226,0,0
2020-05-16,,2550226,0,0
2020-05-17,,2550226,0,0
2020-05-18,,2550226,0,0
2020-05-19,,2550226,0,0
2020-05-20,,2550226,0,0
2020-05-21,,2550226,2,0
2020-05-22,,2550226,1,0
2020-05-23,,2550226,1,0
2020-05-24,,2550226,1,0
2020-05-25,,2550226,0,0
2020-05-26,,2550226,0,0
2020-05-27,,2550226,1,0
2020-05-28,,2550226,0,0
2020-05-29,,2550226,1,0
2020-05-30,,2550226,0,0
2020-05-31,,2550226,1,0
2020-06-01,,2550226,1,0
2020-06-02,,2550226,0,0
2020-06-03,,2550226,0,0
2020-06-04,,2550226,0,0
2020-06-05,,2550226,0,0
2020-06-06,,2550226,4,0
2020-06-07,,2550226,0,0
2020-06-08,,2550226,2,0
2020-06-09,,2550226,0,0
2020-06-10,,2550226,0,0
2020-06-11,,2550226,0,0
2020-06-12,,2550226,0,0
2020-06-13,,2550226,1,0
2020-06-14,,2550226,0,0
2020-06-15,,2550226,0,0
2020-06-16,,2550226,2,0
2020-06-17,,2550226,2,0
2020-06-18,,2550226,3,0
2020-06-19,,2550226,6,0
2020-06-20,,2550226,1,0
2020-06-21,,2550226,9,0
2020-06-22,,2550226,8,0
2020-06-23,,2550226,9,0
2020-06-24,,2550226,4,0
2020-06-25,,2550226,26,0
2020-06-26,,2550226,19,0
2020-06-27,,2550226,15,0
2020-06-28,,2550226,47,0
2020-06-29,,2550226,13,0
2020-06-30,,2550226,9,0
2020-07-01,,2550226,80,0
2020-07-02,,2550226,8,0
2020-07-03,,2550226,57,0
2020-07-04,,2550226,25,0
2020-07-05,,2550226,37,0
2020-07-06,,2550226,73,0
2020-07-07,,2550226,54,0
2020-07-08,,2550226,54,0
2020-07-09,,2550226,22,0
2020-07-10,,2550226,53,1
2020-07-11,,2550226,0,0
2020-07-12,,2550226,117,0
2020-07-13,,2550226,76,0
2020-07-14,,2550226,3,1
2020-07-15,,2550226,96,0
2020-07-16,,2550226,72,0
2020-07-17,,2550226,46,0
2020-07-18,,2550226,125,0
2020-07-19,,2550226,44,1
2020-07-20,,2550226,97,1
2020-07-21,,2550226,22,3
2020-07-22,,2550226,36,0
2020-07-23,,2550226,120,0
2020-07-24,,2550226,96,0
2020-07-25,,2550226,69,0
2020-07-26,,2550226,88,1
2020-07-27,,2550226,68,0
2020-07-28,,2550226,74,0
2020-07-29,,2550226,69,1
2020-07-30,,2550226,66,1
2020-07-31,,2550226,77,0
2020-08-01,,2550226,95,1
2020-08-02,,2550226,70,0
2020-08-03,,2550226,112,1
2020-08-04,,2550226,64,0
2020-08-05,,2550226,70,0
2020-08-06,,2550226,112,3
2020-08-07,,2550226,150,1
2020-08-08,,2550226,0,0
2020-08-09,,2550226,147,3
2020-08-10,,2550226,152,0
2020-08-11,,2550226,128,0
2020-08-12,,2550226,177,3
2020-08-13,,2550226,138,5
2020-08-14,,2550226,182,4
2020-08-15,,2550226,181,4
2020-08-16,,2550226,247,0
2020-08-17,,2550226,190,1
2020-08-18,,2550226,120,1
2020-08-19,,2550226,201,2
2020-08-20,,2550226,247,2
2020-08-21,,2550226,315,1
2020-08-22,,2550226,311,4
2020-08-23,,2550226,316,6
2020-08-24,,2550226,176,4
2020-08-25,,2550226,130,1
2020-08-26,,2550226,271,2
2020-08-27,,2550226,281,1
2020-08-28,,2550226,194,5
2020-08-29,,2550226,210,4
2020-08-30,,2550226,249,3
2020-08-31,,2550226,185,3
2020-09-01,,2550226,142,6
2020-09-02,,2550226,152,1
2020-09-03,,2550226,238,4
2020-09-04,,2550226,241,1
2020-09-05,,2550226,191,0
2020-09-06,,2550226,171,2
2020-09-07,,2550226,125,2
2020-09-08,,2550226,118,0
2020-09-09,,2550226,180,2
2020-09-10,,2550226,148,3
2020-09-11,,2550226,181,2
2020-09-12,,2550226,167,0
2020-09-13,,2550226,115,3
2020-09-14,,2550226,99,2
2020-09-15,,2550226,83,3
2020-09-16,,2550226,63,2
2020-09-17,,2550226,114,0
2020-09-18,,2550226,129,0
2020-09-19,,2550226,85,3
2020-09-20,,2550226,85,1
2020-09-21,,2550226,149,1
2020-09-22,,2550226,81,3
2020-09-23,,2550226,56,1
2020-09-24,,2550226,77,2
2020-09-25,,2550226,95,0
2020-09-26,,2550226,83,1
2020-09-27,,2550226,115,0
2020-09-28,,2550226,88,1
2020-09-29,,2550226,19,0
2020-09-30,,2550226,125,0
2020-10-01,,2550226,108,2
2020-10-02,,2550226,107,0
2020-10-03,,2550226,92,0
2020-10-04,,2550226,54,0
2020-10-05,,2550226,28,2
2020-10-06,,2550226,19,0
2020-10-07,,2550226,41,1
2020-10-08,,2550226,67,1
2020-10-09,,2550226,48,0
2020-10-10,,2550226,62,1
2020-10-11,,2550226,45,0
2020-10-12,,2550226,53,1
2020-10-13,,2550226,11,0
2020-10-14,,2550226,69,1
2020-10-15,,2550226,34,0
2020-10-16,,2550226,112,1
2020-10-17,,2550226,48,0
2020-10-18,,2550226,30,0
2020-10-19,,2550226,33,0
2020-10-20,,2550226,41,1
2020-10-21,,2550226,39,1
2020-10-22,,2550226,54,0
2020-10-23,,2550226,41,0
2020-10-24,,2550226,78,0
2020-10-25,,2550226,81,0
2020-10-26,,2550226,15,0
2020-10-27,,2550226,54,0
2020-10-28,,2550226,77,0
2020-10-29,,2550226,52,0
2020-10-30,,2550226,49,0
2020-10-31,,2550226,28,0
2020-11-01,,2550226,53,0
2020-11-02,,2550226,24,0
2020-11-03,,2550226,18,0
2020-11-04,,2550226,16,0
2020-11-05,,2550226,44,0
2020-11-06,,2550226,53,0
2020-11-07,,2550226,27,1
2020-11-08,,2550226,41,0
2020-11-09,,2550226,29,0
2020-11-10,,2550226,13,0
2020-11-11,,2550226,39,0
2020-11-12,,2550226,53,1
2020-11-13,,2550226,27,3
2020-11-14,,2550226,77,0
2020-11-15,,2550226,59,0
2020-11-16,,2550226,47,0
2020-11-17,,2550226,11,2
2020-11-18,,2550226,44,0
2020-11-19,,2550226,52,1
2020-11-20,,2550226,50,2
2020-11-21,,2550226,99,2
2020-11-22,,2550226,54,0
2020-11-23,,2550226,32,0
2020-11-24,,2550226,41,0
2020-11-25,,2550226,68,0
2020-11-26,,2550226,149,2
2020-11-27,,2550226,52,2
2020-11-28,,2550226,78,1
2020-11-29,,2550226,60,1
2020-11-30,,2550226,35,0
2020-12-01,,2550226,36,0
2020-12-02,,2550226,61,0
2020-12-03,,2550226,122,0
2020-12-04,,2550226,205,1
2020-12-05,,2550226,146,0
2020-12-06,,2550226,128,0
2020-12-07,,2550226,141,0
2020-12-08,,2550226,79,1
2020-12-09,,2550226,174,2
2020-12-10,,2550226,301,3
2020-12-11,,2550226,324,2
2020-12-12,,2550226,172,0
2020-12-13,,2550226,267,0
2020-12-14,,2550226,190,3
2020-12-15,,2550226,187,1
2020-12-16,,2550226,363,0
2020-12-17,,2550226,331,0
2020-12-18,,2550226,434,5
2020-12-19,,2550226,396,2
2020-12-20,,2550226,277,6
2020-12-21,,2550226,585,3
2020-12-22,,2550226,330,1
2020-12-23,,2550226,355,2
2020-12-24,,2550226,595,4
2020-12-25,,2550226,683,0
2020-12-26,,2550226,136,0
2020-12-27,,2550226,525,4
2020-12-28,,2550226,364,2
2020-12-29,,2550226,564,2
2020-12-30,,2550226,482,1
2020-12-31,,2550226,608,9
2021-01-01,,2550226,604,3
2021-01-02,,2550226,109,5
2021-01-03,,2550226,462,2
2021-01-04,,2550226,270,3
2021-01-05,,2550226,501,4
2021-01-06,,2550226,432,13
2021-01-07,,2550226,363,5
2021-01-08,,2550226,573,5
2021-01-09,,2550226,468,6
2021-01-10,,2550226,536,3
2021-01-11,,2550226,343,7
2021-01-12,,2550226,269,3
2021-01-13,,2550226,312,7
2021-01-14,,2550226,387,4
2021-01-15,,2550226,319,5
2021-01-16,,2550226,309,0
2021-01-17,,2550226,165,5
2021-01-18,,2550226,390,8
2021-01-19,,2550226,242,3
2021-01-20,,2550226,258,5
2021-01-21,,2550226,262,9
2021-01-22,,2550226,333,1
2021-01-23,,2550226,365,6
2021-01-24,,2550226,212,2
2021-01-25,,2550226,225,0
2021-01-26,,2550226,307,9
2021-01-27,,2550226,308,4
2021-01-28,,2550226,194,0
2021-01-29,,2550226,237,10
2021-01-30,,2550226,136,8
2021-01-31,,2550226,112,2
2021-02-01,,2550226,224,1
2021-02-02,,2550226,102,2
2021-02-03,,2550226,102,4
2021-02-04,,2550226,147,5
2021-02-05,,2550226,96,6
2021-02-06,,2550226,229,1
2021-02-07,,2550226,129,4
2021-02-08,,2550226,97,0
2021-02-09,,2550226,131,2
2021-02-10,,2550226,41,1
2021-02-11,,2550226,111,4
2021-02-12,,2550226,201,2
2021-02-13,,2550226,243,2
2021-02-14,,2550226,155,2
2021-02-15,,2550226,273,1
2021-02-16,,2550226,141,3
2021-02-17,,2550226,74,2
2021-02-18,,2550226,240,0
2021-02-19,,2550226,313,5
2021-02-20,,2550226,302,3
2021-02-21,,2550226,188,0
2021-02-22,,2550226,259,4
2021-02-23,,2550226,154,5
2021-02-24,,2550226,80,2
2021-02-25,,2550226,230,3
2021-02-26,,2550226,218,2
2021-02-27,,2550226,218,2
2021-02-28,,2550226,203,4
2021-03-01,,2550226,188,4
2021-03-02,,2550226,149,2
2021-03-03,,2550226,115,4
2021-03-04,,2550226,169,2
2021-03-05,,2550226,210,1
2021-03-06,,2550226,201,0
2021-03-07,,2550226,153,1
2021-03-08,,2550226,157,1
2021-03-09,,2550226,150,5
2021-03-10,,2550226,114,4
2021-03-11,,2550226,180,2
2021-03-12,,2550226,179,6
2021-03-13,,2550226,215,2
2021-03-14,,2550226,175,0
2021-03-15,,2550226,224,7
2021-03-16,,2550226,42,9
2021-03-17,,2550226,80,3
2021-03-18,,2550226,138,6
2021-03-19,,2550226,281,3
2021-03-20,,2550226,238,6
2021-03-21,,2550226,274,0
2021-03-22,,2550226,176,2
2021-03-23,,2550226,118,4
2021-03-24,,2550226,93,4
2021-03-25,,2550226,146,0
2021-03-26,,2550226,169,2
2021-03-27,,2550226,320,4
2021-03-28,,2550226,133,1
2021-03-29,,2550226,291,4
2021-03-30,,2550226,128,7
2021-03-31,,2550226,88,3
2021-04-01,,2550226,235,5
2021-04-02,,2550226,207,3
2021-04-03,,2550226,102,2
2021-04-04,,2550226,107,4
2021-04-05,,2550226,96,1
2021-04-06,,2550226,122,4
2021-04-07,,2550226,31,6
2021-04-08,,2550226,15,9
2021-04-09,,2550226,139,2
2021-04-10,,2550226,130,5
2021-04-11,,2550226,204,6
2021-04-12,,2550226,260,5
2021-04-13,,2550226,162,11
2021-04-14,,2550226,102,6
2021-04-15,,2550226,134,4
2021-04-16,,2550226,145,3
2021-04-17,,2550226,185,3
2021-04-18,,2550226,140,2
2021-04-19,,2550226,118,0
2021-04-20,,2550226,102,4
2021-04-21,,2550226,79,1
2021-04-22,,2550226,218,7
2021-04-23,,2550226,211,6
2021-04-24,,2550226,288,2
2021-04-25,,2550226,105,1
2021-04-26,,2550226,165,3
2021-04-27,,2550226,70,6
2021-04-28,,2550226,166,4
2021-04-29,,2550226,0,0
2021-04-30,,2550226,174,4
2021-05-01,,2550226,303,1
2021-05-02,,2550226,0,0
2021-05-03,,2550226,0,0
2021-05-04,,2550226,0,0
2021-05-05,,2550226,669,24
2021-05-06,,2550226,137,7
2021-05-07,,2550226,92,8
2021-05-08,,2550226,341,1
2021-05-09,,2550226,177,6
2021-05-10,,2550226,139,2
2021-05-11,,2550226,92,5
2021-05-12,,2550226,214,6
2021-05-13,,2550226,218,2
2021-05-14,,2550226,0,0
2021-05-15,,2550226,216,1
2021-05-16,,2550226,269,13
2021-05-17,,2550226,172,5
2021-05-18,,2550226,246,10
2021-05-19,,2550226,191,6
2021-05-20,,2550226,0,0
2021-05-21,,2550226,606,20
2021-05-22,,2550226,279,4
2021-05-23,,2550226,234,2
