date,countrycode,population,cases,deaths
2020-02-28,NG,200963603,0,0
2020-02-29,NG,200963603,0,0
2020-03-01,NG,200963603,0,0
2020-03-02,NG,200963603,0,0
2020-03-03,NG,200963603,0,0
2020-03-04,NG,200963603,0,0
2020-03-05,NG,200963603,0,0
2020-03-06,NG,200963603,0,0
2020-03-07,NG,200963603,0,0
2020-03-08,NG,200963603,0,0
2020-03-09,NG,200963603,1,0
2020-03-10,NG,200963603,0,0
2020-03-11,NG,200963603,0,0
2020-03-12,NG,200963603,0,0
2020-03-13,NG,200963603,0,0
2020-03-14,NG,200963603,0,0
2020-03-15,NG,200963603,0,0
2020-03-16,NG,200963603,0,0
2020-03-17,NG,200963603,1,0
2020-03-18,NG,200963603,5,0
2020-03-19,NG,200963603,0,0
2020-03-20,NG,200963603,4,0
2020-03-21,NG,200963603,10,0
2020-03-22,NG,200963603,8,0
2020-03-23,NG,200963603,10,1
2020-03-24,NG,200963603,4,0
2020-03-25,NG,200963603,7,0
2020-03-26,NG,200963603,14,0
2020-03-27,NG,200963603,5,0
2020-03-28,NG,200963603,19,0
2020-03-29,NG,200963603,22,0
2020-03-30,NG,200963603,20,1
2020-03-31,NG,200963603,4,0
2020-04-01,NG,200963603,39,0
2020-04-02,NG,200963603,10,0
2020-04-03,NG,200963603,26,2
2020-04-04,NG,200963603,4,0
2020-04-05,NG,200963603,18,1
2020-04-06,NG,200963603,6,0
2020-04-07,NG,200963603,16,1
2020-04-08,NG,200963603,22,0
2020-04-09,NG,200963603,12,1
2020-04-10,NG,200963603,17,0
2020-04-11,NG,200963603,13,3
2020-04-12,NG,200963603,5,0
2020-04-13,NG,200963603,20,0
2020-04-14,NG,200963603,30,1
2020-04-15,NG,200963603,34,1
2020-04-16,NG,200963603,35,1
2020-04-17,NG,200963603,51,4
2020-04-18,NG,200963603,49,2
2020-04-19,NG,200963603,85,2
2020-04-20,NG,200963603,38,1
2020-04-21,NG,200963603,0,0
2020-04-22,NG,200963603,208,6
2020-04-23,NG,200963603,108,3
2020-04-24,NG,200963603,114,1
2020-04-25,NG,200963603,87,3
2020-04-26,NG,200963603,91,5
2020-04-27,NG,200963603,64,0
2020-04-28,NG,200963603,195,4
2020-04-29,NG,200963603,196,7
2020-04-30,NG,200963603,204,7
2020-05-01,NG,200963603,238,10
2020-05-02,NG,200963603,218,17
2020-05-03,NG,200963603,170,2
2020-05-04,NG,200963603,244,6
2020-05-05,NG,200963603,148,5
2020-05-06,NG,200963603,195,5
2020-05-07,NG,200963603,381,4
2020-05-08,NG,200963603,386,10
2020-05-09,NG,200963603,239,11
2020-05-10,NG,200963603,248,15
2020-05-11,NG,200963603,242,7
2020-05-12,NG,200963603,146,8
2020-05-13,NG,200963603,184,6
2020-05-14,NG,200963603,191,3
2020-05-15,NG,200963603,288,4
2020-05-16,NG,200963603,171,5
2020-05-17,NG,200963603,338,6
2020-05-18,NG,200963603,216,9
2020-05-19,NG,200963603,226,1
2020-05-20,NG,200963603,276,8
2020-05-21,NG,200963603,339,11
2020-05-22,NG,200963603,245,10
2020-05-23,NG,200963603,265,0
2020-05-24,NG,200963603,313,5
2020-05-25,NG,200963603,229,7
2020-05-26,NG,200963603,276,16
2020-05-27,NG,200963603,389,5
2020-05-28,NG,200963603,182,5
2020-05-29,NG,200963603,387,2
2020-05-30,NG,200963603,553,12
2020-05-31,NG,200963603,307,14
2020-06-01,NG,200963603,416,12
2020-06-02,NG,200963603,241,15
2020-06-03,NG,200963603,347,1
2020-06-04,NG,200963603,350,8
2020-06-05,NG,200963603,328,10
2020-06-06,NG,200963603,389,9
2020-06-07,NG,200963603,253,12
2020-06-08,NG,200963603,315,7
2020-06-09,NG,200963603,663,4
2020-06-10,NG,200963603,409,17
2020-06-11,NG,200963603,681,5
