date,countrycode,population,cases,deaths
2020-03-19,NI,6545503,0,0
2020-03-20,NI,6545503,0,0
2020-03-21,NI,6545503,1,0
2020-03-22,NI,6545503,0,0
2020-03-23,NI,6545503,0,0
2020-03-24,NI,6545503,0,0
2020-03-25,NI,6545503,0,0
2020-03-26,NI,6545503,0,0
2020-03-27,NI,6545503,0,1
2020-03-28,NI,6545503,2,0
2020-03-29,NI,6545503,0,0
2020-03-30,NI,6545503,0,0
2020-03-31,NI,6545503,1,0
2020-04-01,NI,6545503,0,0
2020-04-02,NI,6545503,0,0
2020-04-03,NI,6545503,0,0
2020-04-04,NI,6545503,0,0
2020-04-05,NI,6545503,1,0
2020-04-06,NI,6545503,0,0
2020-04-07,NI,6545503,0,0
2020-04-08,NI,6545503,0,0
2020-04-09,NI,6545503,1,0
2020-04-10,NI,6545503,0,0
2020-04-11,NI,6545503,1,0
2020-04-12,NI,6545503,1,0
2020-04-13,NI,6545503,0,0
2020-04-14,NI,6545503,0,0
2020-04-15,NI,6545503,0,0
2020-04-16,NI,6545503,0,0
2020-04-17,NI,6545503,0,0
2020-04-18,NI,6545503,0,1
2020-04-19,NI,6545503,1,0
2020-04-20,NI,6545503,0,0
2020-04-21,NI,6545503,0,0
2020-04-22,NI,6545503,0,0
2020-04-23,NI,6545503,1,1
2020-04-24,NI,6545503,0,0
2020-04-25,NI,6545503,1,0
2020-04-26,NI,6545503,1,0
2020-04-27,NI,6545503,0,0
2020-04-28,NI,6545503,0,0
2020-04-29,NI,6545503,0,0
2020-04-30,NI,6545503,1,0
2020-05-01,NI,6545503,0,0
2020-05-02,NI,6545503,0,0
2020-05-03,NI,6545503,1,2
2020-05-04,NI,6545503,0,0
2020-05-05,NI,6545503,1,0
2020-05-06,NI,6545503,0,0
2020-05-07,NI,6545503,0,0
2020-05-08,NI,6545503,0,0
2020-05-09,NI,6545503,0,0
2020-05-10,NI,6545503,0,0
2020-05-11,NI,6545503,0,0
2020-05-12,NI,6545503,9,3
2020-05-13,NI,6545503,0,0
2020-05-14,NI,6545503,0,0
2020-05-15,NI,6545503,0,0
2020-05-16,NI,6545503,0,0
2020-05-17,NI,6545503,0,0
2020-05-18,NI,6545503,0,0
2020-05-19,NI,6545503,229,9
2020-05-20,NI,6545503,0,0
2020-05-21,NI,6545503,25,0
2020-05-22,NI,6545503,0,0
2020-05-23,NI,6545503,0,0
2020-05-24,NI,6545503,0,0
2020-05-25,NI,6545503,0,0
2020-05-26,NI,6545503,480,18
2020-05-27,NI,6545503,0,0
2020-05-28,NI,6545503,0,0
2020-05-29,NI,6545503,0,0
2020-05-30,NI,6545503,0,0
2020-05-31,NI,6545503,0,0
2020-06-01,NI,6545503,0,0
2020-06-02,NI,6545503,359,11
2020-06-03,NI,6545503,0,0
2020-06-04,NI,6545503,0,0
2020-06-05,NI,6545503,0,0
2020-06-06,NI,6545503,0,0
2020-06-07,NI,6545503,0,0
2020-06-08,NI,6545503,0,0
2020-06-09,NI,6545503,346,9
2020-06-10,NI,6545503,0,0
2020-06-11,NI,6545503,0,0
2020-06-12,NI,6545503,0,0
2020-06-13,NI,6545503,0,0
2020-06-14,NI,6545503,0,0
2020-06-15,NI,6545503,0,0
2020-06-16,NI,6545503,359,9
2020-06-17,NI,6545503,0,0
2020-06-18,NI,6545503,0,0
2020-06-19,NI,6545503,0,0
2020-06-20,NI,6545503,0,0
2020-06-21,NI,6545503,0,0
2020-06-22,NI,6545503,0,0
2020-06-23,NI,6545503,347,10
2020-06-24,NI,6545503,0,0
2020-06-25,NI,6545503,0,0
2020-06-26,NI,6545503,0,0
2020-06-27,NI,6545503,0,0
2020-06-28,NI,6545503,0,0
2020-06-29,NI,6545503,0,0
2020-06-30,NI,6545503,349,9
2020-07-01,NI,6545503,0,0
2020-07-02,NI,6545503,0,0
2020-07-03,NI,6545503,0,0
2020-07-04,NI,6545503,0,0
2020-07-05,NI,6545503,0,0
2020-07-06,NI,6545503,0,0
2020-07-07,NI,6545503,327,8
2020-07-08,NI,6545503,0,0
2020-07-09,NI,6545503,0,0
2020-07-10,NI,6545503,0,0
2020-07-11,NI,6545503,0,0
2020-07-12,NI,6545503,0,0
2020-07-13,NI,6545503,0,0
2020-07-14,NI,6545503,301,8
2020-07-15,NI,6545503,0,0
2020-07-16,NI,6545503,0,0
2020-07-17,NI,6545503,0,0
2020-07-18,NI,6545503,0,0
2020-07-19,NI,6545503,0,0
2020-07-20,NI,6545503,0,0
2020-07-21,NI,6545503,292,9
2020-07-22,NI,6545503,0,0
2020-07-23,NI,6545503,0,0
2020-07-24,NI,6545503,0,0
2020-07-25,NI,6545503,0,0
2020-07-26,NI,6545503,0,0
2020-07-27,NI,6545503,0,0
2020-07-28,NI,6545503,233,8
2020-07-29,NI,6545503,0,0
2020-07-30,NI,6545503,0,0
2020-07-31,NI,6545503,0,0
2020-08-01,NI,6545503,0,0
2020-08-02,NI,6545503,0,0
2020-08-03,NI,6545503,0,0
2020-08-04,NI,6545503,230,7
2020-08-05,NI,6545503,0,0
2020-08-06,NI,6545503,0,0
2020-08-07,NI,6545503,0,0
2020-08-08,NI,6545503,0,0
2020-08-09,NI,6545503,0,0
2020-08-10,NI,6545503,0,0
2020-08-11,NI,6545503,213,5
2020-08-12,NI,6545503,0,0
2020-08-13,NI,6545503,0,0
2020-08-14,NI,6545503,0,0
2020-08-15,NI,6545503,0,0
2020-08-16,NI,6545503,0,0
2020-08-17,NI,6545503,0,0
2020-08-18,NI,6545503,196,5
2020-08-19,NI,6545503,0,0
2020-08-20,NI,6545503,0,0
2020-08-21,NI,6545503,0,0
2020-08-22,NI,6545503,0,0
2020-08-23,NI,6545503,0,0
2020-08-24,NI,6545503,0,0
2020-08-25,NI,6545503,183,4
2020-08-26,NI,6545503,0,0
2020-08-27,NI,6545503,0,0
2020-08-28,NI,6545503,0,0
2020-08-29,NI,6545503,0,0
2020-08-30,NI,6545503,0,0
2020-08-31,NI,6545503,0,0
2020-09-01,NI,6545503,174,4
2020-09-02,NI,6545503,0,0
2020-09-03,NI,6545503,0,0
2020-09-04,NI,6545503,0,0
2020-09-05,NI,6545503,0,0
2020-09-06,NI,6545503,0,0
2020-09-07,NI,6545503,0,0
2020-09-08,NI,6545503,150,3
2020-09-09,NI,6545503,0,0
2020-09-10,NI,6545503,0,0
2020-09-11,NI,6545503,0,0
2020-09-12,NI,6545503,0,0
2020-09-13,NI,6545503,0,0
2020-09-14,NI,6545503,0,0
2020-09-15,NI,6545503,143,3
2020-09-16,NI,6545503,0,0
2020-09-17,NI,6545503,0,0
2020-09-18,NI,6545503,0,0
2020-09-19,NI,6545503,0,0
2020-09-20,NI,6545503,0,0
2020-09-21,NI,6545503,0,0
2020-09-22,NI,6545503,112,2
2020-09-23,NI,6545503,0,0
2020-09-24,NI,6545503,0,0
2020-09-25,NI,6545503,0,0
2020-09-26,NI,6545503,0,0
2020-09-27,NI,6545503,0,0
2020-09-28,NI,6545503,0,0
2020-09-29,NI,6545503,97,2
2020-09-30,NI,6545503,0,0
2020-10-01,NI,6545503,0,0
2020-10-02,NI,6545503,0,0
2020-10-03,NI,6545503,0,0
2020-10-04,NI,6545503,0,0
2020-10-05,NI,6545503,0,0
2020-10-06,NI,6545503,94,0
2020-10-07,NI,6545503,0,2
2020-10-08,NI,6545503,0,0
2020-10-09,NI,6545503,0,0
2020-10-10,NI,6545503,0,0
2020-10-11,NI,6545503,0,0
2020-10-12,NI,6545503,0,0
2020-10-13,NI,6545503,89,1
2020-10-14,NI,6545503,0,0
2020-10-15,NI,6545503,0,0
2020-10-16,NI,6545503,0,0
2020-10-17,NI,6545503,0,0
2020-10-18,NI,6545503,0,0
2020-10-19,NI,6545503,0,0
2020-10-20,NI,6545503,81,1
2020-10-21,NI,6545503,0,0
2020-10-22,NI,6545503,0,0
2020-10-23,NI,6545503,0,0
