date,countrycode,population,cases,deaths
2020-03-10,PA,424644,0,0
2020-03-11,PA,424644,7,1
2020-03-12,PA,424644,3,0
2020-03-13,PA,424644,16,0
2020-03-14,PA,424644,9,0
2020-03-15,PA,424644,7,0
2020-03-16,PA,424644,12,0
2020-03-17,PA,424644,14,0
2020-03-18,PA,424644,17,0
2020-03-19,PA,424644,23,0
2020-03-20,PA,424644,28,0
2020-03-21,PA,424644,63,0
2020-03-22,PA,424644,113,2
2020-03-23,PA,424644,0,0
2020-03-24,PA,424644,32,3
2020-03-25,PA,424644,98,2
2020-03-26,PA,424644,115,0
2020-03-27,PA,424644,116,1
2020-03-28,PA,424644,112,5
2020-03-29,PA,424644,115,3
2020-03-30,PA,424644,88,7
2020-03-31,PA,424644,192,6
2020-04-01,PA,424644,0,0
2020-04-02,PA,424644,136,2
2020-04-03,PA,424644,158,5
2020-04-04,PA,424644,198,4
2020-04-05,PA,424644,128,5
2020-04-06,PA,424644,187,8
2020-04-07,PA,424644,112,1
2020-04-08,PA,424644,149,4
2020-04-09,PA,424644,279,4
2020-04-10,PA,424644,224,3
2020-04-11,PA,424644,222,8
2020-04-12,PA,424644,260,5
2020-04-13,PA,424644,166,8
2020-04-14,PA,424644,72,7
2020-04-15,PA,424644,102,1
2020-04-16,PA,424644,177,8
2020-04-17,PA,424644,265,6
2020-04-18,PA,424644,194,7
2020-04-19,PA,424644,63,4
2020-04-20,PA,424644,194,6
2020-04-21,PA,424644,191,10
2020-04-22,PA,424644,163,5
2020-04-23,PA,424644,345,5
2020-04-24,PA,424644,172,8
2020-04-25,PA,424644,200,5
2020-04-26,PA,424644,241,6
2020-04-27,PA,424644,242,2
2020-04-28,PA,424644,0,0
2020-04-29,PA,424644,357,11
2020-04-30,PA,424644,154,10
2020-05-01,PA,424644,188,4
2020-05-02,PA,424644,370,5
2020-05-03,PA,424644,0,0
2020-05-04,PA,424644,107,3
2020-05-05,PA,424644,326,10
2020-05-06,PA,424644,208,8
2020-05-07,PA,424644,137,7
2020-05-08,PA,424644,202,6
2020-05-09,PA,424644,212,6
2020-05-10,PA,424644,166,7
2020-05-11,PA,424644,168,5
2020-05-12,PA,424644,167,3
2020-05-13,PA,424644,161,4
2020-05-14,PA,424644,174,4
2020-05-15,PA,424644,150,6
2020-05-16,PA,424644,181,3
2020-05-17,PA,424644,157,6
2020-05-18,PA,424644,120,4
2020-05-19,PA,424644,141,2
2020-05-20,PA,424644,110,6
2020-05-21,PA,424644,139,4
2020-05-22,PA,424644,151,4
2020-05-23,PA,424644,310,4
2020-05-24,PA,424644,349,7
2020-05-25,PA,424644,257,4
2020-05-26,PA,424644,264,3
2020-05-27,PA,424644,281,2
2020-05-28,PA,424644,403,5
2020-05-29,PA,424644,400,6
2020-05-30,PA,424644,487,4
2020-05-31,PA,424644,445,6
2020-06-01,PA,424644,374,8
2020-06-02,PA,424644,258,8
2020-06-03,PA,424644,514,5
2020-06-04,PA,424644,435,6
2020-06-05,PA,424644,419,7
2020-06-06,PA,424644,541,16
2020-06-07,PA,424644,421,7
2020-06-08,PA,424644,429,5
2020-06-09,PA,424644,379,5
2020-06-10,PA,424644,656,10
2020-06-11,PA,424644,697,5
2020-06-12,PA,424644,625,3
2020-06-13,PA,424644,848,8
2020-06-14,PA,424644,1359,8
2020-06-15,PA,424644,4,11
2020-06-16,PA,424644,540,9
2020-06-17,PA,424644,635,13
2020-06-18,PA,424644,754,5
2020-06-19,PA,424644,923,10
2020-06-20,PA,424644,948,8
2020-06-21,PA,424644,808,8
2020-06-22,PA,424644,722,20
2020-06-23,PA,424644,562,15
2020-06-24,PA,424644,716,11
2020-06-25,PA,424644,1007,17
2020-06-26,PA,424644,868,11
2020-06-27,PA,424644,753,17
2020-06-28,PA,424644,1028,12
2020-06-29,PA,424644,1099,16
2020-06-30,PA,424644,765,11
2020-07-01,PA,424644,913,14
2020-07-02,PA,424644,774,22
2020-07-03,PA,424644,758,31
2020-07-04,PA,424644,988,22
2020-07-05,PA,424644,1166,27
2020-07-06,PA,424644,1185,23
2020-07-07,PA,424644,957,29
2020-07-08,PA,424644,960,20
