date,countrycode,population,cases,deaths
2020-01-22,PR,2933404,0,0
2020-01-23,PR,2933404,0,0
2020-01-24,PR,2933404,0,0
2020-01-25,PR,2933404,0,0
2020-01-26,PR,2933404,0,0
2020-01-27,PR,2933404,0,0
2020-01-28,PR,2933404,0,0
2020-01-29,PR,2933404,0,0
2020-01-30,PR,2933404,0,0
2020-01-31,PR,2933404,0,0
2020-02-01,PR,2933404,0,0
2020-02-02,PR,2933404,0,0
2020-02-03,PR,2933404,0,0
2020-02-04,PR,2933404,0,0
2020-02-05,PR,2933404,0,0
2020-02-06,PR,2933404,0,0
2020-02-07,PR,2933404,0,0
2020-02-08,PR,2933404,0,0
2020-02-09,PR,2933404,0,0
2020-02-10,PR,2933404,0,0
2020-02-11,PR,2933404,0,0
2020-02-12,PR,2933404,0,0
2020-02-13,PR,2933404,0,0
2020-02-14,PR,2933404,0,0
2020-02-15,PR,2933404,0,0
2020-02-16,PR,2933404,0,0
2020-02-17,PR,2933404,0,0
2020-02-18,PR,2933404,0,0
2020-02-19,PR,2933404,0,0
2020-02-20,PR,2933404,0,0
2020-02-21,PR,2933404,0,0
2020-02-22,PR,2933404,0,0
2020-02-23,PR,2933404,0,0
2020-02-24,PR,2933404,0,0
2020-02-25,PR,2933404,0,0
2020-02-26,PR,2933404,0,0
2020-02-27,PR,2933404,0,0
2020-02-28,PR,2933404,0,0
2020-02-29,PR,2933404,0,0
2020-03-01,PR,2933404,0,0
2020-03-02,PR,2933404,0,0
2020-03-03,PR,2933404,0,0
2020-03-04,PR,2933404,0,0
2020-03-05,PR,2933404,0,0
2020-03-06,PR,2933404,0,0
2020-03-07,PR,2933404,0,0
2020-03-08,PR,2933404,0,0
2020-03-09,PR,2933404,0,0
2020-03-10,PR,2933404,0,0
2020-03-11,PR,2933404,0,0
2020-03-12,PR,2933404,0,0
2020-03-13,PR,2933404,0,0
2020-03-14,PR,2933404,0,0
2020-03-15,PR,2933404,0,0
2020-03-16,PR,2933404,5,0
2020-03-17,PR,2933404,0,0
2020-03-18,PR,2933404,0,0
2020-03-19,PR,2933404,0,0
2020-03-20,PR,2933404,9,0
2020-03-21,PR,2933404,7,1
2020-03-22,PR,2933404,2,0
2020-03-23,PR,2933404,8,1
2020-03-24,PR,2933404,8,0
2020-03-25,PR,2933404,12,0
2020-03-26,PR,2933404,13,0
2020-03-27,PR,2933404,15,1
2020-03-28,PR,2933404,21,0
2020-03-29,PR,2933404,27,0
2020-03-30,PR,2933404,47,3
2020-03-31,PR,2933404,65,2
2020-04-01,PR,2933404,47,3
2020-04-02,PR,2933404,30,1
2020-04-03,PR,2933404,0,3
2020-04-04,PR,2933404,136,3
2020-04-05,PR,2933404,23,2
2020-04-06,PR,2933404,38,1
2020-04-07,PR,2933404,60,2
2020-04-08,PR,2933404,47,1
2020-04-09,PR,2933404,63,9
2020-04-10,PR,2933404,42,6
2020-04-11,PR,2933404,63,3
2020-04-12,PR,2933404,109,2
2020-04-13,PR,2933404,6,1
2020-04-14,PR,2933404,20,0
2020-04-15,PR,2933404,51,6
2020-04-16,PR,2933404,69,5
2020-04-17,PR,2933404,25,2
