date,countrycode,population,cases,deaths
2020-01-22,PS,4981422,0,0
2020-01-23,PS,4981422,0,0
2020-01-24,PS,4981422,0,0
2020-01-25,PS,4981422,0,0
2020-01-26,PS,4981422,0,0
2020-01-27,PS,4981422,0,0
2020-01-28,PS,4981422,0,0
2020-01-29,PS,4981422,0,0
2020-01-30,PS,4981422,0,0
2020-01-31,PS,4981422,0,0
2020-02-01,PS,4981422,0,0
2020-02-02,PS,4981422,0,0
2020-02-03,PS,4981422,0,0
2020-02-04,PS,4981422,0,0
2020-02-05,PS,4981422,0,0
2020-02-06,PS,4981422,0,0
2020-02-07,PS,4981422,0,0
2020-02-08,PS,4981422,0,0
2020-02-09,PS,4981422,0,0
2020-02-10,PS,4981422,0,0
2020-02-11,PS,4981422,0,0
2020-02-12,PS,4981422,0,0
2020-02-13,PS,4981422,0,0
2020-02-14,PS,4981422,0,0
2020-02-15,PS,4981422,0,0
2020-02-16,PS,4981422,0,0
2020-02-17,PS,4981422,0,0
2020-02-18,PS,4981422,0,0
2020-02-19,PS,4981422,0,0
2020-02-20,PS,4981422,0,0
2020-02-21,PS,4981422,0,0
2020-02-22,PS,4981422,0,0
2020-02-23,PS,4981422,0,0
2020-02-24,PS,4981422,0,0
2020-02-25,PS,4981422,0,0
2020-02-26,PS,4981422,0,0
2020-02-27,PS,4981422,0,0
2020-02-28,PS,4981422,0,0
2020-02-29,PS,4981422,0,0
2020-03-01,PS,4981422,0,0
2020-03-02,PS,4981422,0,0
2020-03-03,PS,4981422,0,0
2020-03-04,PS,4981422,0,0
2020-03-05,PS,4981422,4,0
2020-03-06,PS,4981422,3,0
2020-03-07,PS,4981422,9,0
2020-03-08,PS,4981422,0,0
2020-03-09,PS,4981422,3,0
2020-03-10,PS,4981422,7,0
2020-03-11,PS,4981422,4,0
2020-03-12,PS,4981422,0,0
2020-03-13,PS,4981422,1,0
2020-03-14,PS,4981422,4,0
2020-03-15,PS,4981422,3,0
2020-03-16,PS,4981422,0,0
2020-03-17,PS,4981422,1,0
2020-03-18,PS,4981422,2,0
2020-03-19,PS,4981422,3,0
2020-03-20,PS,4981422,3,0
2020-03-21,PS,4981422,1,0
2020-03-22,PS,4981422,4,0
2020-03-23,PS,4981422,7,0
2020-03-24,PS,4981422,0,0
2020-03-25,PS,4981422,0,0
2020-03-26,PS,4981422,25,1
2020-03-27,PS,4981422,7,0
2020-03-28,PS,4981422,7,0
2020-03-29,PS,4981422,11,0
