date,countrycode,population,cases,deaths
2020-03-08,PY,7044639,0,0
2020-03-09,PY,7044639,0,0
2020-03-10,PY,7044639,0,0
2020-03-11,PY,7044639,4,0
2020-03-12,PY,7044639,0,0
2020-03-13,PY,7044639,1,0
2020-03-14,PY,7044639,0,0
2020-03-15,PY,7044639,0,0
2020-03-16,PY,7044639,2,0
2020-03-17,PY,7044639,1,0
2020-03-18,PY,7044639,2,0
2020-03-19,PY,7044639,0,0
2020-03-20,PY,7044639,2,0
2020-03-21,PY,7044639,5,1
2020-03-22,PY,7044639,4,0
2020-03-23,PY,7044639,0,0
2020-03-24,PY,7044639,5,1
2020-03-25,PY,7044639,10,1
2020-03-26,PY,7044639,4,0
2020-03-27,PY,7044639,11,0
2020-03-28,PY,7044639,4,0
2020-03-29,PY,7044639,3,0
2020-03-30,PY,7044639,5,0
2020-03-31,PY,7044639,1,0
2020-04-01,PY,7044639,4,0
2020-04-02,PY,7044639,8,0
2020-04-03,PY,7044639,15,0
2020-04-04,PY,7044639,4,0
2020-04-05,PY,7044639,8,0
2020-04-06,PY,7044639,9,2
2020-04-07,PY,7044639,2,0
2020-04-08,PY,7044639,4,0
2020-04-09,PY,7044639,5,0
2020-04-10,PY,7044639,5,1
2020-04-11,PY,7044639,4,0
2020-04-12,PY,7044639,1,0
2020-04-13,PY,7044639,13,0
2020-04-14,PY,7044639,12,1
2020-04-15,PY,7044639,2,1
2020-04-16,PY,7044639,13,0
2020-04-17,PY,7044639,25,0
2020-04-18,PY,7044639,3,0
2020-04-19,PY,7044639,4,0
2020-04-20,PY,7044639,2,0
2020-04-21,PY,7044639,0,0
2020-04-22,PY,7044639,5,1
2020-04-23,PY,7044639,0,0
2020-04-24,PY,7044639,10,0
2020-04-25,PY,7044639,5,0
2020-04-26,PY,7044639,0,0
2020-04-27,PY,7044639,0,0
2020-04-28,PY,7044639,11,0
2020-04-29,PY,7044639,0,0
2020-04-30,PY,7044639,27,1
2020-05-01,PY,7044639,67,0
2020-05-02,PY,7044639,37,0
2020-05-03,PY,7044639,26,0
2020-05-04,PY,7044639,19,0
2020-05-05,PY,7044639,16,0
2020-05-06,PY,7044639,9,0
2020-05-07,PY,7044639,22,0
2020-05-08,PY,7044639,101,0
2020-05-09,PY,7044639,126,0
2020-05-10,PY,7044639,24,0
2020-05-11,PY,7044639,11,0
2020-05-12,PY,7044639,13,0
2020-05-13,PY,7044639,3,1
2020-05-14,PY,7044639,14,0
2020-05-15,PY,7044639,5,0
2020-05-16,PY,7044639,19,0
2020-05-17,PY,7044639,8,0
2020-05-18,PY,7044639,2,0
2020-05-19,PY,7044639,41,0
2020-05-20,PY,7044639,4,0
2020-05-21,PY,7044639,3,0
2020-05-22,PY,7044639,2,0
2020-05-23,PY,7044639,12,0
2020-05-24,PY,7044639,12,0
2020-05-25,PY,7044639,3,0
2020-05-26,PY,7044639,12,0
2020-05-27,PY,7044639,7,0
2020-05-28,PY,7044639,16,0
2020-05-29,PY,7044639,17,0
2020-05-30,PY,7044639,47,0
2020-05-31,PY,7044639,22,0
2020-06-01,PY,7044639,9,0
2020-06-02,PY,7044639,18,0
2020-06-03,PY,7044639,57,0
2020-06-04,PY,7044639,16,0
2020-06-05,PY,7044639,1,0
2020-06-06,PY,7044639,3,0
2020-06-07,PY,7044639,45,0
2020-06-08,PY,7044639,10,0
2020-06-09,PY,7044639,42,0
2020-06-10,PY,7044639,15,0
2020-06-11,PY,7044639,28,0
2020-06-12,PY,7044639,24,0
2020-06-13,PY,7044639,7,0
