date,countrycode,population,cases,deaths
2020-03-06,RS,8772228,0,0
2020-03-07,RS,8772228,0,0
2020-03-08,RS,8772228,0,0
2020-03-09,RS,8772228,0,0
2020-03-10,RS,8772228,4,0
2020-03-11,RS,8772228,7,0
2020-03-12,RS,8772228,7,0
2020-03-13,RS,8772228,16,0
2020-03-14,RS,8772228,11,0
2020-03-15,RS,8772228,2,0
2020-03-16,RS,8772228,7,0
2020-03-17,RS,8772228,10,0
2020-03-18,RS,8772228,18,0
2020-03-19,RS,8772228,20,0
2020-03-20,RS,8772228,32,1
2020-03-21,RS,8772228,36,0
2020-03-22,RS,8772228,51,1
2020-03-23,RS,8772228,27,1
2020-03-24,RS,8772228,54,0
2020-03-25,RS,8772228,81,1
2020-03-26,RS,8772228,0,-3
2020-03-27,RS,8772228,73,0
2020-03-28,RS,8772228,202,9
2020-03-29,RS,8772228,82,3
2020-03-30,RS,8772228,44,3
2020-03-31,RS,8772228,115,0
2020-04-01,RS,8772228,160,12
2020-04-02,RS,8772228,111,3
2020-04-03,RS,8772228,305,8
2020-04-04,RS,8772228,148,5
2020-04-05,RS,8772228,284,7
2020-04-06,RS,8772228,292,7
2020-04-07,RS,8772228,247,3
2020-04-08,RS,8772228,219,4
2020-04-09,RS,8772228,201,1
2020-04-10,RS,8772228,238,5
2020-04-11,RS,8772228,275,3
2020-04-12,RS,8772228,250,6
2020-04-13,RS,8772228,424,5
2020-04-14,RS,8772228,411,9
2020-04-15,RS,8772228,408,5
2020-04-16,RS,8772228,445,4
2020-04-17,RS,8772228,372,7
2020-04-18,RS,8772228,304,7
2020-04-19,RS,8772228,324,5
2020-04-20,RS,8772228,312,3
2020-04-21,RS,8772228,0,0
2020-04-22,RS,8772228,0,0
2020-04-23,RS,8772228,0,0
2020-04-24,RS,8772228,0,0
2020-04-25,RS,8772228,0,0
2020-04-26,RS,8772228,0,0
2020-04-27,RS,8772228,0,0
2020-04-28,RS,8772228,0,0
2020-04-29,RS,8772228,0,0
2020-04-30,RS,8772228,2379,54
2020-05-01,RS,8772228,0,0
2020-05-02,RS,8772228,353,10
2020-05-03,RS,8772228,102,4
2020-05-04,RS,8772228,93,4
2020-05-05,RS,8772228,120,3
2020-05-06,RS,8772228,114,3
2020-05-07,RS,8772228,57,3
2020-05-08,RS,8772228,95,3
2020-05-09,RS,8772228,89,6
2020-05-10,RS,8772228,0,0
2020-05-11,RS,8772228,144,3
2020-05-12,RS,8772228,67,2
2020-05-13,RS,8772228,52,2
2020-05-14,RS,8772228,79,2
2020-05-15,RS,8772228,64,1
2020-05-16,RS,8772228,58,3
2020-05-17,RS,8772228,114,2
2020-05-18,RS,8772228,89,1
2020-05-19,RS,8772228,34,3
2020-05-20,RS,8772228,100,1
