date,countrycode,population,cases,deaths
2020-03-14,RW,12955768,0,0
2020-03-15,RW,12955768,0,0
2020-03-16,RW,12955768,4,0
2020-03-17,RW,12955768,2,0
2020-03-18,RW,12955768,1,0
2020-03-19,RW,12955768,0,0
2020-03-20,RW,12955768,9,0
2020-03-21,RW,12955768,0,0
2020-03-22,RW,12955768,2,0
2020-03-23,RW,12955768,17,0
2020-03-24,RW,12955768,4,0
2020-03-25,RW,12955768,1,0
2020-03-26,RW,12955768,9,0
2020-03-27,RW,12955768,4,0
2020-03-28,RW,12955768,6,0
2020-03-29,RW,12955768,10,0
2020-03-30,RW,12955768,0,0
2020-03-31,RW,12955768,5,0
2020-04-01,RW,12955768,7,0
2020-04-02,RW,12955768,2,0
2020-04-03,RW,12955768,5,0
2020-04-04,RW,12955768,13,0
2020-04-05,RW,12955768,2,0
2020-04-06,RW,12955768,1,0
2020-04-07,RW,12955768,0,0
2020-04-08,RW,12955768,5,0
2020-04-09,RW,12955768,0,0
2020-04-10,RW,12955768,8,0
2020-04-11,RW,12955768,2,0
2020-04-12,RW,12955768,6,0
2020-04-13,RW,12955768,1,0
2020-04-14,RW,12955768,7,0
2020-04-15,RW,12955768,2,0
2020-04-16,RW,12955768,2,0
2020-04-17,RW,12955768,5,0
2020-04-18,RW,12955768,1,0
2020-04-19,RW,12955768,3,0
2020-04-20,RW,12955768,0,0
2020-04-21,RW,12955768,3,0
2020-04-22,RW,12955768,3,0
2020-04-23,RW,12955768,1,0
2020-04-24,RW,12955768,22,0
2020-04-25,RW,12955768,7,0
2020-04-26,RW,12955768,8,0
2020-04-27,RW,12955768,16,0
2020-04-28,RW,12955768,5,0
2020-04-29,RW,12955768,13,0
2020-04-30,RW,12955768,18,0
2020-05-01,RW,12955768,6,0
2020-05-02,RW,12955768,6,0
2020-05-03,RW,12955768,4,0
2020-05-04,RW,12955768,2,0
2020-05-05,RW,12955768,0,0
2020-05-06,RW,12955768,7,0
2020-05-07,RW,12955768,3,0
2020-05-08,RW,12955768,2,0
2020-05-09,RW,12955768,7,0
2020-05-10,RW,12955768,4,0
2020-05-11,RW,12955768,1,0
2020-05-12,RW,12955768,1,0
2020-05-13,RW,12955768,1,0
2020-05-14,RW,12955768,0,0
2020-05-15,RW,12955768,0,0
2020-05-16,RW,12955768,2,0
2020-05-17,RW,12955768,3,0
2020-05-18,RW,12955768,5,0
2020-05-19,RW,12955768,11,0
2020-05-20,RW,12955768,6,0
2020-05-21,RW,12955768,6,0
2020-05-22,RW,12955768,1,0
2020-05-23,RW,12955768,4,0
2020-05-24,RW,12955768,2,0
2020-05-25,RW,12955768,9,0
2020-05-26,RW,12955768,3,0
2020-05-27,RW,12955768,7,0
2020-05-28,RW,12955768,3,0
2020-05-29,RW,12955768,6,0
2020-05-30,RW,12955768,4,1
2020-05-31,RW,12955768,11,0
2020-06-01,RW,12955768,7,0
2020-06-02,RW,12955768,7,1
2020-06-03,RW,12955768,13,0
2020-06-04,RW,12955768,13,0
2020-06-05,RW,12955768,10,0
2020-06-06,RW,12955768,11,0
2020-06-07,RW,12955768,8,0
2020-06-08,RW,12955768,12,0
2020-06-09,RW,12955768,12,0
2020-06-10,RW,12955768,13,0
2020-06-11,RW,12955768,18,0
2020-06-12,RW,12955768,16,0
2020-06-13,RW,12955768,31,0
2020-06-14,RW,12955768,41,0
2020-06-15,RW,12955768,30,0
2020-06-16,RW,12955768,24,0
2020-06-17,RW,12955768,3,0
2020-06-18,RW,12955768,7,0
2020-06-19,RW,12955768,15,0
2020-06-20,RW,12955768,41,0
2020-06-21,RW,12955768,26,0
2020-06-22,RW,12955768,59,0
2020-06-23,RW,12955768,11,0
2020-06-24,RW,12955768,32,0
2020-06-25,RW,12955768,20,0
2020-06-26,RW,12955768,8,0
2020-06-27,RW,12955768,20,0
2020-06-28,RW,12955768,22,0
2020-06-29,RW,12955768,101,0
2020-06-30,RW,12955768,24,0
2020-07-01,RW,12955768,17,1
2020-07-02,RW,12955768,21,0
2020-07-03,RW,12955768,18,0
2020-07-04,RW,12955768,11,0
2020-07-05,RW,12955768,13,0
2020-07-06,RW,12955768,8,0
2020-07-07,RW,12955768,59,0
2020-07-08,RW,12955768,22,0
2020-07-09,RW,12955768,16,0
2020-07-10,RW,12955768,42,0
2020-07-11,RW,12955768,47,1
2020-07-12,RW,12955768,38,0
2020-07-13,RW,12955768,41,0
2020-07-14,RW,12955768,38,0
2020-07-15,RW,12955768,19,0
2020-07-16,RW,12955768,38,0
2020-07-17,RW,12955768,12,0
2020-07-18,RW,12955768,54,1
2020-07-19,RW,12955768,43,0
2020-07-20,RW,12955768,47,0
2020-07-21,RW,12955768,26,0
2020-07-22,RW,12955768,34,0
2020-07-23,RW,12955768,21,0
2020-07-24,RW,12955768,19,0
