date,countrycode,population,cases,deaths
2020-01-31,SE,10230185,0,0
2020-02-01,SE,10230185,0,0
2020-02-02,SE,10230185,0,0
2020-02-03,SE,10230185,0,0
2020-02-04,SE,10230185,0,0
2020-02-05,SE,10230185,0,0
2020-02-06,SE,10230185,0,0
2020-02-07,SE,10230185,0,0
2020-02-08,SE,10230185,0,0
2020-02-09,SE,10230185,0,0
2020-02-10,SE,10230185,0,0
2020-02-11,SE,10230185,0,0
2020-02-12,SE,10230185,0,0
2020-02-13,SE,10230185,0,0
2020-02-14,SE,10230185,0,0
2020-02-15,SE,10230185,0,0
2020-02-16,SE,10230185,0,0
2020-02-17,SE,10230185,0,0
2020-02-18,SE,10230185,0,0
2020-02-19,SE,10230185,0,0
2020-02-20,SE,10230185,0,0
2020-02-21,SE,10230185,0,0
2020-02-22,SE,10230185,0,0
2020-02-23,SE,10230185,0,0
2020-02-24,SE,10230185,0,0
2020-02-25,SE,10230185,0,0
2020-02-26,SE,10230185,1,0
2020-02-27,SE,10230185,5,0
2020-02-28,SE,10230185,0,0
2020-02-29,SE,10230185,5,0
2020-03-01,SE,10230185,2,0
2020-03-02,SE,10230185,1,0
2020-03-03,SE,10230185,6,0
2020-03-04,SE,10230185,14,0
2020-03-05,SE,10230185,59,0
2020-03-06,SE,10230185,7,0
2020-03-07,SE,10230185,60,0
2020-03-08,SE,10230185,42,0
2020-03-09,SE,10230185,45,0
2020-03-10,SE,10230185,107,0
2020-03-11,SE,10230185,145,1
2020-03-12,SE,10230185,99,0
2020-03-13,SE,10230185,215,0
2020-03-14,SE,10230185,147,1
2020-03-15,SE,10230185,61,1
2020-03-16,SE,10230185,81,3
2020-03-17,SE,10230185,87,1
2020-03-18,SE,10230185,89,3
2020-03-19,SE,10230185,160,1
2020-03-20,SE,10230185,200,5
2020-03-21,SE,10230185,124,4
2020-03-22,SE,10230185,168,1
2020-03-23,SE,10230185,115,4
2020-03-24,SE,10230185,240,11
2020-03-25,SE,10230185,240,26
2020-03-26,SE,10230185,314,15
2020-03-27,SE,10230185,229,28
2020-03-28,SE,10230185,378,0
2020-03-29,SE,10230185,253,5
2020-03-30,SE,10230185,328,36
2020-03-31,SE,10230185,407,34
2020-04-01,SE,10230185,512,59
2020-04-02,SE,10230185,621,69
2020-04-03,SE,10230185,563,50
2020-04-04,SE,10230185,312,15
2020-04-05,SE,10230185,387,28
2020-04-06,SE,10230185,376,76
2020-04-07,SE,10230185,487,114
2020-04-08,SE,10230185,726,96
2020-04-09,SE,10230185,722,106
2020-04-10,SE,10230185,544,77
2020-04-11,SE,10230185,466,17
2020-04-12,SE,10230185,332,12
2020-04-13,SE,10230185,465,20
2020-04-14,SE,10230185,497,114
2020-04-15,SE,10230185,482,170
2020-04-16,SE,10230185,613,130
2020-04-17,SE,10230185,676,67
2020-04-18,SE,10230185,606,111
2020-04-19,SE,10230185,563,29
2020-04-20,SE,10230185,392,40
2020-04-21,SE,10230185,545,185
2020-04-22,SE,10230185,682,172
2020-04-23,SE,10230185,751,84
2020-04-24,SE,10230185,812,131
2020-04-25,SE,10230185,610,40
2020-04-26,SE,10230185,463,2
2020-04-27,SE,10230185,286,80
2020-04-28,SE,10230185,695,81
2020-04-29,SE,10230185,681,107
2020-04-30,SE,10230185,790,124
2020-05-01,SE,10230185,428,67
2020-05-02,SE,10230185,562,16
2020-05-03,SE,10230185,235,10
2020-05-04,SE,10230185,404,90
2020-05-05,SE,10230185,495,85
2020-05-06,SE,10230185,702,87
2020-05-07,SE,10230185,705,99
2020-05-08,SE,10230185,642,135
2020-05-09,SE,10230185,656,45
2020-05-10,SE,10230185,401,5
2020-05-11,SE,10230185,348,31
2020-05-12,SE,10230185,602,57
2020-05-13,SE,10230185,637,147
2020-05-14,SE,10230185,673,69
2020-05-15,SE,10230185,625,117
2020-05-16,SE,10230185,470,28
2020-05-17,SE,10230185,466,5
2020-05-18,SE,10230185,234,19
2020-05-19,SE,10230185,422,45
2020-05-20,SE,10230185,724,88
2020-05-21,SE,10230185,649,40
2020-05-22,SE,10230185,637,54
2020-05-23,SE,10230185,379,67
2020-05-24,SE,10230185,271,6
2020-05-25,SE,10230185,384,31
2020-05-26,SE,10230185,597,96
2020-05-27,SE,10230185,648,95
2020-05-28,SE,10230185,639,46
2020-05-29,SE,10230185,749,84
2020-05-30,SE,10230185,637,45
2020-05-31,SE,10230185,429,0
2020-06-01,SE,10230185,272,8
2020-06-02,SE,10230185,775,65
2020-06-03,SE,10230185,2214,74
2020-06-04,SE,10230185,1080,20
2020-06-05,SE,10230185,1056,77
2020-06-06,SE,10230185,948,17
2020-06-07,SE,10230185,843,3
2020-06-08,SE,10230185,403,35
2020-06-09,SE,10230185,791,23
2020-06-10,SE,10230185,890,78
2020-06-11,SE,10230185,1474,19
2020-06-12,SE,10230185,1396,40
2020-06-13,SE,10230185,1247,20
2020-06-14,SE,10230185,683,0
2020-06-15,SE,10230185,769,17
2020-06-16,SE,10230185,940,48
2020-06-17,SE,10230185,1239,102
2020-06-18,SE,10230185,1481,12
2020-06-19,SE,10230185,0,0
2020-06-20,SE,10230185,0,0
2020-06-21,SE,10230185,0,0
2020-06-22,SE,10230185,2889,69
2020-06-23,SE,10230185,1905,39
2020-06-24,SE,10230185,1487,48
2020-06-25,SE,10230185,1566,21
2020-06-26,SE,10230185,1247,50
2020-06-27,SE,10230185,0,0
2020-06-28,SE,10230185,0,0
2020-06-29,SE,10230185,2530,30
2020-06-30,SE,10230185,784,23
2020-07-01,SE,10230185,1241,37
2020-07-02,SE,10230185,947,41
2020-07-03,SE,10230185,780,9
2020-07-04,SE,10230185,0,0
2020-07-05,SE,10230185,0,0
2020-07-06,SE,10230185,1642,13
2020-07-07,SE,10230185,283,14
2020-07-08,SE,10230185,514,35
2020-07-09,SE,10230185,475,18
2020-07-10,SE,10230185,565,26
2020-07-11,SE,10230185,0,0
2020-07-12,SE,10230185,0,0
2020-07-13,SE,10230185,928,10
2020-07-14,SE,10230185,175,9
2020-07-15,SE,10230185,491,27
2020-07-16,SE,10230185,385,21
2020-07-17,SE,10230185,404,26
2020-07-18,SE,10230185,0,0
2020-07-19,SE,10230185,0,0
2020-07-20,SE,10230185,767,20
2020-07-21,SE,10230185,118,7
2020-07-22,SE,10230185,338,21
2020-07-23,SE,10230185,259,9
2020-07-24,SE,10230185,234,21
2020-07-25,SE,10230185,0,0
2020-07-26,SE,10230185,0,0
2020-07-27,SE,10230185,398,3
2020-07-28,SE,10230185,99,2
2020-07-29,SE,10230185,288,28
2020-07-30,SE,10230185,318,9
2020-07-31,SE,10230185,322,4
2020-08-01,SE,10230185,0,0
2020-08-02,SE,10230185,0,0
2020-08-03,SE,10230185,590,1
2020-08-04,SE,10230185,169,3
2020-08-05,SE,10230185,359,13
2020-08-06,SE,10230185,427,6
2020-08-07,SE,10230185,356,-3
