date,countrycode,population,cases,deaths
2020-01-23,SG,5804343,0,0
2020-01-24,SG,5804343,2,0
2020-01-25,SG,5804343,0,0
2020-01-26,SG,5804343,1,0
2020-01-27,SG,5804343,1,0
2020-01-28,SG,5804343,2,0
2020-01-29,SG,5804343,0,0
2020-01-30,SG,5804343,3,0
2020-01-31,SG,5804343,3,0
2020-02-01,SG,5804343,3,0
2020-02-02,SG,5804343,2,0
2020-02-03,SG,5804343,0,0
2020-02-04,SG,5804343,6,0
2020-02-05,SG,5804343,4,0
2020-02-06,SG,5804343,0,0
2020-02-07,SG,5804343,2,0
2020-02-08,SG,5804343,3,0
2020-02-09,SG,5804343,7,0
2020-02-10,SG,5804343,5,0
2020-02-11,SG,5804343,2,0
2020-02-12,SG,5804343,3,0
2020-02-13,SG,5804343,8,0
2020-02-14,SG,5804343,9,0
2020-02-15,SG,5804343,5,0
2020-02-16,SG,5804343,3,0
2020-02-17,SG,5804343,2,0
2020-02-18,SG,5804343,4,0
2020-02-19,SG,5804343,3,0
2020-02-20,SG,5804343,0,0
2020-02-21,SG,5804343,1,0
2020-02-22,SG,5804343,0,0
2020-02-23,SG,5804343,4,0
2020-02-24,SG,5804343,0,0
2020-02-25,SG,5804343,2,0
2020-02-26,SG,5804343,2,0
2020-02-27,SG,5804343,0,0
2020-02-28,SG,5804343,0,0
2020-02-29,SG,5804343,9,0
2020-03-01,SG,5804343,4,0
2020-03-02,SG,5804343,2,0
2020-03-03,SG,5804343,2,0
2020-03-04,SG,5804343,0,0
2020-03-05,SG,5804343,7,0
2020-03-06,SG,5804343,13,0
2020-03-07,SG,5804343,8,0
2020-03-08,SG,5804343,12,0
2020-03-09,SG,5804343,0,0
2020-03-10,SG,5804343,10,0
2020-03-11,SG,5804343,18,0
2020-03-12,SG,5804343,0,0
2020-03-13,SG,5804343,22,0
2020-03-14,SG,5804343,12,0
2020-03-15,SG,5804343,14,0
2020-03-16,SG,5804343,17,0
2020-03-17,SG,5804343,23,0
2020-03-18,SG,5804343,47,0
2020-03-19,SG,5804343,32,0
2020-03-20,SG,5804343,40,0
2020-03-21,SG,5804343,47,2
2020-03-22,SG,5804343,23,0
2020-03-23,SG,5804343,54,0
2020-03-24,SG,5804343,49,0
2020-03-25,SG,5804343,73,0
2020-03-26,SG,5804343,52,0
2020-03-27,SG,5804343,49,0
2020-03-28,SG,5804343,70,0
2020-03-29,SG,5804343,42,1
2020-03-30,SG,5804343,35,0
2020-03-31,SG,5804343,47,0
2020-04-01,SG,5804343,74,0
2020-04-02,SG,5804343,49,1
2020-04-03,SG,5804343,65,1
2020-04-04,SG,5804343,75,1
2020-04-05,SG,5804343,120,0
2020-04-06,SG,5804343,66,0
2020-04-07,SG,5804343,106,0
2020-04-08,SG,5804343,142,0
2020-04-09,SG,5804343,287,0
2020-04-10,SG,5804343,198,1
2020-04-11,SG,5804343,191,1
2020-04-12,SG,5804343,233,0
2020-04-13,SG,5804343,386,1
2020-04-14,SG,5804343,334,1
2020-04-15,SG,5804343,447,0
2020-04-16,SG,5804343,728,0
2020-04-17,SG,5804343,623,1
2020-04-18,SG,5804343,942,0
2020-04-19,SG,5804343,596,0
2020-04-20,SG,5804343,1426,0
2020-04-21,SG,5804343,1111,0
2020-04-22,SG,5804343,1016,1
2020-04-23,SG,5804343,1037,0
2020-04-24,SG,5804343,897,0
2020-04-25,SG,5804343,618,0
2020-04-26,SG,5804343,931,0
2020-04-27,SG,5804343,799,2
2020-04-28,SG,5804343,528,0
2020-04-29,SG,5804343,690,0
2020-04-30,SG,5804343,528,1
2020-05-01,SG,5804343,932,1
2020-05-02,SG,5804343,447,1
2020-05-03,SG,5804343,657,1
2020-05-04,SG,5804343,573,0
2020-05-05,SG,5804343,632,0
2020-05-06,SG,5804343,788,2
2020-05-07,SG,5804343,741,0
2020-05-08,SG,5804343,768,0
2020-05-09,SG,5804343,753,0
2020-05-10,SG,5804343,876,0
2020-05-11,SG,5804343,486,1
2020-05-12,SG,5804343,849,0
2020-05-13,SG,5804343,675,0
2020-05-14,SG,5804343,752,0
2020-05-15,SG,5804343,793,0
2020-05-16,SG,5804343,465,1
2020-05-17,SG,5804343,682,0
2020-05-18,SG,5804343,305,0
2020-05-19,SG,5804343,451,0
2020-05-20,SG,5804343,570,0
2020-05-21,SG,5804343,448,1
2020-05-22,SG,5804343,614,0
2020-05-23,SG,5804343,642,0
2020-05-24,SG,5804343,548,0
2020-05-25,SG,5804343,344,0
2020-05-26,SG,5804343,383,0
2020-05-27,SG,5804343,533,0
2020-05-28,SG,5804343,373,0
2020-05-29,SG,5804343,611,0
2020-05-30,SG,5804343,506,0
2020-05-31,SG,5804343,518,0
2020-06-01,SG,5804343,408,1
2020-06-02,SG,5804343,544,0
2020-06-03,SG,5804343,569,0
