date,countrycode,population,cases,deaths
2020-03-05,SI,2080908,0,0
2020-03-06,SI,2080908,5,0
2020-03-07,SI,2080908,0,0
2020-03-08,SI,2080908,9,0
2020-03-09,SI,2080908,0,0
2020-03-10,SI,2080908,15,0
2020-03-11,SI,2080908,26,0
2020-03-12,SI,2080908,32,0
2020-03-13,SI,2080908,52,0
2020-03-14,SI,2080908,40,1
2020-03-15,SI,2080908,38,0
2020-03-16,SI,2080908,34,0
2020-03-17,SI,2080908,22,0
2020-03-18,SI,2080908,0,0
2020-03-19,SI,2080908,11,0
2020-03-20,SI,2080908,55,0
2020-03-21,SI,2080908,42,0
2020-03-22,SI,2080908,31,1
2020-03-23,SI,2080908,28,1
2020-03-24,SI,2080908,38,1
2020-03-25,SI,2080908,48,1
2020-03-26,SI,2080908,34,1
2020-03-27,SI,2080908,70,3
2020-03-28,SI,2080908,52,0
2020-03-29,SI,2080908,46,2
2020-03-30,SI,2080908,26,0
2020-03-31,SI,2080908,46,4
2020-04-01,SI,2080908,39,0
2020-04-02,SI,2080908,56,2
2020-04-03,SI,2080908,37,3
2020-04-04,SI,2080908,43,2
2020-04-05,SI,2080908,20,6
2020-04-06,SI,2080908,24,2
2020-04-07,SI,2080908,38,6
2020-04-08,SI,2080908,32,4
2020-04-09,SI,2080908,33,3
2020-04-10,SI,2080908,36,2
2020-04-11,SI,2080908,28,5
2020-04-12,SI,2080908,17,3
2020-04-13,SI,2080908,7,2
2020-04-14,SI,2080908,8,1
2020-04-15,SI,2080908,28,5
2020-04-16,SI,2080908,20,0
2020-04-17,SI,2080908,36,5
2020-04-18,SI,2080908,13,4
2020-04-19,SI,2080908,13,4
2020-04-20,SI,2080908,5,3
2020-04-21,SI,2080908,9,0
2020-04-22,SI,2080908,9,2
2020-04-23,SI,2080908,13,0
2020-04-24,SI,2080908,7,1
2020-04-25,SI,2080908,15,1
2020-04-26,SI,2080908,8,1
2020-04-27,SI,2080908,6,1
2020-04-28,SI,2080908,6,3
2020-04-29,SI,2080908,10,3
2020-04-30,SI,2080908,11,2
2020-05-01,SI,2080908,5,1
2020-05-02,SI,2080908,5,2
2020-05-03,SI,2080908,0,2
2020-05-04,SI,2080908,0,1
2020-05-05,SI,2080908,6,1
2020-05-06,SI,2080908,3,1
2020-05-07,SI,2080908,1,0
2020-05-08,SI,2080908,1,1
2020-05-09,SI,2080908,4,1
2020-05-10,SI,2080908,3,1
2020-05-11,SI,2080908,3,0
2020-05-12,SI,2080908,1,0
2020-05-13,SI,2080908,2,1
2020-05-14,SI,2080908,1,0
2020-05-15,SI,2080908,1,0
2020-05-16,SI,2080908,0,0
2020-05-17,SI,2080908,1,1
2020-05-18,SI,2080908,0,0
2020-05-19,SI,2080908,1,0
2020-05-20,SI,2080908,1,1
2020-05-21,SI,2080908,0,1
2020-05-22,SI,2080908,0,0
2020-05-23,SI,2080908,0,0
2020-05-24,SI,2080908,0,1
2020-05-25,SI,2080908,1,0
2020-05-26,SI,2080908,0,1
2020-05-27,SI,2080908,2,0
2020-05-28,SI,2080908,2,0
2020-05-29,SI,2080908,0,0
2020-05-30,SI,2080908,0,0
2020-05-31,SI,2080908,0,0
2020-06-01,SI,2080908,0,1
2020-06-02,SI,2080908,2,0
2020-06-03,SI,2080908,2,0
2020-06-04,SI,2080908,0,0
2020-06-05,SI,2080908,2,0
2020-06-06,SI,2080908,5,0
