date,countrycode,population,cases,deaths
2020-03-06,SK,5450421,0,0
2020-03-07,SK,5450421,0,0
2020-03-08,SK,5450421,2,0
2020-03-09,SK,5450421,0,0
2020-03-10,SK,5450421,4,0
2020-03-11,SK,5450421,3,0
2020-03-12,SK,5450421,6,0
2020-03-13,SK,5450421,16,0
2020-03-14,SK,5450421,12,0
2020-03-15,SK,5450421,10,0
2020-03-16,SK,5450421,9,0
2020-03-17,SK,5450421,9,0
2020-03-18,SK,5450421,33,1
2020-03-19,SK,5450421,18,0
2020-03-20,SK,5450421,14,0
2020-03-21,SK,5450421,41,0
2020-03-22,SK,5450421,7,-1
2020-03-23,SK,5450421,1,0
2020-03-24,SK,5450421,18,0
2020-03-25,SK,5450421,12,0
2020-03-26,SK,5450421,10,0
2020-03-27,SK,5450421,43,0
2020-03-28,SK,5450421,23,0
2020-03-29,SK,5450421,22,0
2020-03-30,SK,5450421,22,0
2020-03-31,SK,5450421,27,0
2020-04-01,SK,5450421,37,1
2020-04-02,SK,5450421,26,0
2020-04-03,SK,5450421,24,0
2020-04-04,SK,5450421,21,0
2020-04-05,SK,5450421,14,0
2020-04-06,SK,5450421,49,1
2020-04-07,SK,5450421,47,0
2020-04-08,SK,5450421,101,0
2020-04-09,SK,5450421,19,0
2020-04-10,SK,5450421,14,0
2020-04-11,SK,5450421,13,0
2020-04-12,SK,5450421,14,0
2020-04-13,SK,5450421,27,0
2020-04-14,SK,5450421,66,0
2020-04-15,SK,5450421,28,4
2020-04-16,SK,5450421,114,2
2020-04-17,SK,5450421,72,1
2020-04-18,SK,5450421,40,2
2020-04-19,SK,5450421,72,1
2020-04-20,SK,5450421,12,1
2020-04-21,SK,5450421,26,1
2020-04-22,SK,5450421,45,0
2020-04-23,SK,5450421,81,1
2020-04-24,SK,5450421,35,2
2020-04-25,SK,5450421,13,0
2020-04-26,SK,5450421,6,1
2020-04-27,SK,5450421,2,0
2020-04-28,SK,5450421,3,2
2020-04-29,SK,5450421,7,2
2020-04-30,SK,5450421,5,1
2020-05-01,SK,5450421,7,0
2020-05-02,SK,5450421,4,1
2020-05-03,SK,5450421,1,0
2020-05-04,SK,5450421,5,1
2020-05-05,SK,5450421,8,0
2020-05-06,SK,5450421,8,0
2020-05-07,SK,5450421,16,1
2020-05-08,SK,5450421,10,0
2020-05-09,SK,5450421,0,0
2020-05-10,SK,5450421,2,0
2020-05-11,SK,5450421,0,0
2020-05-12,SK,5450421,8,1
2020-05-13,SK,5450421,4,0
2020-05-14,SK,5450421,8,0
2020-05-15,SK,5450421,3,0
2020-05-16,SK,5450421,13,1
2020-05-17,SK,5450421,1,0
2020-05-18,SK,5450421,1,0
2020-05-19,SK,5450421,0,0
2020-05-20,SK,5450421,1,0
2020-05-21,SK,5450421,6,0
2020-05-22,SK,5450421,1,0
2020-05-23,SK,5450421,1,0
2020-05-24,SK,5450421,5,0
2020-05-25,SK,5450421,2,0
2020-05-26,SK,5450421,2,0
2020-05-27,SK,5450421,2,0
2020-05-28,SK,5450421,5,0
2020-05-29,SK,5450421,0,0
2020-05-30,SK,5450421,1,0
2020-05-31,SK,5450421,0,0
2020-06-01,SK,5450421,1,0
2020-06-02,SK,5450421,0,0
2020-06-03,SK,5450421,3,0
2020-06-04,SK,5450421,1,0
2020-06-05,SK,5450421,0,0
2020-06-06,SK,5450421,2,0
2020-06-07,SK,5450421,0,0
2020-06-08,SK,5450421,2,0
2020-06-09,SK,5450421,1,0
2020-06-10,SK,5450421,2,0
2020-06-11,SK,5450421,8,0
2020-06-12,SK,5450421,1,0
2020-06-13,SK,5450421,3,0
2020-06-14,SK,5450421,3,0
2020-06-15,SK,5450421,4,0
2020-06-16,SK,5450421,0,0
2020-06-17,SK,5450421,9,0
2020-06-18,SK,5450421,1,0
2020-06-19,SK,5450421,14,0
2020-06-20,SK,5450421,10,0
2020-06-21,SK,5450421,1,0
2020-06-22,SK,5450421,1,0
2020-06-23,SK,5450421,1,0
2020-06-24,SK,5450421,18,0
2020-06-25,SK,5450421,23,0
2020-06-26,SK,5450421,13,0
2020-06-27,SK,5450421,14,0
2020-06-28,SK,5450421,7,0
2020-06-29,SK,5450421,1,0
2020-06-30,SK,5450421,2,0
2020-07-01,SK,5450421,20,0
2020-07-02,SK,5450421,13,0
2020-07-03,SK,5450421,20,0
2020-07-04,SK,5450421,29,0
2020-07-05,SK,5450421,15,0
2020-07-06,SK,5450421,1,0
2020-07-07,SK,5450421,2,0
2020-07-08,SK,5450421,31,0
2020-07-09,SK,5450421,53,0
2020-07-10,SK,5450421,19,0
2020-07-11,SK,5450421,23,0
2020-07-12,SK,5450421,8,0
2020-07-13,SK,5450421,1,0
2020-07-14,SK,5450421,6,0
2020-07-15,SK,5450421,19,0
2020-07-16,SK,5450421,24,0
2020-07-17,SK,5450421,14,0
2020-07-18,SK,5450421,11,0
2020-07-19,SK,5450421,3,0
2020-07-20,SK,5450421,1,0
2020-07-21,SK,5450421,41,0
2020-07-22,SK,5450421,37,0
2020-07-23,SK,5450421,31,0
2020-07-24,SK,5450421,29,0
2020-07-25,SK,5450421,23,0
2020-07-26,SK,5450421,38,0
2020-07-27,SK,5450421,2,0
2020-07-28,SK,5450421,23,0
2020-07-29,SK,5450421,41,0
