date,countrycode,population,cases,deaths
2020-02-27,SM,33600,0,0
2020-02-28,SM,33600,0,0
2020-02-29,SM,33600,0,0
2020-03-01,SM,33600,0,0
2020-03-02,SM,33600,7,0
2020-03-03,SM,33600,2,1
2020-03-04,SM,33600,6,0
2020-03-05,SM,33600,5,0
2020-03-06,SM,33600,0,0
2020-03-07,SM,33600,2,0
2020-03-08,SM,33600,13,0
2020-03-09,SM,33600,0,0
2020-03-10,SM,33600,15,1
2020-03-11,SM,33600,11,0
2020-03-12,SM,33600,7,1
2020-03-13,SM,33600,11,2
2020-03-14,SM,33600,0,0
2020-03-15,SM,33600,21,0
2020-03-16,SM,33600,8,2
2020-03-17,SM,33600,0,0
2020-03-18,SM,33600,10,4
2020-03-19,SM,33600,0,0
2020-03-20,SM,33600,25,3
2020-03-21,SM,33600,0,6
2020-03-22,SM,33600,31,0
2020-03-23,SM,33600,12,0
2020-03-24,SM,33600,0,1
2020-03-25,SM,33600,21,0
2020-03-26,SM,33600,0,0
2020-03-27,SM,33600,15,0
2020-03-28,SM,33600,1,1
2020-03-29,SM,33600,0,0
2020-03-30,SM,33600,6,3
2020-03-31,SM,33600,6,1
2020-04-01,SM,33600,0,0
2020-04-02,SM,33600,9,4
2020-04-03,SM,33600,0,0
2020-04-04,SM,33600,14,2
2020-04-05,SM,33600,7,0
2020-04-06,SM,33600,0,0
2020-04-07,SM,33600,13,2
2020-04-08,SM,33600,0,0
2020-04-09,SM,33600,54,0
2020-04-10,SM,33600,11,0
2020-04-11,SM,33600,12,1
2020-04-12,SM,33600,0,0
2020-04-13,SM,33600,0,0
2020-04-14,SM,33600,15,1
2020-04-15,SM,33600,1,0
2020-04-16,SM,33600,54,2
2020-04-17,SM,33600,9,1
2020-04-18,SM,33600,20,0
2020-04-19,SM,33600,6,0
2020-04-20,SM,33600,1,0
2020-04-21,SM,33600,14,1
2020-04-22,SM,33600,12,0
2020-04-23,SM,33600,13,0
2020-04-24,SM,33600,12,0
2020-04-25,SM,33600,0,0
2020-04-26,SM,33600,25,1
2020-04-27,SM,33600,0,0
2020-04-28,SM,33600,15,0
2020-04-29,SM,33600,10,0
2020-04-30,SM,33600,6,0
2020-05-01,SM,33600,11,0
2020-05-02,SM,33600,0,0
2020-05-03,SM,33600,2,0
2020-05-04,SM,33600,0,0
2020-05-05,SM,33600,7,0
2020-05-06,SM,33600,19,0
2020-05-07,SM,33600,14,0
2020-05-08,SM,33600,1,0
2020-05-09,SM,33600,14,0
2020-05-10,SM,33600,-9,0
2020-05-11,SM,33600,0,0
2020-05-12,SM,33600,10,0
2020-05-13,SM,33600,5,0
2020-05-14,SM,33600,5,0
2020-05-15,SM,33600,4,0
2020-05-16,SM,33600,1,0
2020-05-17,SM,33600,1,0
2020-05-18,SM,33600,0,0
2020-05-19,SM,33600,1,0
2020-05-20,SM,33600,1,0
2020-05-21,SM,33600,2,0
2020-05-22,SM,33600,3,0
2020-05-23,SM,33600,4,1
2020-05-24,SM,33600,0,0
2020-05-25,SM,33600,1,0
2020-05-26,SM,33600,0,0
2020-05-27,SM,33600,1,0
2020-05-28,SM,33600,3,0
2020-05-29,SM,33600,1,0
2020-05-30,SM,33600,0,0
2020-05-31,SM,33600,0,0
2020-06-01,SM,33600,0,0
2020-06-02,SM,33600,1,0
2020-06-03,SM,33600,2,0
2020-06-04,SM,33600,4,0
2020-06-05,SM,33600,2,0
2020-06-06,SM,33600,0,0
2020-06-07,SM,33600,0,0
2020-06-08,SM,33600,7,0
2020-06-09,SM,33600,1,0
2020-06-10,SM,33600,3,0
2020-06-11,SM,33600,0,0
2020-06-12,SM,33600,3,0
2020-06-13,SM,33600,0,0
2020-06-14,SM,33600,0,0
2020-06-15,SM,33600,0,0
2020-06-16,SM,33600,0,0
2020-06-17,SM,33600,2,0
2020-06-18,SM,33600,0,0
2020-06-19,SM,33600,0,0
2020-06-20,SM,33600,0,0
2020-06-21,SM,33600,0,0
2020-06-22,SM,33600,1,0
2020-06-23,SM,33600,1,0
2020-06-24,SM,33600,0,0
2020-06-25,SM,33600,0,0
2020-06-26,SM,33600,0,0
