date,countrycode,population,cases,deaths
2020-03-16,SO,16360000,0,0
2020-03-17,SO,16360000,0,0
2020-03-18,SO,16360000,0,0
2020-03-19,SO,16360000,0,0
2020-03-20,SO,16360000,0,0
2020-03-21,SO,16360000,0,0
2020-03-22,SO,16360000,0,0
2020-03-23,SO,16360000,0,0
2020-03-24,SO,16360000,0,0
2020-03-25,SO,16360000,0,0
2020-03-26,SO,16360000,1,0
2020-03-27,SO,16360000,1,0
2020-03-28,SO,16360000,0,0
2020-03-29,SO,16360000,0,0
2020-03-30,SO,16360000,0,0
2020-03-31,SO,16360000,2,0
2020-04-01,SO,16360000,0,0
2020-04-02,SO,16360000,0,0
2020-04-03,SO,16360000,2,0
2020-04-04,SO,16360000,0,0
2020-04-05,SO,16360000,0,0
2020-04-06,SO,16360000,0,0
2020-04-07,SO,16360000,1,0
2020-04-08,SO,16360000,4,1
2020-04-09,SO,16360000,0,0
2020-04-10,SO,16360000,9,0
2020-04-11,SO,16360000,0,0
2020-04-12,SO,16360000,4,0
2020-04-13,SO,16360000,35,1
2020-04-14,SO,16360000,0,0
2020-04-15,SO,16360000,20,3
2020-04-16,SO,16360000,0,0
2020-04-17,SO,16360000,36,1
2020-04-18,SO,16360000,19,1
2020-04-19,SO,16360000,29,0
2020-04-20,SO,16360000,73,1
2020-04-21,SO,16360000,49,0
2020-04-22,SO,16360000,0,0
2020-04-23,SO,16360000,42,8
2020-04-24,SO,16360000,0,0
2020-04-25,SO,16360000,62,2
2020-04-26,SO,16360000,46,5
2020-04-27,SO,16360000,44,3
2020-04-28,SO,16360000,48,2
2020-04-29,SO,16360000,54,0
2020-04-30,SO,16360000,19,0
2020-05-01,SO,16360000,0,0
2020-05-02,SO,16360000,70,3
2020-05-03,SO,16360000,51,1
2020-05-04,SO,16360000,34,3
2020-05-05,SO,16360000,79,3
2020-05-06,SO,16360000,38,1
2020-05-07,SO,16360000,55,5
2020-05-08,SO,16360000,0,0
2020-05-09,SO,16360000,69,4
2020-05-10,SO,16360000,57,3
2020-05-11,SO,16360000,35,1
2020-05-12,SO,16360000,81,0
2020-05-13,SO,16360000,49,0
2020-05-14,SO,16360000,65,1
2020-05-15,SO,16360000,0,0
2020-05-16,SO,16360000,73,2
2020-05-17,SO,16360000,64,1
2020-05-18,SO,16360000,34,1
2020-05-19,SO,16360000,47,2
2020-05-20,SO,16360000,71,2
2020-05-21,SO,16360000,21,0
2020-05-22,SO,16360000,0,0
