date,countrycode,population,cases,deaths
2020-03-14,SR,592000,0,0
2020-03-15,SR,592000,0,0
2020-03-16,SR,592000,0,0
2020-03-17,SR,592000,0,0
2020-03-18,SR,592000,0,0
2020-03-19,SR,592000,0,0
2020-03-20,SR,592000,3,0
2020-03-21,SR,592000,0,0
2020-03-22,SR,592000,1,0
2020-03-23,SR,592000,0,0
2020-03-24,SR,592000,2,0
2020-03-25,SR,592000,1,0
2020-03-26,SR,592000,0,0
2020-03-27,SR,592000,0,0
2020-03-28,SR,592000,0,0
2020-03-29,SR,592000,0,0
2020-03-30,SR,592000,0,0
2020-03-31,SR,592000,1,0
2020-04-01,SR,592000,1,0
2020-04-02,SR,592000,0,0
2020-04-03,SR,592000,0,1
2020-04-04,SR,592000,0,0
2020-04-05,SR,592000,0,0
2020-04-06,SR,592000,0,0
2020-04-07,SR,592000,0,0
2020-04-08,SR,592000,0,0
2020-04-09,SR,592000,0,0
2020-04-10,SR,592000,0,0
2020-04-11,SR,592000,0,0
2020-04-12,SR,592000,0,0
2020-04-13,SR,592000,0,0
2020-04-14,SR,592000,0,0
2020-04-15,SR,592000,0,0
2020-04-16,SR,592000,0,0
2020-04-17,SR,592000,0,0
2020-04-18,SR,592000,0,0
2020-04-19,SR,592000,0,0
2020-04-20,SR,592000,0,0
2020-04-21,SR,592000,0,0
2020-04-22,SR,592000,0,0
2020-04-23,SR,592000,0,0
2020-04-24,SR,592000,0,0
2020-04-25,SR,592000,0,0
2020-04-26,SR,592000,0,0
2020-04-27,SR,592000,0,0
2020-04-28,SR,592000,0,0
2020-04-29,SR,592000,0,0
2020-04-30,SR,592000,0,0
2020-05-01,SR,592000,0,0
2020-05-02,SR,592000,0,0
2020-05-03,SR,592000,0,0
2020-05-04,SR,592000,0,0
2020-05-05,SR,592000,0,0
2020-05-06,SR,592000,0,0
2020-05-07,SR,592000,0,0
2020-05-08,SR,592000,0,0
2020-05-09,SR,592000,0,0
2020-05-10,SR,592000,0,0
2020-05-11,SR,592000,0,0
2020-05-12,SR,592000,0,0
2020-05-13,SR,592000,0,0
2020-05-14,SR,592000,0,0
2020-05-15,SR,592000,0,0
2020-05-16,SR,592000,0,0
2020-05-17,SR,592000,0,0
2020-05-18,SR,592000,1,0
2020-05-19,SR,592000,0,0
2020-05-20,SR,592000,0,0
2020-05-21,SR,592000,0,0
2020-05-22,SR,592000,0,0
2020-05-23,SR,592000,0,0
2020-05-24,SR,592000,0,0
2020-05-25,SR,592000,0,0
2020-05-26,SR,592000,0,0
2020-05-27,SR,592000,1,0
2020-05-28,SR,592000,0,0
2020-05-29,SR,592000,0,0
2020-05-30,SR,592000,2,0
2020-05-31,SR,592000,9,0
2020-06-01,SR,592000,21,0
2020-06-02,SR,592000,10,0
2020-06-03,SR,592000,20,0
2020-06-04,SR,592000,8,0
2020-06-05,SR,592000,8,0
2020-06-06,SR,592000,10,0
2020-06-07,SR,592000,22,0
2020-06-08,SR,592000,6,1
2020-06-09,SR,592000,9,0
2020-06-10,SR,592000,7,0
2020-06-11,SR,592000,24,0
2020-06-12,SR,592000,19,1
2020-06-13,SR,592000,9,0
2020-06-14,SR,592000,12,0
2020-06-15,SR,592000,21,2
2020-06-16,SR,592000,7,1
2020-06-17,SR,592000,25,0
2020-06-18,SR,592000,16,1
2020-06-19,SR,592000,16,1
2020-06-20,SR,592000,10,0
2020-06-21,SR,592000,11,0
2020-06-22,SR,592000,5,0
2020-06-23,SR,592000,0,1
2020-06-24,SR,592000,38,1
2020-06-25,SR,592000,16,0
2020-06-26,SR,592000,16,0
2020-06-27,SR,592000,78,1
2020-06-28,SR,592000,23,0
2020-06-29,SR,592000,11,2
2020-06-30,SR,592000,14,0
2020-07-01,SR,592000,20,0
2020-07-02,SR,592000,12,0
2020-07-03,SR,592000,14,0
2020-07-04,SR,592000,4,1
2020-07-05,SR,592000,29,0
2020-07-06,SR,592000,20,0
2020-07-07,SR,592000,20,1
