date,countrycode,population,cases,deaths
2020-04-06,ST,214610,0,0
2020-04-07,ST,214610,0,0
2020-04-08,ST,214610,0,0
2020-04-09,ST,214610,0,0
2020-04-10,ST,214610,0,0
2020-04-11,ST,214610,0,0
2020-04-12,ST,214610,0,0
2020-04-13,ST,214610,0,0
2020-04-14,ST,214610,0,0
2020-04-15,ST,214610,0,0
2020-04-16,ST,214610,0,0
2020-04-17,ST,214610,0,0
2020-04-18,ST,214610,0,0
2020-04-19,ST,214610,0,0
2020-04-20,ST,214610,0,0
2020-04-21,ST,214610,0,0
2020-04-22,ST,214610,0,0
2020-04-23,ST,214610,0,0
2020-04-24,ST,214610,0,0
2020-04-25,ST,214610,0,0
2020-04-26,ST,214610,0,0
2020-04-27,ST,214610,0,0
2020-04-28,ST,214610,4,0
2020-04-29,ST,214610,0,0
2020-04-30,ST,214610,6,0
2020-05-01,ST,214610,2,1
2020-05-02,ST,214610,0,0
2020-05-03,ST,214610,0,0
2020-05-04,ST,214610,7,2
2020-05-05,ST,214610,151,0
2020-05-06,ST,214610,0,0
2020-05-07,ST,214610,13,1
2020-05-08,ST,214610,21,1
2020-05-09,ST,214610,0,0
2020-05-10,ST,214610,0,0
2020-05-11,ST,214610,0,0
2020-05-12,ST,214610,0,0
2020-05-13,ST,214610,12,1
2020-05-14,ST,214610,15,1
2020-05-15,ST,214610,0,0
2020-05-16,ST,214610,0,0
2020-05-17,ST,214610,0,0
2020-05-18,ST,214610,11,0
2020-05-19,ST,214610,5,1
2020-05-20,ST,214610,0,0
2020-05-21,ST,214610,0,0
2020-05-22,ST,214610,0,0
2020-05-23,ST,214610,0,0
2020-05-24,ST,214610,0,0
2020-05-25,ST,214610,48,3
2020-05-26,ST,214610,142,1
2020-05-27,ST,214610,2,0
2020-05-28,ST,214610,15,0
2020-05-29,ST,214610,5,0
2020-05-30,ST,214610,16,0
2020-05-31,ST,214610,4,0
2020-06-01,ST,214610,1,0
2020-06-02,ST,214610,0,0
2020-06-03,ST,214610,0,0
2020-06-04,ST,214610,1,0
2020-06-05,ST,214610,14,0
2020-06-06,ST,214610,0,0
2020-06-07,ST,214610,14,0
2020-06-08,ST,214610,0,0
2020-06-09,ST,214610,1,0
2020-06-10,ST,214610,97,0
2020-06-11,ST,214610,21,0
2020-06-12,ST,214610,7,0
2020-06-13,ST,214610,20,0
2020-06-14,ST,214610,2,0
2020-06-15,ST,214610,1,0
2020-06-16,ST,214610,9,0
2020-06-17,ST,214610,12,0
2020-06-18,ST,214610,5,0
2020-06-19,ST,214610,5,0
2020-06-20,ST,214610,5,0
2020-06-21,ST,214610,0,0
2020-06-22,ST,214610,4,0
2020-06-23,ST,214610,5,0
2020-06-24,ST,214610,3,1
2020-06-25,ST,214610,1,0
2020-06-26,ST,214610,1,0
2020-06-27,ST,214610,1,0
2020-06-28,ST,214610,0,0
2020-06-29,ST,214610,0,0
2020-06-30,ST,214610,1,0
2020-07-01,ST,214610,1,0
2020-07-02,ST,214610,2,0
2020-07-03,ST,214610,2,0
2020-07-04,ST,214610,0,0
2020-07-05,ST,214610,1,0
2020-07-06,ST,214610,1,0
2020-07-07,ST,214610,3,0
2020-07-08,ST,214610,0,0
2020-07-09,ST,214610,2,1
2020-07-10,ST,214610,1,0
2020-07-11,ST,214610,0,0
2020-07-12,ST,214610,2,0
2020-07-13,ST,214610,3,0
2020-07-14,ST,214610,0,0
2020-07-15,ST,214610,5,0
2020-07-16,ST,214610,3,0
2020-07-17,ST,214610,1,0
2020-07-18,ST,214610,2,0
2020-07-19,ST,214610,3,0
2020-07-20,ST,214610,0,0
2020-07-21,ST,214610,0,0
2020-07-22,ST,214610,1,0
2020-07-23,ST,214610,2,0
2020-07-24,ST,214610,111,0
2020-07-25,ST,214610,2,0
2020-07-26,ST,214610,1,0
2020-07-27,ST,214610,2,0
2020-07-28,ST,214610,2,0
2020-07-29,ST,214610,1,1
2020-07-30,ST,214610,2,0
2020-07-31,ST,214610,1,0
2020-08-01,ST,214610,3,0
2020-08-02,ST,214610,0,0
2020-08-03,ST,214610,0,0
2020-08-04,ST,214610,1,0
2020-08-05,ST,214610,3,0
2020-08-06,ST,214610,0,0
2020-08-07,ST,214610,0,0
2020-08-08,ST,214610,0,0
2020-08-09,ST,214610,0,0
2020-08-10,ST,214610,0,0
2020-08-11,ST,214610,3,0
2020-08-12,ST,214610,1,0
2020-08-13,ST,214610,1,0
2020-08-14,ST,214610,2,0
2020-08-15,ST,214610,0,0
2020-08-16,ST,214610,0,0
2020-08-17,ST,214610,0,0
2020-08-18,ST,214610,0,0
2020-08-19,ST,214610,0,0
2020-08-20,ST,214610,3,0
2020-08-21,ST,214610,3,0
2020-08-22,ST,214610,1,0
2020-08-23,ST,214610,0,0
2020-08-24,ST,214610,0,0
2020-08-25,ST,214610,0,0
2020-08-26,ST,214610,0,0
2020-08-27,ST,214610,2,0
2020-08-28,ST,214610,1,0
2020-08-29,ST,214610,0,0
2020-08-30,ST,214610,1,0
2020-08-31,ST,214610,0,0
2020-09-01,ST,214610,0,0
2020-09-02,ST,214610,0,0
2020-09-03,ST,214610,1,0
2020-09-04,ST,214610,0,0
2020-09-05,ST,214610,1,0
2020-09-06,ST,214610,0,0
2020-09-07,ST,214610,0,0
2020-09-08,ST,214610,0,0
2020-09-09,ST,214610,0,0
2020-09-10,ST,214610,3,0
2020-09-11,ST,214610,5,0
2020-09-12,ST,214610,0,0
2020-09-13,ST,214610,0,0
2020-09-14,ST,214610,0,0
2020-09-15,ST,214610,1,0
2020-09-16,ST,214610,0,0
2020-09-17,ST,214610,0,0
2020-09-18,ST,214610,1,0
2020-09-19,ST,214610,0,0
2020-09-20,ST,214610,0,0
2020-09-21,ST,214610,0,0
2020-09-22,ST,214610,0,0
2020-09-23,ST,214610,0,0
2020-09-24,ST,214610,2,0
2020-09-25,ST,214610,1,0
2020-09-26,ST,214610,0,0
2020-09-27,ST,214610,0,0
2020-09-28,ST,214610,0,0
2020-09-29,ST,214610,0,0
2020-09-30,ST,214610,0,0
2020-10-01,ST,214610,0,0
2020-10-02,ST,214610,0,0
2020-10-03,ST,214610,2,0
2020-10-04,ST,214610,0,0
2020-10-05,ST,214610,0,0
2020-10-06,ST,214610,1,0
2020-10-07,ST,214610,0,0
2020-10-08,ST,214610,7,0
2020-10-09,ST,214610,1,0
2020-10-10,ST,214610,0,0
2020-10-11,ST,214610,7,0
2020-10-12,ST,214610,0,0
2020-10-13,ST,214610,0,0
2020-10-14,ST,214610,0,0
2020-10-15,ST,214610,0,0
2020-10-16,ST,214610,3,0
2020-10-17,ST,214610,0,0
2020-10-18,ST,214610,1,0
2020-10-19,ST,214610,0,0
2020-10-20,ST,214610,0,0
2020-10-21,ST,214610,2,0
2020-10-22,ST,214610,0,0
2020-10-23,ST,214610,3,0
2020-10-24,ST,214610,2,0
2020-10-25,ST,214610,0,0
2020-10-26,ST,214610,1,0
2020-10-27,ST,214610,0,0
2020-10-28,ST,214610,2,0
2020-10-29,ST,214610,1,1
2020-10-30,ST,214610,1,0
2020-10-31,ST,214610,0,0
2020-11-01,ST,214610,4,0
2020-11-02,ST,214610,0,0
2020-11-03,ST,214610,5,0
2020-11-04,ST,214610,4,0
2020-11-05,ST,214610,0,0
2020-11-06,ST,214610,2,0
2020-11-07,ST,214610,2,0
2020-11-08,ST,214610,0,0
2020-11-09,ST,214610,0,0
2020-11-10,ST,214610,0,0
2020-11-11,ST,214610,0,0
2020-11-12,ST,214610,1,0
2020-11-13,ST,214610,0,0
2020-11-14,ST,214610,1,0
2020-11-15,ST,214610,1,0
2020-11-16,ST,214610,0,0
2020-11-17,ST,214610,2,0
2020-11-18,ST,214610,0,0
2020-11-19,ST,214610,7,0
2020-11-20,ST,214610,0,1
2020-11-21,ST,214610,5,0
2020-11-22,ST,214610,0,0
2020-11-23,ST,214610,2,0
2020-11-24,ST,214610,0,0
2020-11-25,ST,214610,1,0
2020-11-26,ST,214610,3,0
2020-11-27,ST,214610,0,0
2020-11-28,ST,214610,4,0
2020-11-29,ST,214610,0,0
2020-11-30,ST,214610,2,0
2020-12-01,ST,214610,5,0
2020-12-02,ST,214610,1,0
2020-12-03,ST,214610,0,0
