date,countrycode,population,cases,deaths
2020-01-22,SY,18276000,0,0
2020-01-23,SY,18276000,0,0
2020-01-24,SY,18276000,0,0
2020-01-25,SY,18276000,0,0
2020-01-26,SY,18276000,0,0
2020-01-27,SY,18276000,0,0
2020-01-28,SY,18276000,0,0
2020-01-29,SY,18276000,0,0
2020-01-30,SY,18276000,0,0
2020-01-31,SY,18276000,0,0
2020-02-01,SY,18276000,0,0
2020-02-02,SY,18276000,0,0
2020-02-03,SY,18276000,0,0
2020-02-04,SY,18276000,0,0
2020-02-05,SY,18276000,0,0
2020-02-06,SY,18276000,0,0
2020-02-07,SY,18276000,0,0
2020-02-08,SY,18276000,0,0
2020-02-09,SY,18276000,0,0
2020-02-10,SY,18276000,0,0
2020-02-11,SY,18276000,0,0
2020-02-12,SY,18276000,0,0
2020-02-13,SY,18276000,0,0
2020-02-14,SY,18276000,0,0
2020-02-15,SY,18276000,0,0
2020-02-16,SY,18276000,0,0
2020-02-17,SY,18276000,0,0
2020-02-18,SY,18276000,0,0
2020-02-19,SY,18276000,0,0
2020-02-20,SY,18276000,0,0
2020-02-21,SY,18276000,0,0
2020-02-22,SY,18276000,0,0
2020-02-23,SY,18276000,0,0
2020-02-24,SY,18276000,0,0
2020-02-25,SY,18276000,0,0
2020-02-26,SY,18276000,0,0
2020-02-27,SY,18276000,0,0
2020-02-28,SY,18276000,0,0
2020-02-29,SY,18276000,0,0
2020-03-01,SY,18276000,0,0
2020-03-02,SY,18276000,0,0
2020-03-03,SY,18276000,0,0
2020-03-04,SY,18276000,0,0
2020-03-05,SY,18276000,0,0
2020-03-06,SY,18276000,0,0
2020-03-07,SY,18276000,0,0
2020-03-08,SY,18276000,0,0
2020-03-09,SY,18276000,0,0
2020-03-10,SY,18276000,0,0
2020-03-11,SY,18276000,0,0
2020-03-12,SY,18276000,0,0
2020-03-13,SY,18276000,0,0
2020-03-14,SY,18276000,0,0
2020-03-15,SY,18276000,0,0
2020-03-16,SY,18276000,0,0
2020-03-17,SY,18276000,0,0
2020-03-18,SY,18276000,0,0
2020-03-19,SY,18276000,0,0
2020-03-20,SY,18276000,0,0
2020-03-21,SY,18276000,0,0
2020-03-22,SY,18276000,1,0
2020-03-23,SY,18276000,0,0
2020-03-24,SY,18276000,0,0
2020-03-25,SY,18276000,4,0
2020-03-26,SY,18276000,0,0
2020-03-27,SY,18276000,0,0
2020-03-28,SY,18276000,0,0
2020-03-29,SY,18276000,4,1
2020-03-30,SY,18276000,1,1
2020-03-31,SY,18276000,0,0
2020-04-01,SY,18276000,0,0
2020-04-02,SY,18276000,6,0
2020-04-03,SY,18276000,0,0
2020-04-04,SY,18276000,0,0
2020-04-05,SY,18276000,3,0
2020-04-06,SY,18276000,0,0
2020-04-07,SY,18276000,0,0
2020-04-08,SY,18276000,0,0
2020-04-09,SY,18276000,0,0
2020-04-10,SY,18276000,0,0
2020-04-11,SY,18276000,6,0
2020-04-12,SY,18276000,0,0
2020-04-13,SY,18276000,0,0
2020-04-14,SY,18276000,4,0
2020-04-15,SY,18276000,4,0
2020-04-16,SY,18276000,0,0
2020-04-17,SY,18276000,5,0
2020-04-18,SY,18276000,0,0
2020-04-19,SY,18276000,1,1
2020-04-20,SY,18276000,0,0
2020-04-21,SY,18276000,3,0
2020-04-22,SY,18276000,0,0
2020-04-23,SY,18276000,0,0
2020-04-24,SY,18276000,0,0
2020-04-25,SY,18276000,0,0
2020-04-26,SY,18276000,1,0
2020-04-27,SY,18276000,0,0
2020-04-28,SY,18276000,0,0
2020-04-29,SY,18276000,0,0
2020-04-30,SY,18276000,0,0
2020-05-01,SY,18276000,1,0
2020-05-02,SY,18276000,0,0
2020-05-03,SY,18276000,0,0
2020-05-04,SY,18276000,0,0
2020-05-05,SY,18276000,0,0
2020-05-06,SY,18276000,1,0
2020-05-07,SY,18276000,0,0
2020-05-08,SY,18276000,2,0
2020-05-09,SY,18276000,0,0
2020-05-10,SY,18276000,0,0
2020-05-11,SY,18276000,0,0
2020-05-12,SY,18276000,0,0
2020-05-13,SY,18276000,1,0
2020-05-14,SY,18276000,0,0
2020-05-15,SY,18276000,2,0
2020-05-16,SY,18276000,1,0
2020-05-17,SY,18276000,7,0
2020-05-18,SY,18276000,0,0
2020-05-19,SY,18276000,0,0
2020-05-20,SY,18276000,0,0
2020-05-21,SY,18276000,0,0
2020-05-22,SY,18276000,1,1
2020-05-23,SY,18276000,11,0
2020-05-24,SY,18276000,16,0
2020-05-25,SY,18276000,20,0
2020-05-26,SY,18276000,15,0
2020-05-27,SY,18276000,0,0
2020-05-28,SY,18276000,1,0
2020-05-29,SY,18276000,0,0
2020-05-30,SY,18276000,0,0
2020-05-31,SY,18276000,0,1
2020-06-01,SY,18276000,1,0
2020-06-02,SY,18276000,0,1
2020-06-03,SY,18276000,0,0
2020-06-04,SY,18276000,1,0
2020-06-05,SY,18276000,0,0
2020-06-06,SY,18276000,1,0
2020-06-07,SY,18276000,16,0
2020-06-08,SY,18276000,3,0
2020-06-09,SY,18276000,2,0
2020-06-10,SY,18276000,6,0
2020-06-11,SY,18276000,12,0
2020-06-12,SY,18276000,0,0
2020-06-13,SY,18276000,6,0
2020-06-14,SY,18276000,7,0
2020-06-15,SY,18276000,0,0
2020-06-16,SY,18276000,0,0
2020-06-17,SY,18276000,1,1
2020-06-18,SY,18276000,9,0
2020-06-19,SY,18276000,0,0
2020-06-20,SY,18276000,11,0
2020-06-21,SY,18276000,6,0
2020-06-22,SY,18276000,15,0
