date,countrycode,population,cases,deaths
2020-03-06,TG,7886000,0,0
2020-03-07,TG,7886000,0,0
2020-03-08,TG,7886000,0,0
2020-03-09,TG,7886000,0,0
2020-03-10,TG,7886000,0,0
2020-03-11,TG,7886000,0,0
2020-03-12,TG,7886000,0,0
2020-03-13,TG,7886000,0,0
2020-03-14,TG,7886000,0,0
2020-03-15,TG,7886000,0,0
2020-03-16,TG,7886000,0,0
2020-03-17,TG,7886000,0,0
2020-03-18,TG,7886000,0,0
2020-03-19,TG,7886000,0,0
2020-03-20,TG,7886000,8,0
2020-03-21,TG,7886000,7,0
2020-03-22,TG,7886000,0,0
2020-03-23,TG,7886000,2,0
2020-03-24,TG,7886000,2,0
2020-03-25,TG,7886000,3,0
2020-03-26,TG,7886000,0,0
2020-03-27,TG,7886000,2,1
2020-03-28,TG,7886000,0,0
2020-03-29,TG,7886000,0,0
2020-03-30,TG,7886000,5,0
2020-03-31,TG,7886000,4,0
2020-04-01,TG,7886000,2,1
2020-04-02,TG,7886000,3,0
2020-04-03,TG,7886000,1,1
2020-04-04,TG,7886000,1,0
2020-04-05,TG,7886000,3,0
2020-04-06,TG,7886000,14,0
2020-04-07,TG,7886000,7,0
2020-04-08,TG,7886000,5,0
2020-04-09,TG,7886000,3,0
2020-04-10,TG,7886000,3,0
2020-04-11,TG,7886000,0,0
2020-04-12,TG,7886000,0,0
2020-04-13,TG,7886000,1,0
2020-04-14,TG,7886000,0,0
2020-04-15,TG,7886000,4,0
2020-04-16,TG,7886000,0,2
2020-04-17,TG,7886000,2,0
2020-04-18,TG,7886000,1,0
2020-04-19,TG,7886000,0,0
2020-04-20,TG,7886000,0,1
2020-04-21,TG,7886000,2,0
2020-04-22,TG,7886000,2,0
2020-04-23,TG,7886000,0,0
2020-04-24,TG,7886000,2,0
2020-04-25,TG,7886000,6,0
2020-04-26,TG,7886000,2,0
2020-04-27,TG,7886000,0,0
2020-04-28,TG,7886000,1,0
2020-04-29,TG,7886000,10,1
2020-04-30,TG,7886000,7,2
2020-05-01,TG,7886000,7,0
2020-05-02,TG,7886000,0,0
2020-05-03,TG,7886000,1,0
2020-05-04,TG,7886000,2,0
2020-05-05,TG,7886000,2,0
2020-05-06,TG,7886000,0,0
2020-05-07,TG,7886000,7,0
2020-05-08,TG,7886000,10,1
2020-05-09,TG,7886000,8,0
2020-05-10,TG,7886000,21,1
2020-05-11,TG,7886000,7,0
2020-05-12,TG,7886000,18,0
2020-05-13,TG,7886000,20,0
2020-05-14,TG,7886000,19,0
2020-05-15,TG,7886000,25,0
2020-05-16,TG,7886000,35,0
2020-05-17,TG,7886000,3,0
2020-05-18,TG,7886000,29,1
2020-05-19,TG,7886000,8,0
2020-05-20,TG,7886000,2,0
2020-05-21,TG,7886000,14,0
2020-05-22,TG,7886000,9,0
2020-05-23,TG,7886000,10,0
2020-05-24,TG,7886000,8,0
2020-05-25,TG,7886000,5,1
2020-05-26,TG,7886000,5,0
2020-05-27,TG,7886000,4,0
2020-05-28,TG,7886000,27,0
2020-05-29,TG,7886000,6,0
2020-05-30,TG,7886000,5,0
