date,countrycode,population,cases,deaths
2020-04-30,TJ,9313800,0,0
2020-05-01,TJ,9313800,0,0
2020-05-02,TJ,9313800,61,2
2020-05-03,TJ,9313800,52,0
2020-05-04,TJ,9313800,102,1
2020-05-05,TJ,9313800,63,2
2020-05-06,TJ,9313800,86,3
2020-05-07,TJ,9313800,82,4
2020-05-08,TJ,9313800,61,0
2020-05-09,TJ,9313800,90,8
2020-05-10,TJ,9313800,0,0
2020-05-11,TJ,9313800,49,1
2020-05-12,TJ,9313800,68,0
2020-05-13,TJ,9313800,72,2
2020-05-14,TJ,9313800,106,6
2020-05-15,TJ,9313800,211,4
2020-05-16,TJ,9313800,204,3
2020-05-17,TJ,9313800,202,3
2020-05-18,TJ,9313800,205,2
2020-05-19,TJ,9313800,207,0
2020-05-20,TJ,9313800,204,0
2020-05-21,TJ,9313800,210,3
2020-05-22,TJ,9313800,201,0
2020-05-23,TJ,9313800,187,0
2020-05-24,TJ,9313800,191,2
2020-05-25,TJ,9313800,171,0
2020-05-26,TJ,9313800,166,1
2020-05-27,TJ,9313800,158,0
2020-05-28,TJ,9313800,139,0
2020-05-29,TJ,9313800,123,0
2020-05-30,TJ,9313800,121,0
2020-05-31,TJ,9313800,123,0
2020-06-01,TJ,9313800,83,0
2020-06-02,TJ,9313800,87,0
2020-06-03,TJ,9313800,91,1
2020-06-04,TJ,9313800,98,0
2020-06-05,TJ,9313800,81,0
2020-06-06,TJ,9313800,83,0
2020-06-07,TJ,9313800,76,0
2020-06-08,TJ,9313800,80,0
2020-06-09,TJ,9313800,81,0
2020-06-10,TJ,9313800,73,0
2020-06-11,TJ,9313800,71,1
2020-06-12,TJ,9313800,68,0
2020-06-13,TJ,9313800,69,1
2020-06-14,TJ,9313800,64,0
2020-06-15,TJ,9313800,62,0
2020-06-16,TJ,9313800,63,0
2020-06-17,TJ,9313800,61,1
2020-06-18,TJ,9313800,58,0
2020-06-19,TJ,9313800,59,0
2020-06-20,TJ,9313800,61,1
2020-06-21,TJ,9313800,58,0
2020-06-22,TJ,9313800,56,0
2020-06-23,TJ,9313800,54,0
2020-06-24,TJ,9313800,63,0
2020-06-25,TJ,9313800,61,0
2020-06-26,TJ,9313800,56,0
2020-06-27,TJ,9313800,52,0
2020-06-28,TJ,9313800,50,0
2020-06-29,TJ,9313800,51,0
2020-06-30,TJ,9313800,0,0
2020-07-01,TJ,9313800,105,0
2020-07-02,TJ,9313800,53,0
2020-07-03,TJ,9313800,0,0
2020-07-04,TJ,9313800,101,0
2020-07-05,TJ,9313800,54,1
2020-07-06,TJ,9313800,49,0
2020-07-07,TJ,9313800,53,0
2020-07-08,TJ,9313800,49,1
2020-07-09,TJ,9313800,46,0
2020-07-10,TJ,9313800,47,1
2020-07-11,TJ,9313800,49,0
2020-07-12,TJ,9313800,46,0
2020-07-13,TJ,9313800,44,0
2020-07-14,TJ,9313800,47,1
2020-07-15,TJ,9313800,52,0
2020-07-16,TJ,9313800,46,0
2020-07-17,TJ,9313800,45,0
2020-07-18,TJ,9313800,48,1
2020-07-19,TJ,9313800,44,0
2020-07-20,TJ,9313800,43,0
2020-07-21,TJ,9313800,46,0
2020-07-22,TJ,9313800,48,1
2020-07-23,TJ,9313800,45,0
2020-07-24,TJ,9313800,44,0
2020-07-25,TJ,9313800,46,1
2020-07-26,TJ,9313800,42,0
2020-07-27,TJ,9313800,43,1
2020-07-28,TJ,9313800,41,0
2020-07-29,TJ,9313800,44,0
2020-07-30,TJ,9313800,46,0
2020-07-31,TJ,9313800,43,0
2020-08-01,TJ,9313800,42,0
2020-08-02,TJ,9313800,44,1
2020-08-03,TJ,9313800,43,0
2020-08-04,TJ,9313800,45,0
2020-08-05,TJ,9313800,42,0
2020-08-06,TJ,9313800,40,1
2020-08-07,TJ,9313800,41,0
2020-08-08,TJ,9313800,0,0
2020-08-09,TJ,9313800,39,0
2020-08-10,TJ,9313800,82,0
2020-08-11,TJ,9313800,44,1
2020-08-12,TJ,9313800,41,0
2020-08-13,TJ,9313800,38,0
2020-08-14,TJ,9313800,39,0
2020-08-15,TJ,9313800,40,1
2020-08-16,TJ,9313800,36,0
2020-08-17,TJ,9313800,34,0
2020-08-18,TJ,9313800,32,1
2020-08-19,TJ,9313800,35,0
2020-08-20,TJ,9313800,37,1
2020-08-21,TJ,9313800,38,0
2020-08-22,TJ,9313800,36,0
2020-08-23,TJ,9313800,34,0
2020-08-24,TJ,9313800,35,1
2020-08-25,TJ,9313800,33,0
2020-08-26,TJ,9313800,34,0
2020-08-27,TJ,9313800,36,1
2020-08-28,TJ,9313800,32,0
2020-08-29,TJ,9313800,35,0
2020-08-30,TJ,9313800,0,0
2020-08-31,TJ,9313800,67,0
2020-09-01,TJ,9313800,36,0
2020-09-02,TJ,9313800,35,1
2020-09-03,TJ,9313800,36,0
2020-09-04,TJ,9313800,34,0
2020-09-05,TJ,9313800,33,1
2020-09-06,TJ,9313800,35,0
2020-09-07,TJ,9313800,32,0
2020-09-08,TJ,9313800,36,0
2020-09-09,TJ,9313800,39,1
2020-09-10,TJ,9313800,40,1
2020-09-11,TJ,9313800,38,0
2020-09-12,TJ,9313800,37,0
