date,countrycode,population,cases,deaths
2020-03-04,TN,11694721,0,0
2020-03-05,TN,11694721,0,0
2020-03-06,TN,11694721,0,0
2020-03-07,TN,11694721,0,0
2020-03-08,TN,11694721,1,0
2020-03-09,TN,11694721,0,0
2020-03-10,TN,11694721,3,0
2020-03-11,TN,11694721,2,0
2020-03-12,TN,11694721,0,0
2020-03-13,TN,11694721,9,0
2020-03-14,TN,11694721,2,0
2020-03-15,TN,11694721,0,0
2020-03-16,TN,11694721,2,0
2020-03-17,TN,11694721,4,0
2020-03-18,TN,11694721,5,0
2020-03-19,TN,11694721,10,1
2020-03-20,TN,11694721,15,0
2020-03-21,TN,11694721,6,0
2020-03-22,TN,11694721,15,2
2020-03-23,TN,11694721,14,0
2020-03-24,TN,11694721,25,1
2020-03-25,TN,11694721,59,1
2020-03-26,TN,11694721,24,1
2020-03-27,TN,11694721,30,0
2020-03-28,TN,11694721,51,2
2020-03-29,TN,11694721,34,0
2020-03-30,TN,11694721,0,0
2020-03-31,TN,11694721,82,2
2020-04-01,TN,11694721,29,2
2020-04-02,TN,11694721,32,2
2020-04-03,TN,11694721,40,4
2020-04-04,TN,11694721,58,0
2020-04-05,TN,11694721,21,4
2020-04-06,TN,11694721,22,0
2020-04-07,TN,11694721,27,1
2020-04-08,TN,11694721,5,1
2020-04-09,TN,11694721,15,1
2020-04-10,TN,11694721,28,0
2020-04-11,TN,11694721,14,3
2020-04-12,TN,11694721,22,3
2020-04-13,TN,11694721,19,3
2020-04-14,TN,11694721,21,0
2020-04-15,TN,11694721,33,1
2020-04-16,TN,11694721,42,2
2020-04-17,TN,11694721,42,0
2020-04-18,TN,11694721,0,0
2020-04-19,TN,11694721,15,1
2020-04-20,TN,11694721,5,0
2020-04-21,TN,11694721,0,0
2020-04-22,TN,11694721,25,0
2020-04-23,TN,11694721,9,0
2020-04-24,TN,11694721,4,0
2020-04-25,TN,11694721,17,0
2020-04-26,TN,11694721,10,0
2020-04-27,TN,11694721,18,1
2020-04-28,TN,11694721,8,1
2020-04-29,TN,11694721,5,0
