date,countrycode,population,cases,deaths
2020-03-14,TT,1366725,0,0
2020-03-15,TT,1366725,0,0
2020-03-16,TT,1366725,2,0
2020-03-17,TT,1366725,1,0
2020-03-18,TT,1366725,2,0
2020-03-19,TT,1366725,2,0
2020-03-20,TT,1366725,0,0
2020-03-21,TT,1366725,40,0
2020-03-22,TT,1366725,1,0
2020-03-23,TT,1366725,1,0
2020-03-24,TT,1366725,6,0
2020-03-25,TT,1366725,3,1
2020-03-26,TT,1366725,5,0
2020-03-27,TT,1366725,1,1
2020-03-28,TT,1366725,8,1
2020-03-29,TT,1366725,4,0
2020-03-30,TT,1366725,4,0
2020-03-31,TT,1366725,5,0
2020-04-01,TT,1366725,3,2
2020-04-02,TT,1366725,4,0
2020-04-03,TT,1366725,4,1
2020-04-04,TT,1366725,5,0
2020-04-05,TT,1366725,1,1
2020-04-06,TT,1366725,1,1
2020-04-07,TT,1366725,2,0
2020-04-08,TT,1366725,0,0
2020-04-09,TT,1366725,2,0
2020-04-10,TT,1366725,0,0
2020-04-11,TT,1366725,3,0
2020-04-12,TT,1366725,1,0
2020-04-13,TT,1366725,0,0
2020-04-14,TT,1366725,0,0
2020-04-15,TT,1366725,1,0
2020-04-16,TT,1366725,0,0
2020-04-17,TT,1366725,0,0
2020-04-18,TT,1366725,0,0
2020-04-19,TT,1366725,0,0
2020-04-20,TT,1366725,0,0
2020-04-21,TT,1366725,1,0
2020-04-22,TT,1366725,0,0
2020-04-23,TT,1366725,0,0
2020-04-24,TT,1366725,0,0
2020-04-25,TT,1366725,0,0
2020-04-26,TT,1366725,0,0
2020-04-27,TT,1366725,1,0
2020-04-28,TT,1366725,0,0
2020-04-29,TT,1366725,0,0
2020-04-30,TT,1366725,0,0
2020-05-01,TT,1366725,0,0
2020-05-02,TT,1366725,0,0
2020-05-03,TT,1366725,0,0
2020-05-04,TT,1366725,0,0
2020-05-05,TT,1366725,0,0
2020-05-06,TT,1366725,0,0
2020-05-07,TT,1366725,0,0
2020-05-08,TT,1366725,0,0
2020-05-09,TT,1366725,0,0
2020-05-10,TT,1366725,0,0
2020-05-11,TT,1366725,0,0
2020-05-12,TT,1366725,0,0
2020-05-13,TT,1366725,0,0
2020-05-14,TT,1366725,0,0
2020-05-15,TT,1366725,0,0
2020-05-16,TT,1366725,0,0
2020-05-17,TT,1366725,0,0
2020-05-18,TT,1366725,0,0
2020-05-19,TT,1366725,0,0
2020-05-20,TT,1366725,0,0
2020-05-21,TT,1366725,0,0
2020-05-22,TT,1366725,0,0
2020-05-23,TT,1366725,0,0
2020-05-24,TT,1366725,0,0
2020-05-25,TT,1366725,0,0
2020-05-26,TT,1366725,0,0
2020-05-27,TT,1366725,0,0
2020-05-28,TT,1366725,0,0
2020-05-29,TT,1366725,0,0
