date,countrycode,population,cases,deaths
2020-01-22,TW,23568378,0,0
2020-01-23,TW,23568378,0,0
2020-01-24,TW,23568378,2,0
2020-01-25,TW,23568378,0,0
2020-01-26,TW,23568378,1,0
2020-01-27,TW,23568378,1,0
2020-01-28,TW,23568378,3,0
2020-01-29,TW,23568378,0,0
2020-01-30,TW,23568378,1,0
2020-01-31,TW,23568378,1,0
2020-02-01,TW,23568378,0,0
2020-02-02,TW,23568378,0,0
2020-02-03,TW,23568378,0,0
2020-02-04,TW,23568378,1,0
2020-02-05,TW,23568378,0,0
2020-02-06,TW,23568378,5,0
2020-02-07,TW,23568378,0,0
2020-02-08,TW,23568378,1,0
2020-02-09,TW,23568378,1,0
2020-02-10,TW,23568378,0,0
2020-02-11,TW,23568378,0,0
2020-02-12,TW,23568378,0,0
2020-02-13,TW,23568378,0,0
2020-02-14,TW,23568378,0,0
2020-02-15,TW,23568378,0,0
2020-02-16,TW,23568378,2,1
2020-02-17,TW,23568378,2,0
2020-02-18,TW,23568378,0,0
2020-02-19,TW,23568378,1,0
2020-02-20,TW,23568378,1,0
2020-02-21,TW,23568378,2,0
2020-02-22,TW,23568378,0,0
2020-02-23,TW,23568378,2,0
2020-02-24,TW,23568378,2,0
2020-02-25,TW,23568378,1,0
2020-02-26,TW,23568378,1,0
2020-02-27,TW,23568378,0,0
2020-02-28,TW,23568378,2,0
2020-02-29,TW,23568378,5,0
2020-03-01,TW,23568378,1,0
2020-03-02,TW,23568378,1,0
2020-03-03,TW,23568378,1,0
2020-03-04,TW,23568378,0,0
2020-03-05,TW,23568378,2,0
2020-03-06,TW,23568378,1,0
2020-03-07,TW,23568378,0,0
2020-03-08,TW,23568378,0,0
2020-03-09,TW,23568378,0,0
2020-03-10,TW,23568378,2,0
2020-03-11,TW,23568378,1,0
2020-03-12,TW,23568378,1,0
2020-03-13,TW,23568378,1,0
2020-03-14,TW,23568378,3,0
2020-03-15,TW,23568378,6,0
2020-03-16,TW,23568378,8,0
2020-03-17,TW,23568378,10,0
2020-03-18,TW,23568378,23,0
2020-03-19,TW,23568378,8,0
2020-03-20,TW,23568378,27,1
2020-03-21,TW,23568378,18,0
2020-03-22,TW,23568378,16,0
2020-03-23,TW,23568378,26,0
2020-03-24,TW,23568378,20,0
2020-03-25,TW,23568378,20,0
2020-03-26,TW,23568378,17,0
2020-03-27,TW,23568378,15,0
2020-03-28,TW,23568378,16,0
2020-03-29,TW,23568378,15,0
2020-03-30,TW,23568378,8,3
2020-03-31,TW,23568378,16,0
2020-04-01,TW,23568378,7,0
2020-04-02,TW,23568378,10,0
2020-04-03,TW,23568378,9,0
2020-04-04,TW,23568378,7,0
2020-04-05,TW,23568378,8,0
2020-04-06,TW,23568378,10,0
2020-04-07,TW,23568378,3,0
2020-04-08,TW,23568378,3,0
2020-04-09,TW,23568378,1,0
2020-04-10,TW,23568378,2,1
2020-04-11,TW,23568378,3,0
2020-04-12,TW,23568378,3,0
2020-04-13,TW,23568378,5,0
2020-04-14,TW,23568378,0,0
2020-04-15,TW,23568378,2,0
2020-04-16,TW,23568378,0,0
2020-04-17,TW,23568378,0,0
2020-04-18,TW,23568378,3,0
2020-04-19,TW,23568378,22,0
2020-04-20,TW,23568378,2,0
2020-04-21,TW,23568378,3,0
2020-04-22,TW,23568378,1,0
2020-04-23,TW,23568378,1,0
2020-04-24,TW,23568378,1,0
2020-04-25,TW,23568378,1,0
2020-04-26,TW,23568378,0,0
2020-04-27,TW,23568378,0,0
2020-04-28,TW,23568378,0,0
2020-04-29,TW,23568378,0,0
2020-04-30,TW,23568378,0,0
2020-05-01,TW,23568378,0,0
2020-05-02,TW,23568378,3,0
2020-05-03,TW,23568378,4,0
2020-05-04,TW,23568378,2,0
2020-05-05,TW,23568378,0,0
2020-05-06,TW,23568378,1,0
2020-05-07,TW,23568378,1,0
2020-05-08,TW,23568378,0,0
2020-05-09,TW,23568378,0,0
2020-05-10,TW,23568378,0,0
2020-05-11,TW,23568378,0,1
2020-05-12,TW,23568378,0,0
2020-05-13,TW,23568378,0,0
2020-05-14,TW,23568378,0,0
2020-05-15,TW,23568378,0,0
2020-05-16,TW,23568378,0,0
2020-05-17,TW,23568378,0,0
2020-05-18,TW,23568378,0,0
2020-05-19,TW,23568378,0,0
2020-05-20,TW,23568378,0,0
2020-05-21,TW,23568378,0,0
2020-05-22,TW,23568378,1,0
2020-05-23,TW,23568378,0,0
2020-05-24,TW,23568378,0,0
2020-05-25,TW,23568378,0,0
2020-05-26,TW,23568378,0,0
2020-05-27,TW,23568378,0,0
2020-05-28,TW,23568378,0,0
2020-05-29,TW,23568378,1,0
2020-05-30,TW,23568378,0,0
2020-05-31,TW,23568378,0,0
2020-06-01,TW,23568378,1,0
2020-06-02,TW,23568378,0,0
2020-06-03,TW,23568378,0,0
2020-06-04,TW,23568378,0,0
2020-06-05,TW,23568378,0,0
2020-06-06,TW,23568378,0,0
2020-06-07,TW,23568378,0,0
2020-06-08,TW,23568378,0,0
2020-06-09,TW,23568378,0,0
2020-06-10,TW,23568378,0,0
2020-06-11,TW,23568378,0,0
2020-06-12,TW,23568378,0,0
2020-06-13,TW,23568378,0,0
2020-06-14,TW,23568378,0,0
2020-06-15,TW,23568378,2,0
2020-06-16,TW,23568378,0,0
2020-06-17,TW,23568378,0,0
2020-06-18,TW,23568378,1,0
2020-06-19,TW,23568378,0,0
2020-06-20,TW,23568378,0,0
2020-06-21,TW,23568378,0,0
2020-06-22,TW,23568378,0,0
2020-06-23,TW,23568378,0,0
2020-06-24,TW,23568378,0,0
2020-06-25,TW,23568378,1,0
2020-06-26,TW,23568378,0,0
2020-06-27,TW,23568378,0,0
2020-06-28,TW,23568378,0,0
2020-06-29,TW,23568378,0,0
2020-06-30,TW,23568378,0,0
2020-07-01,TW,23568378,0,0
2020-07-02,TW,23568378,1,0
2020-07-03,TW,23568378,1,0
2020-07-04,TW,23568378,0,0
2020-07-05,TW,23568378,0,0
2020-07-06,TW,23568378,0,0
2020-07-07,TW,23568378,0,0
2020-07-08,TW,23568378,0,0
2020-07-09,TW,23568378,0,0
2020-07-10,TW,23568378,0,0
2020-07-11,TW,23568378,2,0
2020-07-12,TW,23568378,0,0
2020-07-13,TW,23568378,0,0
2020-07-14,TW,23568378,0,0
2020-07-15,TW,23568378,0,0
2020-07-16,TW,23568378,0,0
2020-07-17,TW,23568378,0,0
2020-07-18,TW,23568378,0,0
2020-07-19,TW,23568378,0,0
2020-07-20,TW,23568378,0,0
2020-07-21,TW,23568378,0,0
2020-07-22,TW,23568378,4,0
2020-07-23,TW,23568378,0,0
2020-07-24,TW,23568378,3,0
2020-07-25,TW,23568378,0,0
2020-07-26,TW,23568378,0,0
2020-07-27,TW,23568378,4,0
2020-07-28,TW,23568378,5,0
2020-07-29,TW,23568378,0,0
2020-07-30,TW,23568378,0,0
2020-07-31,TW,23568378,0,0
2020-08-01,TW,23568378,7,0
2020-08-02,TW,23568378,1,0
2020-08-03,TW,23568378,-1,0
2020-08-04,TW,23568378,2,0
2020-08-05,TW,23568378,0,0
2020-08-06,TW,23568378,1,0
2020-08-07,TW,23568378,0,0
2020-08-08,TW,23568378,2,0
2020-08-09,TW,23568378,-2,0
2020-08-10,TW,23568378,0,0
2020-08-11,TW,23568378,3,0
2020-08-12,TW,23568378,1,0
2020-08-13,TW,23568378,0,0
2020-08-14,TW,23568378,0,0
2020-08-15,TW,23568378,1,0
2020-08-16,TW,23568378,2,0
2020-08-17,TW,23568378,1,0
2020-08-18,TW,23568378,1,0
2020-08-19,TW,23568378,0,0
2020-08-20,TW,23568378,0,0
2020-08-21,TW,23568378,1,0
2020-08-22,TW,23568378,0,0
2020-08-23,TW,23568378,0,0
2020-08-24,TW,23568378,0,0
2020-08-25,TW,23568378,0,0
2020-08-26,TW,23568378,0,0
2020-08-27,TW,23568378,0,0
2020-08-28,TW,23568378,0,0
2020-08-29,TW,23568378,1,0
2020-08-30,TW,23568378,0,0
2020-08-31,TW,23568378,0,0
2020-09-01,TW,23568378,0,0
2020-09-02,TW,23568378,1,0
2020-09-03,TW,23568378,0,0
2020-09-04,TW,23568378,1,0
2020-09-05,TW,23568378,2,0
2020-09-06,TW,23568378,1,0
2020-09-07,TW,23568378,1,0
2020-09-08,TW,23568378,1,0
2020-09-09,TW,23568378,0,0
2020-09-10,TW,23568378,1,0
2020-09-11,TW,23568378,2,0
2020-09-12,TW,23568378,0,0
2020-09-13,TW,23568378,0,0
2020-09-14,TW,23568378,1,0
2020-09-15,TW,23568378,0,0
2020-09-16,TW,23568378,1,0
2020-09-17,TW,23568378,3,0
2020-09-18,TW,23568378,0,0
2020-09-19,TW,23568378,3,0
2020-09-20,TW,23568378,1,0
2020-09-21,TW,23568378,2,0
2020-09-22,TW,23568378,0,0
2020-09-23,TW,23568378,0,0
2020-09-24,TW,23568378,0,0
2020-09-25,TW,23568378,1,0
2020-09-26,TW,23568378,0,0
2020-09-27,TW,23568378,0,0
2020-09-28,TW,23568378,3,0
2020-09-29,TW,23568378,0,0
2020-09-30,TW,23568378,1,0
2020-10-01,TW,23568378,1,0
2020-10-02,TW,23568378,2,0
2020-10-03,TW,23568378,0,0
2020-10-04,TW,23568378,0,0
2020-10-05,TW,23568378,1,0
2020-10-06,TW,23568378,3,0
2020-10-07,TW,23568378,2,0
2020-10-08,TW,23568378,1,0
2020-10-09,TW,23568378,3,0
2020-10-10,TW,23568378,0,0
2020-10-11,TW,23568378,0,0
2020-10-12,TW,23568378,2,0
2020-10-13,TW,23568378,1,0
2020-10-14,TW,23568378,0,0
2020-10-15,TW,23568378,1,0
2020-10-16,TW,23568378,4,0
2020-10-17,TW,23568378,0,0
2020-10-18,TW,23568378,0,0
2020-10-19,TW,23568378,5,0
2020-10-20,TW,23568378,3,0
2020-10-21,TW,23568378,1,0
2020-10-22,TW,23568378,4,0
2020-10-23,TW,23568378,0,0
2020-10-24,TW,23568378,2,0
2020-10-25,TW,23568378,0,0
2020-10-26,TW,23568378,0,0
2020-10-27,TW,23568378,0,0
2020-10-28,TW,23568378,0,0
2020-10-29,TW,23568378,3,0
2020-10-30,TW,23568378,1,0
2020-10-31,TW,23568378,1,0
2020-11-01,TW,23568378,3,0
2020-11-02,TW,23568378,5,0
2020-11-03,TW,23568378,4,0
2020-11-04,TW,23568378,1,0
2020-11-05,TW,23568378,1,0
2020-11-06,TW,23568378,4,0
2020-11-07,TW,23568378,0,0
2020-11-08,TW,23568378,4,0
2020-11-09,TW,23568378,1,0
2020-11-10,TW,23568378,2,0
2020-11-11,TW,23568378,4,0
2020-11-12,TW,23568378,5,0
2020-11-13,TW,23568378,8,0
2020-11-14,TW,23568378,3,0
2020-11-15,TW,23568378,2,0
2020-11-16,TW,23568378,1,0
2020-11-17,TW,23568378,2,0
2020-11-18,TW,23568378,2,0
2020-11-19,TW,23568378,2,0
2020-11-20,TW,23568378,2,0
2020-11-21,TW,23568378,0,0
2020-11-22,TW,23568378,6,0
2020-11-23,TW,23568378,1,0
2020-11-24,TW,23568378,0,0
2020-11-25,TW,23568378,5,0
2020-11-26,TW,23568378,2,0
2020-11-27,TW,23568378,14,0
2020-11-28,TW,23568378,9,0
2020-11-29,TW,23568378,3,0
2020-11-30,TW,23568378,24,0
2020-12-01,TW,23568378,4,0
2020-12-02,TW,23568378,6,0
2020-12-03,TW,23568378,1,0
2020-12-04,TW,23568378,4,0
2020-12-05,TW,23568378,4,0
2020-12-06,TW,23568378,22,0
2020-12-07,TW,23568378,0,0
2020-12-08,TW,23568378,2,0
2020-12-09,TW,23568378,2,0
2020-12-10,TW,23568378,4,0
2020-12-11,TW,23568378,1,0
2020-12-12,TW,23568378,8,0
2020-12-13,TW,23568378,3,0
2020-12-14,TW,23568378,4,0
2020-12-15,TW,23568378,2,0
2020-12-16,TW,23568378,7,0
2020-12-17,TW,23568378,8,0
2020-12-18,TW,23568378,2,0
2020-12-19,TW,23568378,4,0
2020-12-20,TW,23568378,3,0
2020-12-21,TW,23568378,0,0
2020-12-22,TW,23568378,4,0
2020-12-23,TW,23568378,6,0
2020-12-24,TW,23568378,0,0
2020-12-25,TW,23568378,4,0
2020-12-26,TW,23568378,3,0
2020-12-27,TW,23568378,2,0
2020-12-28,TW,23568378,8,0
2020-12-29,TW,23568378,2,0
2020-12-30,TW,23568378,2,0
2020-12-31,TW,23568378,2,0
2021-01-01,TW,23568378,3,0
2021-01-02,TW,23568378,6,0
2021-01-03,TW,23568378,4,0
2021-01-04,TW,23568378,3,0
2021-01-05,TW,23568378,2,0
2021-01-06,TW,23568378,2,0
2021-01-07,TW,23568378,3,0
2021-01-08,TW,23568378,3,0
2021-01-09,TW,23568378,3,0
2021-01-10,TW,23568378,0,0
2021-01-11,TW,23568378,6,0
2021-01-12,TW,23568378,4,0
2021-01-13,TW,23568378,4,0
