date,countrycode,population,cases,deaths
2020-03-03,UA,43993643,0,0
2020-03-04,UA,43993643,0,0
2020-03-05,UA,43993643,0,0
2020-03-06,UA,43993643,0,0
2020-03-07,UA,43993643,0,0
2020-03-08,UA,43993643,0,0
2020-03-09,UA,43993643,0,0
2020-03-10,UA,43993643,0,0
2020-03-11,UA,43993643,0,0
2020-03-12,UA,43993643,0,0
2020-03-13,UA,43993643,2,1
2020-03-14,UA,43993643,0,0
2020-03-15,UA,43993643,0,0
2020-03-16,UA,43993643,4,0
2020-03-17,UA,43993643,7,1
2020-03-18,UA,43993643,0,0
2020-03-19,UA,43993643,2,0
2020-03-20,UA,43993643,13,1
2020-03-21,UA,43993643,18,0
2020-03-22,UA,43993643,26,0
2020-03-23,UA,43993643,0,0
2020-03-24,UA,43993643,24,0
2020-03-25,UA,43993643,48,2
2020-03-26,UA,43993643,51,0
2020-03-27,UA,43993643,114,0
2020-03-28,UA,43993643,46,4
2020-03-29,UA,43993643,119,1
2020-03-30,UA,43993643,73,3
2020-03-31,UA,43993643,97,4
2020-04-01,UA,43993643,149,3
2020-04-02,UA,43993643,103,2
2020-04-03,UA,43993643,175,5
2020-04-04,UA,43993643,153,5
2020-04-05,UA,43993643,83,5
2020-04-06,UA,43993643,11,1
2020-04-07,UA,43993643,143,7
2020-04-08,UA,43993643,206,7
2020-04-09,UA,43993643,224,5
2020-04-10,UA,43993643,311,12
2020-04-11,UA,43993643,308,4
2020-04-12,UA,43993643,266,10
2020-04-13,UA,43993643,325,10
2020-04-14,UA,43993643,270,5
2020-04-15,UA,43993643,392,10
2020-04-16,UA,43993643,397,8
2020-04-17,UA,43993643,501,9
2020-04-18,UA,43993643,444,8
2020-04-19,UA,43993643,343,8
2020-04-20,UA,43993643,261,10
2020-04-21,UA,43993643,415,10
2020-04-22,UA,43993643,467,13
2020-04-23,UA,43993643,578,13
2020-04-24,UA,43993643,477,6
2020-04-25,UA,43993643,478,8
2020-04-26,UA,43993643,492,8
2020-04-27,UA,43993643,392,11
2020-04-28,UA,43993643,401,19
2020-04-29,UA,43993643,456,11
2020-04-30,UA,43993643,540,11
2020-05-01,UA,43993643,455,11
2020-05-02,UA,43993643,550,7
2020-05-03,UA,43993643,502,9
2020-05-04,UA,43993643,418,15
2020-05-05,UA,43993643,366,13
2020-05-06,UA,43993643,487,11
2020-05-07,UA,43993643,507,13
2020-05-08,UA,43993643,504,21
