date,countrycode,population,cases,deaths
2020-01-22,US,329064917,0,0
2020-01-23,US,329064917,0,0
2020-01-24,US,329064917,1,0
2020-01-25,US,329064917,0,0
2020-01-26,US,329064917,3,0
2020-01-27,US,329064917,0,0
2020-01-28,US,329064917,0,0
2020-01-29,US,329064917,1,0
2020-01-30,US,329064917,0,0
2020-01-31,US,329064917,2,0
2020-02-01,US,329064917,0,0
2020-02-02,US,329064917,0,0
2020-02-03,US,329064917,3,0
2020-02-04,US,329064917,0,0
2020-02-05,US,329064917,0,0
2020-02-06,US,329064917,1,0
2020-02-07,US,329064917,0,0
2020-02-08,US,329064917,0,0
2020-02-09,US,329064917,0,0
2020-02-10,US,329064917,0,0
2020-02-11,US,329064917,1,0
2020-02-12,US,329064917,0,0
2020-02-13,US,329064917,1,0
2020-02-14,US,329064917,0,0
2020-02-15,US,329064917,0,0
2020-02-16,US,329064917,0,0
2020-02-17,US,329064917,0,0
2020-02-18,US,329064917,0,0
2020-02-19,US,329064917,0,0
2020-02-20,US,329064917,0,0
2020-02-21,US,329064917,2,0
2020-02-22,US,329064917,0,0
2020-02-23,US,329064917,0,0
2020-02-24,US,329064917,0,0
2020-02-25,US,329064917,0,0
2020-02-26,US,329064917,0,0
2020-02-27,US,329064917,1,0
2020-02-28,US,329064917,0,0
2020-02-29,US,329064917,8,1
2020-03-01,US,329064917,7,0
2020-03-02,US,329064917,23,5
2020-03-03,US,329064917,19,1
2020-03-04,US,329064917,33,4
2020-03-05,US,329064917,77,1
2020-03-06,US,329064917,53,2
2020-03-07,US,329064917,166,3
2020-03-08,US,329064917,116,4
2020-03-09,US,329064917,75,1
2020-03-10,US,329064917,188,6
2020-03-11,US,329064917,365,5
2020-03-12,US,329064917,439,10
2020-03-13,US,329064917,633,8
2020-03-14,US,329064917,759,7
2020-03-15,US,329064917,234,12
2020-03-16,US,329064917,1467,27
2020-03-17,US,329064917,1833,37
2020-03-18,US,329064917,2657,60
2020-03-19,US,329064917,4494,72
2020-03-20,US,329064917,6367,106
2020-03-21,US,329064917,5995,103
2020-03-22,US,329064917,8873,128
2020-03-23,US,329064917,11238,189
2020-03-24,US,329064917,10619,241
2020-03-25,US,329064917,12082,336
2020-03-26,US,329064917,17856,416
2020-03-27,US,329064917,18690,519
2020-03-28,US,329064917,19630,673
2020-03-29,US,329064917,18899,592
2020-03-30,US,329064917,22075,711
2020-03-31,US,329064917,26314,1082
