date,countrycode,population,cases,deaths
2020-03-14,VE,28515829,0,0
2020-03-15,VE,28515829,8,0
2020-03-16,VE,28515829,7,0
2020-03-17,VE,28515829,16,0
2020-03-18,VE,28515829,3,0
2020-03-19,VE,28515829,6,0
2020-03-20,VE,28515829,0,0
2020-03-21,VE,28515829,28,0
2020-03-22,VE,28515829,0,0
2020-03-23,VE,28515829,7,0
2020-03-24,VE,28515829,7,0
2020-03-25,VE,28515829,7,0
2020-03-26,VE,28515829,16,0
2020-03-27,VE,28515829,0,1
2020-03-28,VE,28515829,12,1
2020-03-29,VE,28515829,0,0
2020-03-30,VE,28515829,16,1
2020-03-31,VE,28515829,0,0
2020-04-01,VE,28515829,8,0
2020-04-02,VE,28515829,3,2
2020-04-03,VE,28515829,7,2
2020-04-04,VE,28515829,2,0
2020-04-05,VE,28515829,4,0
2020-04-06,VE,28515829,6,0
2020-04-07,VE,28515829,0,0
2020-04-08,VE,28515829,2,2
2020-04-09,VE,28515829,4,0
2020-04-10,VE,28515829,0,0
2020-04-11,VE,28515829,4,0
2020-04-12,VE,28515829,6,0
2020-04-13,VE,28515829,8,0
2020-04-14,VE,28515829,0,0
2020-04-15,VE,28515829,8,0
2020-04-16,VE,28515829,7,0
2020-04-17,VE,28515829,0,0
2020-04-18,VE,28515829,23,0
2020-04-19,VE,28515829,29,0
2020-04-20,VE,28515829,0,0
2020-04-21,VE,28515829,29,1
2020-04-22,VE,28515829,3,0
2020-04-23,VE,28515829,23,0
2020-04-24,VE,28515829,7,0
2020-04-25,VE,28515829,5,0
2020-04-26,VE,28515829,2,0
2020-04-27,VE,28515829,4,0
2020-04-28,VE,28515829,0,0
2020-04-29,VE,28515829,2,0
2020-04-30,VE,28515829,2,6
2020-05-01,VE,28515829,2,-6
2020-05-02,VE,28515829,10,0
2020-05-03,VE,28515829,12,0
2020-05-04,VE,28515829,0,0
2020-05-05,VE,28515829,4,0
2020-05-06,VE,28515829,18,0
2020-05-07,VE,28515829,2,0
2020-05-08,VE,28515829,7,0
2020-05-09,VE,28515829,14,0
2020-05-10,VE,28515829,12,0
2020-05-11,VE,28515829,8,0
2020-05-12,VE,28515829,1,0
2020-05-13,VE,28515829,0,0
2020-05-14,VE,28515829,32,0
2020-05-15,VE,28515829,4,0
2020-05-16,VE,28515829,45,0
2020-05-17,VE,28515829,37,0
2020-05-18,VE,28515829,77,0
2020-05-19,VE,28515829,131,0
