year,energy
1.949000000000000000e+03,1.549261999999999944e+03
1.950000000000000000e+03,1.562307000000000016e+03
1.951000000000000000e+03,1.534669000000000096e+03
1.952000000000000000e+03,1.474368999999999915e+03
1.953000000000000000e+03,1.418601000000000113e+03
1.954000000000000000e+03,1.394326999999999998e+03
1.955000000000000000e+03,1.424143000000000029e+03
1.956000000000000000e+03,1.415871000000000095e+03
1.957000000000000000e+03,1.333580999999999904e+03
1.958000000000000000e+03,1.323123000000000047e+03
1.959000000000000000e+03,1.352874000000000024e+03
1.960000000000000000e+03,1.319869999999999891e+03
1.961000000000000000e+03,1.294761999999999944e+03
1.962000000000000000e+03,1.300241999999999962e+03
1.963000000000000000e+03,1.323316000000000031e+03
1.964000000000000000e+03,1.336801999999999907e+03
1.965000000000000000e+03,1.334760999999999967e+03
1.966000000000000000e+03,1.368984999999999900e+03
1.967000000000000000e+03,1.340249000000000024e+03
1.968000000000000000e+03,1.419494999999999891e+03
1.969000000000000000e+03,1.440487000000000080e+03
1.970000000000000000e+03,1.430961999999999989e+03
1.971000000000000000e+03,1.432323000000000093e+03
1.972000000000000000e+03,1.503065000000000055e+03
1.973000000000000000e+03,1.529067999999999984e+03
1.974000000000000000e+03,1.539662000000000035e+03
1.975000000000000000e+03,1.498733999999999924e+03
1.976000000000000000e+03,1.713373000000000047e+03
1.977000000000000000e+03,1.838332000000000107e+03
1.978000000000000000e+03,2.037605000000000018e+03
1.979000000000000000e+03,2.151905999999999949e+03
1.980000000000000000e+03,2.475500000000000000e+03
1.981000000000000000e+03,2.596282999999999902e+03
1.982000000000000000e+03,2.663452000000000226e+03
1.983000000000000000e+03,2.904414000000000215e+03
1.984000000000000000e+03,2.971119999999999891e+03
1.985000000000000000e+03,3.016233000000000175e+03
1.986000000000000000e+03,2.932094999999999800e+03
1.987000000000000000e+03,2.874884000000000015e+03
1.988000000000000000e+03,3.016048999999999978e+03
1.989000000000000000e+03,3.159356999999999971e+03
1.990000000000000000e+03,2.735112000000000080e+03
1.991000000000000000e+03,2.781797000000000025e+03
1.992000000000000000e+03,2.931677999999999884e+03
1.993000000000000000e+03,2.908445999999999913e+03
1.994000000000000000e+03,3.027534000000000106e+03
1.995000000000000000e+03,3.099081999999999880e+03
1.996000000000000000e+03,3.155300999999999931e+03
1.997000000000000000e+03,3.107907999999999902e+03
1.998000000000000000e+03,2.928929999999999836e+03
1.999000000000000000e+03,2.965132000000000062e+03
