,Year,NOC,Share_value,Season,Key_hostEffect
1,1900,ESP,0.0034482758620689655,Summer,1900SummerESP
6,1920,ESP,0.0045045045045045045,Summer,1920SummerESP
7,1924,ESP,0.0,Summer,1924SummerESP
8,1924,ESP,0.0,Summer,1924SummerESP
9,1928,ESP,0.0029239766081871343,Summer,1928SummerESP
10,1928,ESP,0.0029239766081871343,Summer,1928SummerESP
11,1932,ESP,0.0027472527472527475,Summer,1932SummerESP
12,1932,ESP,0.0027472527472527475,Summer,1932SummerESP
15,1948,ESP,0.002347417840375587,Summer,1948SummerESP
16,1948,ESP,0.002347417840375587,Summer,1948SummerESP
17,1952,ESP,0.0022675736961451248,Summer,1952SummerESP
18,1952,ESP,0.0022675736961451248,Summer,1952SummerESP
19,1956,ESP,0.0,Summer,1956SummerESP
20,1956,ESP,0.0,Summer,1956SummerESP
21,1960,ESP,0.0022371364653243847,Summer,1960SummerESP
22,1960,ESP,0.0022371364653243847,Summer,1960SummerESP
23,1964,ESP,0.0,Summer,1964SummerESP
24,1964,ESP,0.0,Summer,1964SummerESP
25,1968,ESP,0.0,Summer,1968SummerESP
26,1968,ESP,0.0,Summer,1968SummerESP
27,1972,ESP,0.0017035775127768314,Summer,1972SummerESP
28,1972,ESP,0.0017035775127768314,Summer,1972SummerESP
29,1976,ESP,0.0033500837520938024,Summer,1976SummerESP
30,1976,ESP,0.0033500837520938024,Summer,1976SummerESP
31,1980,ESP,0.009868421052631578,Summer,1980SummerESP
32,1980,ESP,0.009868421052631578,Summer,1980SummerESP
33,1984,ESP,0.0074962518740629685,Summer,1984SummerESP
34,1984,ESP,0.0074962518740629685,Summer,1984SummerESP
35,1988,ESP,0.005571030640668524,Summer,1988SummerESP
36,1988,ESP,0.005571030640668524,Summer,1988SummerESP
37,1992,ESP,0.03183791606367583,Summer,1992SummerESP
38,1992,ESP,0.03183791606367583,Summer,1992SummerESP
40,1996,ESP,0.02031063321385902,Summer,1996SummerESP
42,2000,ESP,0.01193058568329718,Summer,2000SummerESP
44,2004,ESP,0.021621621621621623,Summer,2004SummerESP
46,2008,ESP,0.018808777429467086,Summer,2008SummerESP
48,2012,ESP,0.017671517671517672,Summer,2012SummerESP
50,2016,ESP,0.017507723995880537,Summer,2016SummerESP
52,1900,RUS,0.0,Summer,1900SummerRUS
55,1908,RUS,0.009523809523809525,Summer,1908SummerRUS
56,1912,RUS,0.019417475728155338,Summer,1912SummerRUS
58,1924,RUS,0.0,Summer,1924SummerRUS
59,1924,RUS,0.0,Summer,1924SummerRUS
68,1952,RUS,0.15873015873015872,Summer,1952SummerRUS
69,1952,RUS,0.15873015873015872,Summer,1952SummerRUS
70,1956,RUS,0.21397379912663755,Summer,1956SummerRUS
71,1956,RUS,0.21397379912663755,Summer,1956SummerRUS
72,1960,RUS,0.22818791946308725,Summer,1960SummerRUS
73,1960,RUS,0.22818791946308725,Summer,1960SummerRUS
74,1964,RUS,0.19294605809128632,Summer,1964SummerRUS
75,1964,RUS,0.19294605809128632,Summer,1964SummerRUS
76,1968,RUS,0.17984189723320157,Summer,1968SummerRUS
77,1968,RUS,0.17984189723320157,Summer,1968SummerRUS
78,1972,RUS,0.1686541737649063,Summer,1972SummerRUS
79,1972,RUS,0.1686541737649063,Summer,1972SummerRUS
80,1976,RUS,0.20938023450586266,Summer,1976SummerRUS
81,1976,RUS,0.20938023450586266,Summer,1976SummerRUS
82,1980,RUS,0.3207236842105263,Summer,1980SummerRUS
83,1980,RUS,0.3207236842105263,Summer,1980SummerRUS
86,1988,RUS,0.18245125348189414,Summer,1988SummerRUS
87,1988,RUS,0.18245125348189414,Summer,1988SummerRUS
91,1996,RUS,0.07526881720430108,Summer,1996SummerRUS
93,2000,RUS,0.09652928416485901,Summer,2000SummerRUS
95,2004,RUS,0.0972972972972973,Summer,2004SummerRUS
97,2008,RUS,0.07523510971786834,Summer,2008SummerRUS
99,2012,RUS,0.08523908523908524,Summer,2012SummerRUS
101,2016,RUS,0.057672502574665295,Summer,2016SummerRUS
102,1896,USA,0.15833333333333333,Summer,1896SummerUSA
103,1900,USA,0.18620689655172415,Summer,1900SummerUSA
104,1904,USA,0.8243727598566308,Summer,1904SummerUSA
105,1906,USA,0.10267857142857142,Summer,1906SummerUSA
106,1908,USA,0.14603174603174604,Summer,1908SummerUSA
107,1912,USA,0.20388349514563106,Summer,1912SummerUSA
108,1920,USA,0.21396396396396397,Summer,1920SummerUSA
109,1924,USA,0.2612137203166227,Summer,1924SummerUSA
110,1924,USA,0.2612137203166227,Summer,1924SummerUSA
111,1928,USA,0.16374269005847952,Summer,1928SummerUSA
112,1928,USA,0.16374269005847952,Summer,1928SummerUSA
113,1932,USA,0.3021978021978022,Summer,1932SummerUSA
114,1932,USA,0.3021978021978022,Summer,1932SummerUSA
115,1936,USA,0.1383495145631068,Summer,1936SummerUSA
116,1936,USA,0.1383495145631068,Summer,1936SummerUSA
117,1948,USA,0.19718309859154928,Summer,1948SummerUSA
118,1948,USA,0.19718309859154928,Summer,1948SummerUSA
119,1952,USA,0.17233560090702948,Summer,1952SummerUSA
120,1952,USA,0.17233560090702948,Summer,1952SummerUSA
121,1956,USA,0.1615720524017467,Summer,1956SummerUSA
122,1956,USA,0.1615720524017467,Summer,1956SummerUSA
123,1960,USA,0.15883668903803133,Summer,1960SummerUSA
124,1960,USA,0.15883668903803133,Summer,1960SummerUSA
125,1964,USA,0.18672199170124482,Summer,1964SummerUSA
126,1964,USA,0.18672199170124482,Summer,1964SummerUSA
127,1968,USA,0.21146245059288538,Summer,1968SummerUSA
128,1968,USA,0.21146245059288538,Summer,1968SummerUSA
129,1972,USA,0.16013628620102216,Summer,1972SummerUSA
130,1972,USA,0.16013628620102216,Summer,1972SummerUSA
131,1976,USA,0.1574539363484087,Summer,1976SummerUSA
132,1976,USA,0.1574539363484087,Summer,1976SummerUSA
135,1984,USA,0.2593703148425787,Summer,1984SummerUSA
136,1984,USA,0.2593703148425787,Summer,1984SummerUSA
137,1988,USA,0.1309192200557103,Summer,1988SummerUSA
138,1988,USA,0.1309192200557103,Summer,1988SummerUSA
139,1992,USA,0.15629522431259044,Summer,1992SummerUSA
140,1992,USA,0.15629522431259044,Summer,1992SummerUSA
142,1996,USA,0.12066905615292713,Summer,1996SummerUSA
144,2000,USA,0.09869848156182212,Summer,2000SummerUSA
146,2004,USA,0.10918918918918918,Summer,2004SummerUSA
148,2008,USA,0.11494252873563218,Summer,2008SummerUSA
150,2012,USA,0.10706860706860707,Summer,2012SummerUSA
152,2016,USA,0.12461380020597322,Summer,2016SummerUSA
153,1896,GER,0.11666666666666667,Summer,1896SummerGER
154,1900,GER,0.027586206896551724,Summer,1900SummerGER
155,1904,GER,0.05734767025089606,Summer,1904SummerGER
156,1906,GER,0.0625,Summer,1906SummerGER
157,1908,GER,0.04126984126984127,Summer,1908SummerGER
158,1912,GER,0.08414239482200647,Summer,1912SummerGER
162,1928,GER,0.11403508771929824,Summer,1928SummerGER
163,1928,GER,0.11403508771929824,Summer,1928SummerGER
164,1932,GER,0.06593406593406594,Summer,1932SummerGER
165,1932,GER,0.06593406593406594,Summer,1932SummerGER
166,1936,GER,0.24514563106796117,Summer,1936SummerGER
167,1936,GER,0.24514563106796117,Summer,1936SummerGER
170,1952,GER,0.05442176870748299,Summer,1952SummerGER
171,1952,GER,0.05442176870748299,Summer,1952SummerGER
172,1956,GER,0.056768558951965066,Summer,1956SummerGER
173,1956,GER,0.056768558951965066,Summer,1956SummerGER
174,1960,GER,0.09395973154362416,Summer,1960SummerGER
175,1960,GER,0.09395973154362416,Summer,1960SummerGER
176,1964,GER,0.1037344398340249,Summer,1964SummerGER
177,1964,GER,0.1037344398340249,Summer,1964SummerGER
178,1968,GER,0.1007905138339921,Summer,1968SummerGER
179,1968,GER,0.1007905138339921,Summer,1968SummerGER
180,1972,GER,0.18057921635434412,Summer,1972SummerGER
181,1972,GER,0.18057921635434412,Summer,1972SummerGER
182,1976,GER,0.21608040201005024,Summer,1976SummerGER
183,1976,GER,0.21608040201005024,Summer,1976SummerGER
184,1980,GER,0.20723684210526316,Summer,1980SummerGER
185,1980,GER,0.20723684210526316,Summer,1980SummerGER
186,1984,GER,0.08845577211394302,Summer,1984SummerGER
187,1984,GER,0.08845577211394302,Summer,1984SummerGER
188,1988,GER,0.1977715877437326,Summer,1988SummerGER
189,1988,GER,0.1977715877437326,Summer,1988SummerGER
190,1992,GER,0.11866859623733719,Summer,1992SummerGER
191,1992,GER,0.11866859623733719,Summer,1992SummerGER
193,1996,GER,0.07765830346475508,Summer,1996SummerGER
195,2000,GER,0.06073752711496746,Summer,2000SummerGER
197,2004,GER,0.05297297297297297,Summer,2004SummerGER
199,2008,GER,0.042842215256008356,Summer,2008SummerGER
201,2012,GER,0.04573804573804574,Summer,2012SummerGER
203,2016,GER,0.04325437693099897,Summer,2016SummerGER
204,1896,GRE,0.36666666666666664,Summer,1896SummerGRE
205,1900,GRE,0.0,Summer,1900SummerGRE
206,1904,GRE,0.007168458781362007,Summer,1904SummerGRE
207,1906,GRE,0.15625,Summer,1906SummerGRE
