,Year,NOC,Reg_value,Season,Key_hostEffect
6,1920,ESP,0.002650926788857823,Summer,1920SummerESP
7,1924,ESP,0.002476160370897213,Summer,1924SummerESP
9,1928,ESP,0.0018904097851466274,Summer,1928SummerESP
11,1932,ESP,0.002672882398605156,Summer,1932SummerESP
15,1948,ESP,0.0024540814279244865,Summer,1948SummerESP
17,1952,ESP,0.0015383305121735708,Summer,1952SummerESP
19,1956,ESP,0.00150157005382317,Summer,1956SummerESP
21,1960,ESP,0.0007457121551081282,Summer,1960SummerESP
23,1964,ESP,0.0007457121551081282,Summer,1964SummerESP
25,1968,ESP,0.0005678591709256105,Summer,1968SummerESP
27,1972,ESP,0.0016845537549568777,Summer,1972SummerESP
29,1976,ESP,0.004974027439167404,Summer,1976SummerESP
31,1980,ESP,0.0069049188929294495,Summer,1980SummerESP
33,1984,ESP,0.007645234522454356,Summer,1984SummerESP
35,1988,ESP,0.014968399526135774,Summer,1988SummerESP
37,1992,ESP,0.019239859972734457,Summer,1992SummerESP
40,1996,ESP,0.02135971165361068,Summer,1996SummerESP
42,2000,ESP,0.01795428017292594,Summer,2000SummerESP
44,2004,ESP,0.017453661578128627,Summer,2004SummerESP
46,2008,ESP,0.019367305574202128,Summer,2008SummerESP
48,2012,ESP,0.017996006365621764,Summer,2012SummerESP
55,1908,RUS,0.009647095083988288,Summer,1908SummerRUS
56,1912,RUS,0.009647095083988288,Summer,1912SummerRUS
58,1924,RUS,0.05938254481943802,Summer,1924SummerRUS
68,1952,RUS,0.12423465261893209,Summer,1952SummerRUS
70,1956,RUS,0.20029729243996117,Summer,1956SummerRUS
72,1960,RUS,0.21170259222700372,Summer,1960SummerRUS
74,1964,RUS,0.20032529159585835,Summer,1964SummerRUS
76,1968,RUS,0.1804807096964647,Summer,1968SummerRUS
78,1972,RUS,0.18595876850132353,Summer,1972SummerRUS
80,1976,RUS,0.23291936416043177,Summer,1976SummerRUS
82,1980,RUS,0.23751839073276104,Summer,1980SummerRUS
86,1988,RUS,0.19281458496557383,Summer,1988SummerRUS
91,1996,RUS,0.11808311828368474,Summer,1996SummerRUS
93,2000,RUS,0.08969846622215245,Summer,2000SummerRUS
95,2004,RUS,0.08968723039334155,Summer,2004SummerRUS
97,2008,RUS,0.08592383075141696,Summer,2008SummerRUS
99,2012,RUS,0.07271556584387297,Summer,2012SummerRUS
103,1900,USA,0.3896376632472294,Summer,1900SummerUSA
104,1904,USA,0.3855371341467004,Summer,1904SummerUSA
106,1908,USA,0.39142933367800264,Summer,1908SummerUSA
107,1912,USA,0.1879597350471137,Summer,1912SummerUSA
108,1920,USA,0.2263537264754059,Summer,1920SummerUSA
109,1924,USA,0.21297345811302204,Summer,1924SummerUSA
111,1928,USA,0.24238473752430145,Summer,1928SummerUSA
113,1932,USA,0.20143000227312946,Summer,1932SummerUSA
115,1936,USA,0.21257680511748608,Summer,1936SummerUSA
117,1948,USA,0.1692894046872285,Summer,1948SummerUSA
119,1952,USA,0.1770302506334418,Summer,1952SummerUSA
121,1956,USA,0.1642481141156025,Summer,1956SummerUSA
123,1960,USA,0.1690435777136743,Summer,1960SummerUSA
125,1964,USA,0.1856737104440538,Summer,1964SummerUSA
127,1968,USA,0.18610690949838413,Summer,1968SummerUSA
129,1972,USA,0.17635089104743873,Summer,1972SummerUSA
131,1976,USA,0.19232017913066987,Summer,1976SummerUSA
135,1984,USA,0.18258115708223258,Summer,1984SummerUSA
137,1988,USA,0.1821949197369598,Summer,1988SummerUSA
139,1992,USA,0.1359611668404093,Summer,1992SummerUSA
142,1996,USA,0.12522092067577992,Summer,1996SummerUSA
144,2000,USA,0.10951890896797949,Summer,2000SummerUSA
146,2004,USA,0.10761006649554783,Summer,2004SummerUSA
148,2008,USA,0.11040010833114282,Summer,2008SummerUSA
150,2012,USA,0.1155416453367375,Summer,2012SummerUSA
154,1900,GER,0.06720018127137149,Summer,1900SummerGER
155,1904,GER,0.042067906139096355,Summer,1904SummerGER
157,1908,GER,0.0609199687809146,Summer,1908SummerGER
158,1912,GER,0.07981577460371533,Summer,1912SummerGER
162,1928,GER,0.08803718282512356,Summer,1928SummerGER
164,1932,GER,0.14170492824044179,Summer,1932SummerGER
166,1936,GER,0.12183382190317003,Summer,1936SummerGER
170,1952,GER,0.1187786529091364,Summer,1952SummerGER
172,1956,GER,0.06838335306769074,Summer,1956SummerGER
174,1960,GER,0.08482091010987138,Summer,1960SummerGER
176,1964,GER,0.09949489507054705,Summer,1964SummerGER
178,1968,GER,0.12836805667412035,Summer,1968SummerGER
180,1972,GER,0.16581671073279547,Summer,1972SummerGER
182,1976,GER,0.2012988201565525,Summer,1976SummerGER
184,1980,GER,0.17059100540975214,Summer,1980SummerGER
186,1984,GER,0.1644880673209796,Summer,1984SummerGER
188,1988,GER,0.1349653186983376,Summer,1988SummerGER
190,1992,GER,0.13136616248194163,Summer,1992SummerGER
193,1996,GER,0.08568814227235323,Summer,1996SummerGER
195,2000,GER,0.06378960118423184,Summer,2000SummerGER
197,2004,GER,0.05218423844798293,Summer,2004SummerGER
199,2008,GER,0.04718441132234236,Summer,2008SummerGER
201,2012,GER,0.043944879308351024,Summer,2012SummerGER
205,1900,GRE,0.12461170848267622,Summer,1900SummerGRE
206,1904,GRE,0.006622290493258236,Summer,1904SummerGRE
208,1908,GRE,0.008779787796386607,Summer,1908SummerGRE
209,1912,GRE,0.007141052286683355,Summer,1912SummerGRE
210,1920,GRE,0.0037877555296926663,Summer,1920SummerGRE
211,1924,GRE,0.0016302582265642952,Summer,1924SummerGRE
213,1928,GRE,0.0008795074758135443,Summer,1928SummerGRE
215,1932,GRE,0.0,Summer,1932SummerGRE
217,1936,GRE,0.0,Summer,1936SummerGRE
219,1948,GRE,0.0,Summer,1948SummerGRE
221,1952,GRE,0.0007278020378457059,Summer,1952SummerGRE
223,1956,GRE,0.001473514192953834,Summer,1956SummerGRE
225,1960,GRE,0.001473514192953834,Summer,1960SummerGRE
227,1964,GRE,0.0014044736834348738,Summer,1964SummerGRE
229,1968,GRE,0.0017944798701779667,Summer,1968SummerGRE
231,1972,GRE,0.0017944798701779667,Summer,1972SummerGRE
233,1976,GRE,0.0027804551839564844,Summer,1976SummerGRE
235,1980,GRE,0.0026442370919803255,Summer,1980SummerGRE
237,1984,GRE,0.0031084896453693694,Summer,1984SummerGRE
239,1988,GRE,0.00242853813852701,Summer,1988SummerGRE
241,1992,GRE,0.004615019569257284,Summer,1992SummerGRE
244,1996,GRE,0.00885069470928834,Summer,1996SummerGRE
246,2000,GRE,0.013651675139791203,Summer,2000SummerGRE
248,2004,GRE,0.011858936231738984,Summer,2004SummerGRE
250,2008,GRE,0.007852009231319576,Summer,2008SummerGRE
252,2012,GRE,0.004145975700363285,Summer,2012SummerGRE
256,1900,FRA,0.15018642112635439,Summer,1900SummerFRA
257,1904,FRA,0.13973668567661893,Summer,1904SummerFRA
259,1908,FRA,0.03867653613973689,Summer,1908SummerFRA
260,1912,FRA,0.06781858141081443,Summer,1912SummerFRA
261,1920,FRA,0.08289306033753609,Summer,1920SummerFRA
262,1924,FRA,0.09107830229896612,Summer,1924SummerFRA
264,1928,FRA,0.07786178908245288,Summer,1928SummerFRA
266,1932,FRA,0.05805365833470075,Summer,1932SummerFRA
268,1936,FRA,0.05872631023048089,Summer,1936SummerFRA
270,1948,FRA,0.05401673409233332,Summer,1948SummerFRA
272,1952,FRA,0.04883379433738356,Summer,1952SummerFRA
274,1956,FRA,0.027523231482251272,Summer,1956SummerFRA
276,1960,FRA,0.02429123328878301,Summer,1960SummerFRA
278,1964,FRA,0.023983427683844316,Summer,1964SummerFRA
280,1968,FRA,0.02763703613033661,Summer,1968SummerFRA
282,1972,FRA,0.022288717775074823,Summer,1972SummerFRA
284,1976,FRA,0.020082733446664867,Summer,1976SummerFRA
286,1980,FRA,0.026693567722882807,Summer,1980SummerFRA
288,1984,FRA,0.0290964829489668,Summer,1984SummerFRA
290,1988,FRA,0.03541043171378768,Summer,1988SummerFRA
292,1992,FRA,0.03615259348833649,Summer,1992SummerFRA
295,1996,FRA,0.04246280281487824,Summer,1996SummerFRA
297,2000,FRA,0.040365307345458026,Summer,2000SummerFRA
299,2004,FRA,0.0399108804913278,Summer,2004SummerFRA
301,2008,FRA,0.038300142438073476,Summer,2008SummerFRA
303,2012,FRA,0.040826376189847906,Summer,2012SummerFRA
307,1900,GBR,0.07566534832941953,Summer,1900SummerGBR
308,1904,GBR,0.20198809965217088,Summer,1904SummerGBR
310,1908,GBR,0.19794093229733692,Summer,1908SummerGBR
311,1912,GBR,0.22783372831916524,Summer,1912SummerGBR
312,1920,GBR,0.10729373864988795,Summer,1920SummerGBR
313,1924,GBR,0.08450753906246199,Summer,1924SummerGBR
315,1928,GBR,0.06779302234794526,Summer,1928SummerGBR
317,1932,GBR,0.048337121535895165,Summer,1932SummerGBR
319,1936,GBR,0.0480213869725698,Summer,1936SummerGBR
321,1948,GBR,0.040768058290669686,Summer,1948SummerGBR
