,Unnamed: 0,ID,region_id,private_business,prices,make,model,fuel_type,mileage,reg_year,eng_capacity,color,capacity,dayslive
0,0,6321a87b1e923f46d9acdf3322fcee72a6879188,-11,business,29250.0,mini,cooper,diesel,14500,2017,1496,blue,5,15
1,1,0a3d81767bf143b60729f7ee1c764db91f05f557,-13,business,3999.0,land-rover,freelander,diesel,150000,2000,2000,green,5,98
2,2,2671be1fef116b2d5b1d6ecebb734ce349232ca2,-11,business,30600.0,mercedes-benz,c-250,diesel,118827,2013,2143,white,5,110
3,3,628ac15170274c64fa4aa70b3a917cbc1b2c4d89,-11,business,25500.0,volvo,xc-60,diesel,102519,2013,1984,other,5,17
4,4,5a73a4a249f4044b9b42eae533cb6a72b4a0c35a,-11,business,7000.0,opel,vectra,diesel,120000,2004,2172,blue,5,33
5,5,e85d5fce84da779cffd6580f84dc10132127410b,-1,business,15690.0,peugeot,208,diesel,17000,2017,1560,white,5,61
6,6,7ed7809141c6843e1f70f2f4d301990c6c3a10a1,-11,business,25980.0,audi,q3,diesel,74203,2012,1968,white,5,13
7,7,d95227746424fee19c9018c7c92123632e3d4784,-13,business,31900.0,mercedes-benz,c-220,diesel,164528,2014,2143,white,5,16
8,8,efb84661abde911bb0797bad3d6704da3bb2b448,-17,business,23500.0,toyota,auris,hibride-gaz,5000,2017,1800,white,5,152
9,9,0fc365436870d4dd30d41995a268da93763aaf2e,-13,business,22900.0,bmw,320,diesel,136000,2011,1995,white,4,133
10,10,066297f59d5e33929fb851cb29642e8fc94525eb,0,business,15990.0,peugeot,308-sw,diesel,99750,2016,1560,white,5,87
11,11,79af5510c3e12e8ac65d0dba36c090454d4f0339,-11,business,13490.0,opel,corsa,diesel,29200,2016,1300,green,5,99
12,12,281014383d7e131ee3276cb46fa5251638b6400b,-13,business,16990.0,audi,a3-sportback,diesel,175000,2013,1600,white,5,41
13,13,95d7de8ae4fa217baefc3dbe08c1eae0ee9a2ec6,-11,private,17990.0,lexus,is-200,diesel,96450,2011,2200,white,5,11
14,14,e01074b2206b714868b62ba75783523bfcddec2c,-17,private,12900.0,alfa-romeo,giulietta,diesel,189000,2010,2000,white,5,13
15,15,f69b5315b867f1400532c94bb05d31078e745fa7,-8,business,6950.0,audi,a6-avant,gaz,209122,2000,2771,blue,5,16
16,16,574a784dfa57a99406e96ffb3a5b492fc56e235f,-11,business,15740.0,fiat,tipo,diesel,21964,2016,1300,blue,5,110
17,17,b0f76896abaecd2afe6091ecfa3776f8a4d78bf4,-11,business,20500.0,seat,leon,diesel,75000,2014,2000,blue,5,33
18,18,5e6c19f68104848cec4cb47191426f49947e8e87,-11,business,4900.0,renault,grand-espace,diesel,303000,2005,2200,blue,7,13
19,19,9c870a3e0b2befab89c7b9b78830b6e765340abe,-13,business,17600.0,bmw,118,diesel,120000,2010,2000,white,5,19
20,20,2c4656b1a310de33663c4d175379d49f56b15dc6,-8,private,5000.0,chrysler,sebring,gaz,88010,2002,2000,golden,5,99
21,21,db9de65a23cae835d7590b5c7b48b112772af43b,-11,business,19000.0,kia,ceed,diesel,9707,2017,1396,blue,5,79
22,22,99a9dd233923d529505e64b522e71eb2bf7e6759,-13,business,12250.0,peugeot,308,diesel,163000,2014,1560,white,5,109
23,23,eedf42335011fddab62e80ec3df9eb11217762aa,-3,business,23000.0,ford,ecosport,gaz,1,2018,1000,blue,5,134
24,24,2d1ce81e2a41d6d5e773800e5c7dce08fd267f2b,-11,private,700.0,opel,astra,gaz,190000,1992,1400,other,5,14
25,25,26ab937ed6f8a3171f244009cde1bb37d51e7233,-13,business,20390.0,bmw,116,gaz,1740,2017,1499,white,5,14
26,26,bea380b383b303aaa259967f7cc8f5c9d6ceac38,-13,business,20500.0,volvo,v60,diesel,110548,2015,1600,blue,5,27
27,27,4de269b93528d2a1e6f13daa25c1cbfe0c0dd648,-3,business,14000.0,peugeot,308-sw,diesel,158000,2014,1600,white,5,61
28,28,bb12b8eb8f38cedd289361157e656ed087c8ee62,-13,business,10950.0,renault,megane-sport-tourer,diesel,50000,2011,1500,golden,5,74
29,29,7464a8b46ed465b601e4112cf350b3c166771da7,-13,business,1990.0,opel,corsa,diesel,310000,1999,1500,white,5,79
30,30,379eaae88728617b032372f2d1081f6e100174f6,-13,business,10999.0,mini,cooper,diesel,147000,2009,1600,beige,4,38
31,31,f39b6dd219ca3b6ff0d7de9eab68b957b2b6094c,-11,business,9990.0,fiat,500c,diesel,99000,2011,1248,white,4,168
32,32,eca28aaf1e0a5b2a130844570046c4597e06716d,-11,business,5995.0,toyota,aygo,gaz,92000,2010,1000,blue,4,15
33,33,977deb76954250030846da2ff62ae9a4165bd99b,-11,private,12150.0,renault,megane-sport-tourer,diesel,91000,2010,1500,white,5,8
34,34,8504bcb11f343c7a82319ced298b4a0989b1c8ac,-14,business,12990.0,renault,megane-sport-tourer,diesel,120000,2012,1500,white,5,32
35,35,6008a0d267ed7a9717f876ffb4497ee0f20c4e09,-1,business,17350.0,vw,scirocco,diesel,149000,2009,2000,blue,4,17
36,36,53e13eab58482f63cb691a03fe34cb0812485c2b,-15,business,9900.0,alfa-romeo,mito,diesel,150000,2012,1300,red,5,40
37,37,e78dd6791264058e6327ffe728804733b30b1f33,-13,business,17550.0,volvo,v40,diesel,76000,2014,1560,blue,5,66
38,38,4343cb51a1a6594209414459c5528e22db4d0959,0,business,23500.0,jaguar,xf,diesel,130000,2010,3000,green,5,9
39,39,7a05a4b1e3d00b1121cb83adcb0530281278930a,-14,business,28900.0,nissan,qashqai,diesel,95,2018,1461,white,5,119
40,40,19b661849e054066fe2fb196a8657d704c7a24f1,-11,business,24250.0,bmw,320,diesel,158000,2014,1995,white,5,13
41,41,203b2ccd063b9ef6b739c93b8f2fff44d4e381a7,-11,business,24990.0,vw,golf,diesel,120000,2013,2000,white,5,190
42,42,a2fd795866bf8b1c2070120586d60e26e4d65ef9,-10,business,18900.0,peugeot,508-rxh,hibride-diesel,189777,2012,2000,white,5,26
43,43,f365c4d66d69643dc4ce98704f72edde2bad0481,-13,business,12750.0,citroen,ds3,diesel,141000,2011,1600,white,5,51
44,44,01373486451e11114d0dd983c3a99841e209ec3f,-11,private,18950.0,peugeot,2008,diesel,11900,2017,1565,white,5,164
45,45,d8b6639a2add850a9ffec5d51f0f3e4ce5a73a97,-13,business,21400.0,opel,insignia-sports-tourer,diesel,106000,2014,1956,white,5,52
46,46,fbaa207fcc8b4ff863d05bc5b86f9a6e187299c8,-13,business,2650.0,citroen,xsara,diesel,305000,2003,1400,blue,5,52
47,47,2d6403f5380dc77f355189b37ee228ce0e5b60df,-13,business,12500.0,citroen,c3,gaz,17000,2017,1199,white,5,10
48,48,c8daa9de82760352c7ef8eba93b542d498ea4ea3,-1,business,990.0,vw,passat-variant,diesel,446458,1994,1900,blue,5,188
49,49,38e3795203d13875d5ff46ac3b9782602d357a98,-11,business,13450.0,vw,passat-variant,diesel,187000,2013,1600,other,5,7
50,50,6701e53e7790f8c2f286fc63a7becc4227615c74,-13,private,1200.0,bmw,325,diesel,312436,1995,2500,blue,5,162
51,51,1ec5cec450bbb5f3753509f0f46c4e5396f1d6da,-13,business,33800.0,mercedes-benz,cla-220,diesel,71000,2013,2143,white,5,7
52,52,4ba4fa6f4877516e570570cfb2d20716eceb42c1,-11,business,17980.0,bmw,730,diesel,202398,2008,2993,other,5,42
53,53,8549ac0d905564e05cd7e517f524f444489344bd,-1,business,21290.0,peugeot,308-sw,diesel,20100,2017,1560,white,5,175
54,54,2ac984c6af4bbaec2615a8263b01a46ab357cbde,-1,business,47000.0,mercedes-benz,e-200,diesel,6680,2017,1950,blue,5,33
55,55,9da82443ada5d0bb384ad7eb3792340687474cca,-1,business,13500.0,vw,polo,gaz,54000,2016,1200,white,5,18
56,56,a0d6dd7daa5cea38bf96a2e9e4d5805d0112d805,-13,business,10950.0,renault,megane-sport-tourer,diesel,198000,2010,1500,white,5,98
57,57,c2842e3ac603160e2b6d452afafe09d4344317c3,-13,business,12990.0,peugeot,308-sw,diesel,163000,2014,1600,white,5,50
58,58,2dda8d257d77b15dbc5ebef949bce98fc81b5c4f,-1,business,14999.0,alfa-romeo,giulietta,diesel,99900,2014,1600,white,5,92
59,59,e2c01a960e49566768107c4eecca663a60c7dba4,-13,business,13990.0,citroen,ds3,diesel,124512,2015,1600,white,4,231
60,60,1345c2c9aa4779b6cd928aa8f70e7b5598756eeb,-11,business,33500.0,mercedes-benz,cls-250,diesel,48000,2011,2143,golden,4,118
61,61,0d4e02e0d4c53ff26bc73c1c5f979fe611f9c7b6,-13,business,2650.0,vw,lupo,gaz,110134,1999,999,blue,4,15
