,Unnamed: 0,ID,region_id,private_business,price,make,model,fuel_type,mileage,reg_year,eng_capacity,color,capacity,dayslive
20000,20000,838da62d723eee687a8dafc449d3cfed445d1c51,11,business,990.0,citroen,citroen-xsara,gaz,199000,2002,1398,blue,,40
20001,20001,779705359763ff5e228c701e597204afccfc4cb5,11,private,14200.0,fiat,fiat-500l,diesel,89900,2015,1300,white,,22
20002,20002,46a7aebd711d7d2c4a15be88ad650f41a4529e03,17,business,14990.0,bmw,bmw-118,diesel,136300,2008,1995,white,,46
20003,20003,4666088e159b4da782e8029f9471b94925b2646a,8,private,11500.0,bmw,bmw-320,diesel,247000,2008,1995,blue,,24
20004,20004,52f1b25dffb58b03e960d8a12cc8484346665c01,11,business,15300.0,renault,renault-megane,diesel,99591,2015,1461,other,,7
20005,20005,04329d2a7104fce0e75349f9b8dcb59ffc42207e,13,business,18950.0,vw,vw-scirocco,diesel,169000,2011,2000,white,4.0,40
20006,20006,e2bfee4b7849cf414f31eee507b05d0d9965ceb7,13,business,22990.0,vw,vw-golf,diesel,172000,2014,2000,white,,11
20007,20007,b4fd6439713f2c0d71b410124661a63faa7e5eb6,11,business,13490.0,skoda,skoda-rapid,diesel,54000,2015,1422,blue,,7
20008,20008,1ede83c4d0dd1e5dc1443078f7b3b306f2b9add3,16,business,25900.0,renault,renault-megane-sport-tourer,diesel,10,2019,1461,blue,,154
20009,20009,28419041e13211b5e70d61682b42627665b28ba3,14,business,124900.0,porsche,porsche-991,gaz,30000,2014,3800,brown,4.0,30
20010,20010,9e8c560ea274b6f80a2ea844ee710975afddbcfa,13,private,1750.0,toyota,toyota-starlet,gaz,177000,1996,1300,white,,40
20011,20011,741786e5cb1c6eeaa1c92df4459c21dfd79e3261,11,business,22300.0,bmw,bmw-320,diesel,93814,2014,1995,other,,15
20012,20012,4fd0b896396542a59a4c7facc5d770a477d99fd7,11,business,16100.0,opel,opel-astra,diesel,57012,2014,1598,other,,7
20013,20013,b340d8a00d3772644d4c032317e1ed94688e362c,11,business,17600.0,renault,renault-megane,diesel,37540,2016,1461,other,,7
20014,20014,be21848816b46f1552bbccb4f1ae1da3a441d360,13,business,21750.0,audi,audi-a5-sportback,diesel,188000,2013,2000,blue,,26
20015,20015,748e97341636b906b5950edfd63db157c46e64d4,13,business,21800.0,bmw,bmw-318,diesel,148602,2014,1995,other,,9
20016,20016,6a0577e27fca20e45cfb731949c15bfdad219d5a,11,private,6500.0,suzuki,suzuki-grand-vitara,diesel,143090,2005,1997,blue,,22
20017,20017,f50bce71066fccefeb269f3e590f3e518ed5999b,13,business,22900.0,mercedes-benz,mercedes-benz-a-160,diesel,36958,2017,1461,white,,33
20018,20018,4d88b02526256abcc03599733241d60de5755cb1,13,business,14900.0,vw,vw-passat,diesel,134721,2013,1598,other,,7
20019,20019,7ab9ddf5b6c56282978504a69eef277b23fd0f88,11,business,11990.0,vw,vw-polo,diesel,39869,2014,1199,white,,65
20020,20020,438da4709fa05c8bb3cc02ecc26319646136bc80,8,business,13900.0,vw,vw-golf,diesel,146776,2013,1600,blue,,14
20021,20021,8abd370590a3c1aec9151a1eeeefcdd7aad801e0,1,private,24550.0,mercedes-benz,mercedes-benz-a-180,diesel,81000,2015,1500,white,,113
20022,20022,47e8e1d07f0f37ed0ab693507e8d8e30caded813,15,business,12900.0,bmw,bmw-520,diesel,216000,2007,1995,blue,,13
20023,20023,d9754240a86e50daec874a50e630662eeddfbeed,13,business,34000.0,mercedes-benz,mercedes-benz-c-220,diesel,96985,2015,2200,white,,96
20024,20024,041cb74999063e3173adbe26d82fedbaa4695022,11,business,9980.0,renault,renault-megane-sport-tourer,diesel,145000,2013,1500,brown,,8
20025,20025,043cfa60754af84d83d1dd973d75e2175bec07f2,11,business,28200.0,peugeot,peugeot-508,diesel,81798,2016,1997,other,,78
20026,20026,63bdf5c8dd4e33993928eed328a16b58057ba59e,11,business,18500.0,citroen,citroen-c4-cactus,diesel,22240,2018,1560,white,,28
20027,20027,c2d9db54ffd35732fbb844158a22cf85f210e2da,11,business,37900.0,bmw,bmw-i3,electric,9713,2018,1,white,4.0,9
20028,20028,599fc9550f89fd04bf5150d9b45a4953fef1266b,11,business,14600.0,opel,opel-insignia,diesel,140570,2013,1956,other,,28
20029,20029,fcb5b863aab5ecb11d9f3842ad508190dc98c8c0,0,business,10550.0,opel,opel-corsa,diesel,107318,2014,1248,other,,68
20030,20030,34e9ada73fc13d0a3699f1ef1db059751ba71268,11,business,17200.0,bmw,bmw-116,diesel,123689,2014,1598,other,,18
20031,20031,8d40fa649cd4c1bac5383a242845df08fbc3f942,16,business,26500.0,kia,kia-ceed,diesel,6840,2018,1598,blue,,35
20032,20032,4ca95fc51599b568748dc7397491ee5ab35fe8f3,16,private,15950.0,vw,vw-golf-variant,diesel,130000,2014,1600,blue,,21
20033,20033,0382e479e09e3a6faa44d725c4d104a7fcc4c906,11,business,16800.0,fiat,fiat-500,diesel,28229,2017,1248,other,4.0,27
20034,20034,d001f4afe65fafed8d6c85c48bbd975f8532e56e,3,business,26990.0,bmw,bmw-125,diesel,120000,2014,2000,white,,87
20035,20035,668cd67546c05bc16b8caee73c68026f50e06fb5,11,private,6900.0,mercedes-benz,mercedes-benz-e-270,diesel,218000,2001,2700,green,7.0,9
20036,20036,75a6471d01b41561ddcb0b65de8be43852af1201,13,business,21990.0,bmw,bmw-318,diesel,154000,2014,2000,white,,42
20037,20037,2e3b1b7a5157ba90c9b358451b304fbd1fad1c18,15,business,2990.0,opel,opel-zafira,diesel,221000,2000,1995,blue,7.0,14
20038,20038,0386373e5ecea42cf34e02d76fe6a490ac0d0569,10,business,29990.0,bmw,bmw-420,diesel,183740,2014,1995,blue,,74
20039,20039,26bf2959bf3cb14b4c4803c341ff5730438d62d7,13,business,63999.0,porsche,porsche-macan,diesel,138000,2015,3000,white,,55
20040,20040,1e44aae02d6bce2f88a58501b7e93d511ec9198d,11,business,12790.0,renault,renault-megane-sport-tourer,diesel,211000,2016,1600,white,,18
20041,20041,b59651371b3f38174474a9c113753644e86843b3,11,business,16300.0,vw,vw-polo,diesel,22794,2016,1422,other,,10
20042,20042,52bb55edcfd8bb5677a7df49d997b23e9c3fbcec,10,business,17900.0,bmw,bmw-116,diesel,73219,2014,1496,white,,26
20043,20043,970aafea9b023a7fb089f1a2dff12f8fcfe3d2de,14,business,16750.0,nissan,nissan-pulsar,diesel,31000,2017,1461,white,,24
20044,20044,94fdf84cdef1e2fe8fc00ce3843b3d272a7131f7,13,business,20900.0,mini,mini-cooper,diesel,30000,2015,1496,white,,84
20045,20045,c2271e6d69d84402fe6529174ae36820c3159801,11,business,8990.0,hyundai,hyundai-i30,diesel,60000,2011,1600,white,,8
20046,20046,fa24d09946d0fb824e3da6d0ba34c522925ae5d0,11,business,25800.0,nissan,nissan-qashqai,diesel,7735,2018,1461,blue,,14
20047,20047,bd997cfefebd33a8ff5e5a2936550fd3ca6d8d9a,15,business,9800.0,peugeot,peugeot-108,gaz,17500,2018,998,white,4.0,60
20048,20048,de5016df9b2e1b60cc6d6b80a0c786725d235ef1,11,business,15980.0,volvo,volvo-v40,diesel,128658,2013,1600,blue,,26
20049,20049,d0ea456e52e93afa97e563b1e20a4d5382a932af,3,business,28750.0,bmw,bmw-120,diesel,137000,2015,2000,white,,33
20050,20050,491d8030b9834acbc9406d63b634822c126e9126,11,business,3750.0,smart,smart-forfour,diesel,159000,2006,1493,golden,,134
20051,20051,169fdd349c19b40362f656e1cd3c602e46f0280d,4,business,24750.0,mercedes-benz,mercedes-benz-a-180,diesel,24494,2017,1500,blue,,45
20052,20052,421c1c4b23472fc3d4f6370c1f1c6bfad8862f24,13,business,21300.0,audi,audi-a3,diesel,55132,2016,1598,other,,14
20053,20053,7f5c034c4354c9f5d08e64c92df1c161dc8b72ea,18,business,10990.0,skoda,skoda-citigo,gaz,956,2018,999,white,4.0,142
